dim_error_um,surface_ra_um,hardness_hv,roundness_um,threadfit_score,weight_g,machine_age_yrs,supplier,reject_recorded,reject
4.0,2.1,217.0,9.18,0.698,251.7,3.6,A,0,0
4.06,2.63,256.0,8.35,-0.628,245.4,3.0,A,1,1
13.02,2.47,194.0,6.25,-0.458,248.2,4.1,A,1,1
8.45,3.07,218.0,6.25,1.188,246.8,7.0,B,0,0
9.65,3.27,238.0,4.76,1.102,255.2,10.3,C,1,1
4.15,2.31,223.0,4.5,-0.975,249.5,2.0,A,0,0
10.98,3.03,245.0,8.44,0.579,251.6,6.0,A,1,1
11.66,3.47,231.0,4.63,0.29,244.8,5.2,B,0,0
11.41,2.84,229.0,4.08,-0.058,251.0,2.9,B,0,0
8.49,2.81,218.0,7.29,-0.273,252.4,9.4,C,0,0
12.72,2.17,231.0,3.47,-0.322,257.2,3.1,A,0,0
12.11,2.51,237.0,8.09,1.054,246.4,2.7,A,1,1
7.01,4.18,259.0,5.26,-0.408,247.2,10.9,C,1,0
10.28,3.21,227.0,6.66,0.6,250.2,7.2,B,0,0
14.33,2.21,251.0,7.77,-0.864,260.4,4.1,A,1,1
8.41,2.66,226.0,5.51,-0.451,247.4,4.7,B,0,0
5.97,3.98,201.0,5.83,0.015,250.2,9.6,C,0,0
6.46,2.11,208.0,8.45,-1.209,238.5,1.3,A,1,1
4.26,3.45,169.0,6.11,1.783,242.7,9.2,C,0,0
2.87,3.48,225.0,3.79,1.036,250.8,8.9,C,1,0
7.15,3.0,256.0,8.17,1.557,254.2,5.3,B,1,1
15.68,3.67,227.0,5.13,0.872,253.1,9.1,C,1,1
10.88,2.44,235.0,6.73,-0.234,252.1,7.1,B,0,0
8.64,1.65,251.0,5.01,-0.44,252.4,4.4,A,0,0
8.21,2.85,225.0,7.0,-0.404,244.1,8.4,C,0,0
11.42,4.28,197.0,8.41,-0.392,255.6,10.2,C,1,1
8.3,3.52,214.0,3.68,0.06,251.0,8.5,C,1,0
12.87,2.09,246.0,6.78,-0.293,257.0,5.7,B,1,1
8.76,2.21,204.0,7.03,1.296,241.1,3.8,A,0,0
8.47,3.8,221.0,7.28,1.442,247.2,11.6,C,0,0
0.05,2.23,201.0,9.08,0.207,257.1,8.2,C,0,0
10.37,2.16,248.0,6.46,-0.249,248.6,0.5,A,0,0
14.77,3.43,221.0,9.41,0.019,256.6,6.9,B,1,1
9.35,3.55,194.0,2.55,1.021,249.8,8.0,B,0,0
6.9,3.02,199.0,0.55,-0.38,254.5,3.4,A,0,0
7.61,3.17,199.0,6.64,1.683,245.2,4.0,A,0,0
3.16,3.78,182.0,9.09,0.914,255.1,9.2,C,0,0
3.23,3.12,239.0,7.34,0.628,246.1,6.7,B,0,0
6.52,3.1,205.0,3.62,-0.042,259.1,7.6,B,0,0
11.51,2.99,231.0,8.16,-0.218,250.0,10.8,C,0,0
7.21,4.01,207.0,10.16,-0.857,254.1,9.0,C,1,1
7.85,4.63,243.0,9.88,-0.841,251.0,9.9,C,1,1
7.41,2.52,255.0,3.45,0.183,250.6,5.5,B,0,0
8.96,2.88,220.0,2.78,-1.115,244.5,8.6,C,0,0
10.26,2.6,225.0,4.17,-1.655,235.2,4.4,B,0,0
9.45,2.88,201.0,5.86,-1.456,237.7,4.4,B,0,0
13.76,3.58,224.0,4.87,-0.199,246.7,8.2,B,0,0
10.58,2.61,208.0,6.36,2.297,253.9,5.6,B,0,0
11.56,3.39,243.0,5.29,-0.846,247.5,3.6,A,0,0
8.02,2.1,222.0,6.7,0.701,251.4,2.4,A,0,0
11.21,1.76,222.0,3.39,-1.359,255.9,7.7,B,0,0
13.26,3.43,222.0,7.98,0.961,245.9,4.4,B,1,1
12.85,3.47,232.0,5.32,0.257,252.6,8.4,C,0,0
8.62,2.48,202.0,4.03,0.218,251.6,2.0,A,0,0
2.07,2.97,218.0,2.43,0.018,242.8,7.6,C,0,0
5.65,2.64,211.0,10.17,-1.327,253.0,8.8,C,1,1
4.75,2.83,191.0,5.38,-1.265,250.1,4.8,B,0,0
9.87,2.04,216.0,6.19,2.452,247.0,3.7,A,1,1
6.89,2.01,259.0,6.41,0.46,256.7,2.4,A,0,0
11.02,2.24,229.0,1.65,-1.16,251.7,3.3,A,0,0
8.14,2.9,206.0,4.86,-1.01,243.8,6.1,B,0,0
4.13,2.45,220.0,6.17,-0.478,250.5,4.4,B,0,0
4.76,2.29,204.0,6.57,-1.265,248.4,6.3,C,0,0
6.15,2.49,238.0,2.83,0.334,249.4,3.1,A,0,0
9.14,2.67,222.0,3.83,-2.413,240.3,5.6,B,1,1
7.17,3.29,233.0,1.98,-1.593,241.8,13.0,C,0,0
10.31,2.12,224.0,4.03,-0.178,253.9,4.2,B,0,0
9.69,3.68,194.0,7.82,-0.148,251.1,10.1,C,1,1
10.33,2.84,184.0,4.98,0.031,241.4,6.7,B,1,1
4.54,2.07,221.0,7.45,1.434,255.5,0.5,A,0,0
6.64,3.81,227.0,8.04,0.721,242.7,10.0,C,1,0
7.62,3.14,213.0,7.9,1.665,251.4,6.1,B,0,0
12.4,3.24,197.0,6.32,-1.29,242.2,7.7,C,1,1
13.27,2.18,214.0,6.83,-1.038,247.4,2.9,A,0,0
10.62,1.58,213.0,7.36,-0.554,248.5,4.1,A,0,0
4.51,3.59,202.0,2.11,0.248,262.7,10.3,C,0,0
2.94,2.43,226.0,8.4,-0.149,251.6,2.6,A,0,0
8.71,2.54,231.0,11.06,-1.197,254.2,7.5,C,1,1
2.89,2.84,204.0,4.81,0.791,249.4,2.2,A,0,0
5.1,2.74,195.0,9.19,-0.123,249.9,6.9,B,0,0
8.89,3.04,230.0,7.52,0.068,249.2,4.6,B,0,0
7.79,2.18,197.0,7.78,2.127,249.5,0.5,A,1,1
6.78,3.43,216.0,4.72,1.336,250.0,8.7,C,1,0
6.64,2.07,223.0,7.45,-0.633,252.1,2.6,A,0,0
13.75,2.04,222.0,3.15,-0.632,245.7,5.4,B,0,0
4.62,2.51,240.0,2.19,0.247,258.0,8.2,B,0,0
6.42,2.17,226.0,7.69,-1.003,253.3,2.8,A,0,0
5.3,2.07,245.0,7.67,1.58,239.4,3.7,A,0,0
7.6,2.15,191.0,5.79,0.877,250.0,3.7,A,0,0
2.87,3.45,188.0,9.37,1.459,252.4,10.7,C,0,0
9.71,1.81,203.0,5.02,-1.003,248.6,1.6,A,0,0
2.77,3.64,199.0,4.69,0.367,250.3,7.4,B,0,0
11.44,3.77,193.0,2.29,0.437,260.5,6.7,B,1,1
2.3,1.75,228.0,3.42,-0.723,248.0,2.3,A,0,0
6.35,3.82,226.0,6.68,-0.536,249.1,8.5,C,0,0
7.1,1.88,239.0,3.75,-1.015,251.2,0.7,A,0,0
8.17,2.73,226.0,8.72,0.495,253.3,3.4,A,0,0
12.58,3.21,232.0,5.8,2.267,243.1,3.5,A,1,1
8.21,1.68,210.0,6.88,1.18,239.5,0.5,A,1,1
7.35,2.89,210.0,5.08,0.166,240.7,3.7,B,0,0
7.97,1.67,221.0,6.23,-2.087,243.3,2.4,A,0,0
8.36,4.31,214.0,7.64,1.795,247.5,9.8,C,1,0
11.63,4.43,227.0,6.67,-0.972,255.9,8.5,C,0,0
5.11,1.93,214.0,5.42,1.896,244.9,3.7,B,0,0
7.19,2.61,185.0,8.54,0.24,256.7,3.7,B,0,0
7.49,2.36,213.0,6.99,-1.356,244.7,1.8,A,1,1
8.94,3.66,216.0,5.47,-1.431,257.0,9.0,C,1,0
8.01,3.25,179.0,9.78,0.331,252.3,8.7,C,1,1
3.03,1.9,238.0,6.03,1.47,252.9,4.2,A,0,0
7.25,2.24,233.0,2.55,-0.431,250.8,4.0,A,0,0
1.64,2.26,241.0,5.46,0.903,230.0,4.9,A,0,0
10.84,2.38,207.0,8.45,-0.298,245.2,2.9,B,1,1
4.52,2.26,199.0,5.07,-0.607,245.2,5.0,B,0,0
12.31,3.35,229.0,5.73,0.172,240.8,8.3,C,0,0
1.35,2.83,231.0,3.49,-1.116,258.2,6.3,C,0,0
11.1,3.08,248.0,9.42,0.431,241.9,11.2,C,1,1
6.73,2.68,207.0,13.21,-0.849,256.7,5.8,A,1,1
8.34,2.82,239.0,4.78,-0.577,250.5,5.7,B,0,0
0.74,3.36,213.0,9.07,-1.141,251.4,5.5,A,0,0
11.36,3.3,202.0,8.97,-0.037,245.0,5.8,C,1,1
9.15,3.42,212.0,7.08,-0.183,256.6,7.7,C,0,0
8.62,2.26,223.0,4.37,0.776,254.4,4.5,A,0,0
7.1,3.0,217.0,7.05,1.016,241.1,6.5,B,0,0
5.01,2.85,245.0,6.67,2.299,262.7,3.5,A,0,0
8.55,1.68,209.0,8.57,-0.646,246.0,1.5,A,0,0
7.1,3.11,208.0,5.73,-0.001,248.1,4.5,B,0,0
10.12,3.19,236.0,5.8,0.143,247.8,3.2,B,0,0
5.92,2.25,229.0,4.7,-0.21,244.2,3.0,A,0,0
4.66,2.64,187.0,8.71,-1.076,248.3,7.7,C,1,1
7.13,3.45,229.0,8.03,-0.182,253.3,8.4,C,1,0
6.22,2.02,229.0,6.97,1.446,255.2,1.4,A,0,0
10.66,3.17,228.0,4.73,-0.242,260.5,6.2,B,0,0
15.58,2.8,203.0,5.26,-0.242,263.3,3.2,B,1,1
11.4,2.46,233.0,4.04,1.497,252.4,4.4,B,0,0
9.25,2.73,237.0,6.62,-1.869,259.7,9.2,C,0,0
6.41,3.56,237.0,9.68,-0.174,255.2,3.6,A,1,1
14.11,2.47,224.0,1.77,0.928,249.7,4.0,A,1,1
9.86,2.5,233.0,3.57,1.388,249.8,0.5,A,0,0
8.39,2.72,199.0,7.35,1.267,245.6,1.9,B,0,0
9.04,2.27,242.0,5.22,0.801,256.9,6.0,B,0,0
2.46,2.79,214.0,8.72,1.176,255.5,4.2,B,0,0
8.7,3.07,175.0,8.56,-1.312,252.0,5.7,B,1,1
7.35,2.62,202.0,6.93,-0.654,244.6,6.8,C,0,0
10.32,2.39,235.0,8.04,-0.491,237.3,1.7,A,1,1
8.26,3.37,201.0,2.29,0.932,248.0,9.9,C,1,0
4.51,2.72,238.0,4.44,-1.574,247.2,3.3,A,0,0
6.66,2.67,239.0,8.35,-0.172,241.4,0.8,A,0,0
5.02,2.26,227.0,5.24,0.792,254.8,3.5,A,0,0
8.51,2.35,209.0,7.16,-0.884,256.6,7.7,C,0,0
3.38,2.82,254.0,6.92,0.569,249.8,4.9,A,0,0
7.4,3.68,228.0,5.06,1.125,255.1,7.1,B,0,0
1.21,3.38,212.0,2.13,1.7,257.0,10.4,C,0,0
10.53,3.05,230.0,6.57,0.094,257.8,9.3,C,1,0
11.63,3.85,261.0,6.16,1.657,248.3,11.3,C,1,1
12.15,2.43,227.0,3.6,-0.626,246.7,4.6,B,0,0
8.86,2.21,219.0,8.32,0.068,245.6,4.5,B,0,0
10.41,2.97,246.0,5.22,-0.057,255.4,4.1,A,0,0
9.29,3.34,206.0,8.28,1.105,251.4,7.3,C,0,0
3.06,1.75,220.0,5.41,1.0,245.8,2.9,A,0,0
8.2,2.07,239.0,6.3,-0.472,252.4,4.3,A,0,0
11.53,2.77,245.0,5.65,-0.47,256.5,2.7,A,0,0
11.73,2.36,212.0,8.38,1.469,247.8,3.4,A,1,1
2.64,2.47,194.0,0.5,-0.871,253.0,1.1,A,0,0
12.75,1.47,232.0,6.55,-1.046,247.7,3.7,B,0,0
6.18,2.14,236.0,7.98,0.082,256.7,0.7,A,0,0
8.95,2.23,224.0,5.25,-0.025,243.4,5.0,B,0,0
13.22,3.89,187.0,3.41,-2.195,248.2,9.1,C,1,1
8.81,3.88,221.0,7.18,-1.344,247.8,5.5,B,1,1
4.71,2.58,239.0,8.65,-1.649,256.1,4.0,A,1,1
10.16,2.87,231.0,5.72,-0.335,240.4,6.8,B,0,0
3.99,2.54,219.0,6.71,0.203,255.0,5.1,B,0,0
7.5,2.55,198.0,6.02,-0.551,249.5,3.9,A,0,0
10.46,3.42,214.0,7.95,0.099,266.9,9.4,C,1,1
7.73,2.59,209.0,8.5,1.295,247.5,5.7,B,0,0
9.36,2.88,199.0,4.03,-0.036,243.6,5.3,A,0,0
8.77,2.5,243.0,6.37,-0.803,247.4,5.7,C,0,0
3.05,1.23,204.0,3.94,0.826,256.5,0.5,A,0,0
8.37,4.21,190.0,10.48,1.123,250.2,5.2,B,1,1
8.85,3.48,196.0,2.65,-0.566,253.3,7.7,C,0,0
0.0,2.91,204.0,9.89,-0.28,252.9,5.5,B,0,0
9.37,1.02,249.0,6.87,0.566,248.9,3.4,A,0,0
4.28,2.79,196.0,3.64,-0.666,243.0,5.8,C,0,0
11.6,2.29,219.0,6.21,0.798,260.1,4.6,A,0,0
7.3,3.43,244.0,5.63,-0.566,257.2,5.4,A,0,0
5.25,2.23,215.0,6.25,2.358,252.4,6.1,B,0,0
5.46,1.17,224.0,1.3,0.287,253.9,0.8,A,0,0
5.75,2.22,231.0,4.39,0.462,255.5,6.2,B,0,0
7.68,1.87,227.0,6.34,0.839,248.4,5.0,C,0,0
5.08,2.87,196.0,5.97,1.543,246.5,6.8,C,0,0
8.25,2.64,226.0,6.91,0.639,247.3,5.1,B,0,0
6.33,1.93,234.0,3.74,0.137,239.3,2.8,A,0,0
8.72,2.44,230.0,6.67,0.055,252.3,4.7,A,0,0
9.62,3.29,217.0,6.17,-1.239,257.5,4.0,A,0,0
9.28,1.82,231.0,5.22,-0.368,242.7,1.3,A,0,0
7.63,2.59,213.0,3.84,1.714,253.8,5.0,A,0,0
9.12,3.18,214.0,6.55,0.552,258.8,3.6,A,0,0
6.47,2.25,257.0,8.44,-1.235,257.0,3.8,A,0,0
2.58,2.28,219.0,4.72,-1.217,249.6,6.2,B,0,0
4.83,1.47,215.0,5.11,0.005,251.0,0.7,A,0,0
5.53,2.31,226.0,6.33,-1.717,243.4,7.1,B,0,0
7.73,1.95,210.0,6.92,-0.447,260.7,4.0,B,0,0
6.71,2.22,216.0,9.08,0.823,256.2,1.7,A,0,0
13.54,2.16,219.0,5.98,1.418,237.4,3.2,B,0,0
4.84,3.18,228.0,5.69,0.143,246.9,4.5,A,0,0
5.78,2.73,235.0,6.83,-0.958,250.0,5.7,B,0,0
3.48,3.15,225.0,3.06,0.257,246.1,2.2,B,0,0
9.42,2.75,240.0,6.01,0.636,245.5,1.5,A,0,0
7.03,1.76,220.0,4.08,-0.083,235.6,2.8,A,0,0
12.99,1.85,228.0,10.96,2.029,251.6,0.6,A,1,1
6.23,3.04,201.0,3.75,1.753,249.9,3.9,A,0,0
3.56,3.62,271.0,7.94,-0.221,253.7,8.5,C,1,0
4.5,3.01,212.0,6.1,-0.616,250.1,10.5,C,1,0
8.89,2.16,244.0,8.04,0.381,255.0,5.5,C,1,1
5.13,3.38,231.0,9.2,-0.572,239.8,11.0,C,1,0
12.98,3.76,222.0,7.76,0.417,260.3,7.0,B,1,1
4.73,2.58,216.0,9.91,-1.207,251.7,4.0,A,0,0
12.18,2.68,179.0,9.89,-0.612,242.1,7.9,C,1,1
9.55,3.57,214.0,8.62,-0.128,247.5,5.3,B,0,0
5.12,1.88,215.0,6.77,1.491,258.6,6.6,C,0,0
9.49,2.5,216.0,6.04,-0.081,254.8,3.7,B,0,0
9.44,2.23,240.0,2.43,-0.946,236.1,4.3,B,0,0
8.71,3.11,223.0,8.73,-2.109,236.7,5.6,B,1,1
4.34,1.85,201.0,7.06,-0.227,248.7,1.4,A,0,0
8.44,2.69,213.0,4.65,1.306,251.9,5.0,A,0,0
9.69,3.46,196.0,5.25,-0.484,255.2,7.0,B,0,0
6.24,2.6,192.0,6.17,-0.709,259.8,7.0,C,0,0
12.28,4.03,226.0,9.15,-0.289,245.7,3.0,A,1,1
12.34,4.31,234.0,3.72,1.35,251.1,9.6,C,1,0
7.67,3.46,207.0,4.93,-1.281,255.9,5.2,B,0,0
5.01,4.12,238.0,7.33,1.391,249.5,9.7,C,0,0
11.46,3.36,231.0,6.21,1.414,253.1,4.3,A,0,0
9.79,2.79,201.0,6.95,0.075,249.7,3.3,A,0,0
4.06,3.77,220.0,8.72,-0.811,238.6,11.5,C,0,0
7.34,3.29,212.0,1.82,2.193,243.1,5.9,B,0,0
6.39,3.55,232.0,5.73,-0.94,252.7,8.9,C,1,0
12.29,2.49,225.0,5.65,-0.433,251.8,4.2,B,0,0
5.85,3.88,241.0,3.58,1.063,244.3,10.3,C,0,0
6.41,3.13,231.0,8.87,0.843,246.4,8.6,C,0,0
10.52,3.81,239.0,5.14,-1.196,249.4,9.3,C,0,0
5.18,3.24,233.0,7.98,-0.151,251.7,4.3,B,0,0
6.71,2.0,248.0,6.43,-0.536,238.7,3.1,A,0,0
4.12,2.17,216.0,6.99,1.515,254.4,5.4,B,0,0
8.73,3.16,216.0,2.68,0.026,245.1,11.7,C,0,0
8.01,3.88,206.0,7.4,0.493,252.4,8.7,C,0,0
9.42,2.69,239.0,7.47,-1.262,246.9,3.0,B,1,1
10.03,3.52,190.0,5.33,-0.668,253.0,4.8,B,0,0
11.28,2.68,237.0,5.83,-0.849,245.3,3.5,A,1,1
8.84,3.79,225.0,7.12,-0.125,243.1,5.9,B,0,0
6.59,2.49,224.0,9.23,0.444,247.4,2.4,B,0,0
10.62,3.46,208.0,7.57,-1.009,261.4,10.3,C,1,1
8.59,3.04,217.0,7.71,1.378,256.8,8.8,C,0,0
6.7,1.95,165.0,4.4,1.876,241.6,4.0,A,0,0
14.68,2.46,243.0,2.02,-0.609,248.5,3.9,B,1,1
12.94,2.59,184.0,6.53,0.217,244.4,2.7,B,1,1
10.15,2.4,238.0,4.69,1.023,260.7,2.4,A,0,0
11.12,2.87,221.0,8.94,0.217,235.4,6.4,B,1,1
7.06,1.22,206.0,5.37,0.171,247.7,2.2,A,0,0
1.85,2.69,246.0,6.6,0.909,244.5,4.1,A,0,0
4.97,2.06,207.0,3.86,-1.754,256.2,3.3,A,0,0
2.9,2.47,210.0,8.36,-0.851,246.4,3.0,B,0,0
9.44,3.23,207.0,5.0,0.679,247.1,9.2,C,1,0
12.17,2.41,211.0,4.24,0.746,246.6,2.5,B,0,0
11.73,3.94,233.0,5.75,1.901,253.4,9.5,C,1,1
7.43,2.41,211.0,7.2,0.599,247.6,5.6,B,0,0
3.62,2.14,232.0,2.02,-1.553,253.3,4.7,A,0,0
6.55,2.11,218.0,3.14,-0.913,252.6,4.1,B,0,0
8.03,3.95,201.0,4.27,-1.416,255.2,9.0,C,1,0
10.4,3.64,245.0,8.75,-1.434,248.3,8.2,C,1,1
6.54,2.89,194.0,5.59,1.008,255.0,3.8,B,0,0
8.93,2.92,210.0,3.68,-2.449,239.7,5.9,B,1,1
2.26,1.9,239.0,6.54,-0.484,250.2,3.8,B,0,0
1.14,2.86,194.0,6.25,-0.059,243.6,7.9,C,0,0
8.5,2.61,233.0,6.58,-1.171,246.8,4.4,B,0,0
11.57,2.99,198.0,3.33,-0.61,256.1,9.9,C,0,0
8.93,1.83,209.0,6.0,-0.843,249.4,5.4,B,0,0
6.61,3.26,219.0,5.96,-0.989,253.9,6.7,A,0,0
9.82,2.59,218.0,3.4,-1.438,245.9,4.4,A,0,0
9.64,0.5,257.0,4.36,-0.367,251.5,1.2,A,0,0
13.15,3.28,234.0,3.74,-1.082,253.2,2.4,A,0,0
9.88,1.12,237.0,7.64,-0.193,247.3,0.5,A,0,0
9.52,2.74,173.0,1.19,0.17,242.4,3.3,A,0,0
6.94,2.45,226.0,6.84,-0.924,252.0,4.7,B,0,0
5.55,2.89,224.0,3.55,-0.357,250.7,4.6,A,0,0
10.88,3.79,215.0,7.05,0.792,244.3,8.0,C,0,0
10.16,2.81,228.0,4.53,-0.33,236.4,5.1,A,0,0
1.68,3.9,220.0,7.8,-0.746,246.8,6.7,C,0,0
6.38,1.7,242.0,5.86,1.272,248.4,1.5,A,0,0
7.67,1.86,234.0,6.66,0.809,251.6,3.5,A,0,0
5.36,2.54,234.0,3.62,1.174,239.3,3.0,A,0,0
9.99,0.79,263.0,3.93,0.462,258.5,0.5,A,1,1
8.14,2.68,225.0,5.29,0.564,247.0,5.1,A,0,0
6.45,1.52,228.0,7.86,-0.032,260.5,2.5,A,0,0
7.1,3.1,230.0,7.08,0.516,256.9,6.2,B,0,0
6.77,3.11,200.0,3.98,-1.736,252.0,4.7,B,0,0
10.47,2.04,190.0,10.37,-1.133,254.7,1.2,A,1,1
5.15,3.51,244.0,6.6,-0.109,248.6,8.2,C,0,0
10.77,2.35,230.0,9.59,2.828,246.5,4.1,B,1,1
0.8,4.0,256.0,2.02,-1.867,260.6,10.5,C,1,0
5.66,2.82,221.0,6.95,-0.811,256.8,4.6,B,0,0
5.94,2.21,189.0,7.74,-1.083,254.5,1.6,A,0,0
8.03,3.11,220.0,5.0,1.702,240.9,4.5,B,0,0
10.16,2.92,200.0,3.9,0.46,258.6,5.1,A,0,0
6.45,2.72,212.0,4.14,1.341,253.2,5.3,B,0,0
2.87,1.29,247.0,2.92,0.953,259.1,3.3,A,0,0
8.23,3.42,211.0,10.4,0.244,247.8,5.5,A,0,0
10.89,2.63,224.0,4.02,-1.077,252.2,4.5,B,0,0
8.27,3.75,245.0,6.13,-1.191,253.3,3.4,B,1,1
9.63,2.79,246.0,5.93,1.858,241.0,4.1,B,1,1
10.01,3.73,222.0,7.99,-0.344,239.9,5.2,B,0,0
9.74,2.07,189.0,7.85,-0.188,258.8,1.3,A,1,1
3.32,2.5,221.0,6.51,-1.22,253.6,7.3,B,0,0
10.46,2.84,238.0,6.29,1.211,258.7,5.0,B,1,1
10.18,4.17,240.0,3.91,0.331,251.5,6.7,B,0,0
9.66,4.3,218.0,8.42,-0.15,249.0,10.5,C,1,1
7.01,3.35,186.0,6.94,-0.584,245.7,5.2,A,0,0
10.94,3.43,209.0,6.44,0.705,255.4,10.9,C,1,0
5.59,3.55,237.0,5.14,1.608,258.2,7.5,B,0,0
10.76,2.26,193.0,1.27,-0.365,249.2,0.5,A,0,0
2.85,3.08,235.0,2.39,-0.905,247.9,4.5,B,0,0
5.01,1.16,231.0,9.75,-0.697,245.2,1.1,A,0,0
7.88,2.39,224.0,9.56,-0.769,247.1,2.5,B,0,0
3.3,3.01,234.0,6.13,-0.409,256.3,9.5,C,1,0
5.41,2.58,222.0,9.91,-0.907,248.6,6.0,B,0,0
10.03,2.65,222.0,6.79,1.161,249.0,4.2,B,1,1
10.61,2.57,223.0,5.21,0.092,247.5,4.0,B,0,0
0.73,3.68,229.0,10.92,0.929,257.9,1.5,A,0,0
4.92,2.34,233.0,6.55,-0.89,251.5,6.5,C,0,0
9.2,2.49,237.0,3.41,-1.229,254.2,4.3,B,0,0
10.48,3.38,226.0,6.74,0.584,254.8,3.8,B,0,0
