rms_mm_s,peak_g,crest_factor,kurtosis,dom_freq_orders,hf_energy_pct
4.24,0.935,6.101,7.686,3.25,44.512
6.337,0.975,3.214,3.029,0.98,8.345
2.607,3.269,6.911,6.083,5.57,61.653
3.642,1.058,3.385,3.087,1.01,11.637
1.764,0.315,3.645,3.035,0.99,6.459
3.369,0.984,3.191,3.045,0.99,9.648
4.822,0.418,5.431,10.921,6.78,44.989
7.066,1.05,3.261,3.211,1.01,8.419
0.96,0.364,2.462,2.497,1.06,6.835
5.03,0.979,3.276,3.133,0.99,11.51
3.459,1.024,3.034,3.025,1.0,11.625
5.028,1.041,3.375,3.188,1.01,8.356
4.009,0.95,3.186,3.231,1.01,7.853
6.224,0.992,3.137,3.151,1.0,11.835
1.707,0.263,3.518,3.065,0.92,9.702
7.044,4.071,2.99,14.605,4.95,67.944
1.092,0.237,2.998,2.793,0.96,5.72
1.219,0.451,2.725,2.569,0.95,10.472
3.648,1.598,6.929,9.566,3.94,45.639
4.35,0.964,3.207,2.972,0.97,10.942
1.484,0.299,2.879,3.752,0.97,8.861
5.158,1.528,4.421,3.855,2.01,12.958
5.339,1.431,3.421,2.912,2.1,15.72
1.138,0.293,2.665,2.752,1.07,6.761
4.047,1.035,3.181,3.022,1.01,10.005
3.247,1.283,4.273,3.185,2.04,14.367
1.622,0.363,3.153,2.864,0.98,6.373
1.379,0.171,3.281,3.395,1.01,7.499
3.475,1.016,3.209,2.982,1.0,12.835
3.769,1.458,3.849,3.233,1.97,11.597
5.299,0.976,3.075,2.978,1.01,12.231
5.297,0.97,3.232,3.238,1.0,12.272
3.697,1.191,3.676,3.702,1.97,12.161
4.54,2.687,4.011,7.792,6.25,26.105
1.641,2.022,8.794,8.88,3.9,22.355
4.225,0.935,3.652,4.25,1.85,9.541
1.151,0.417,3.199,3.109,1.01,4.906
5.793,1.503,3.485,3.443,1.99,9.457
1.181,0.228,3.542,3.482,1.08,7.193
6.034,1.073,3.33,3.005,0.99,9.426
4.968,1.117,2.47,3.279,1.96,14.215
1.431,0.252,3.179,2.57,0.96,7.728
1.538,0.273,3.487,3.518,1.0,13.769
4.173,1.308,4.147,3.88,2.01,16.743
1.484,0.32,3.468,2.168,1.01,7.301
1.396,0.369,3.515,2.978,0.97,6.961
2.021,0.288,2.499,3.192,0.92,4.148
3.88,1.083,3.965,3.621,2.01,11.994
1.811,0.26,2.657,3.157,1.05,9.142
3.917,1.212,4.955,3.47,2.02,10.557
6.295,1.076,3.336,3.101,1.0,11.998
3.46,2.408,4.801,11.361,3.39,16.48
2.626,0.925,2.945,3.058,1.0,9.972
1.517,0.275,2.618,3.034,1.03,6.466
3.564,0.997,4.016,3.975,2.14,12.055
1.216,0.305,3.213,3.215,1.07,9.627
1.173,0.23,3.139,3.553,0.98,8.251
1.15,0.193,2.495,3.242,1.06,4.389
4.611,1.047,3.019,3.113,1.0,11.094
5.234,1.038,3.246,3.085,1.01,8.722
3.627,3.131,6.297,6.038,4.38,40.625
1.343,0.131,3.243,2.038,0.97,6.317
1.113,0.459,3.651,2.652,1.0,9.251
1.196,0.205,3.274,2.745,0.98,11.388
3.174,1.006,3.195,3.157,1.01,11.897
2.5,2.932,7.164,11.033,5.42,69.476
3.776,1.06,3.317,3.132,1.0,5.683
4.971,1.021,3.733,2.967,1.94,11.848
5.049,1.289,3.926,3.047,2.05,16.648
5.082,0.998,3.239,3.125,1.01,7.173
1.379,0.256,3.586,3.488,1.02,11.328
3.178,3.121,6.488,6.13,5.33,30.919
2.0,0.037,1.931,2.597,1.01,7.935
3.086,2.527,9.262,7.9,2.35,40.129
1.565,0.363,2.959,3.268,1.07,7.22
3.028,2.391,7.251,4.997,5.28,42.838
2.596,1.126,3.756,3.49,1.91,11.694
7.211,1.12,3.252,3.165,1.01,11.702
3.687,1.137,3.766,4.416,1.95,10.035
2.194,1.838,5.089,12.33,5.95,62.192
1.537,0.317,3.653,2.97,1.02,9.892
3.965,3.857,6.531,4.841,5.06,47.969
4.101,1.022,3.182,3.09,1.02,12.139
1.351,0.405,3.133,3.335,0.96,10.955
1.144,0.21,2.548,3.193,0.92,6.729
2.302,1.303,4.046,3.816,1.94,12.75
4.17,1.012,3.673,3.68,2.0,18.546
7.175,0.858,3.197,3.097,1.01,11.388
3.675,0.874,9.121,9.968,5.71,55.159
1.372,3.273,6.328,5.375,4.13,37.317
4.788,1.048,3.06,3.113,1.0,11.315
5.868,1.078,3.14,3.07,1.0,9.674
1.349,0.401,3.081,3.335,1.03,6.309
2.581,1.218,4.536,8.764,5.16,27.952
4.763,1.293,4.202,3.38,2.1,14.111
3.265,1.066,3.222,3.287,0.99,12.133
6.082,2.563,9.151,14.303,4.12,33.115
1.458,0.305,4.065,2.898,0.93,6.951
3.31,1.167,4.01,3.183,2.0,13.86
4.54,0.957,3.766,3.158,1.96,12.609
4.659,0.921,3.333,3.176,0.99,11.012
1.276,0.301,2.839,3.604,1.01,5.568
3.326,1.23,4.264,3.838,1.99,13.212
4.516,0.935,3.516,3.897,1.99,14.366
1.203,0.294,2.958,2.591,1.0,8.712
4.286,0.933,3.196,3.249,1.01,9.04
1.778,0.246,2.036,2.428,1.03,8.199
3.103,3.714,5.361,12.547,5.84,25.68
5.919,1.034,3.208,2.912,1.0,7.302
5.114,0.945,3.2,3.289,1.0,8.387
4.787,1.873,8.703,7.993,1.6,26.884
1.888,0.299,3.286,3.064,0.97,7.437
2.844,1.985,5.944,7.442,5.2,51.212
4.219,1.441,3.625,3.17,2.02,13.278
0.908,0.203,2.866,3.559,1.0,10.512
4.717,1.009,3.471,3.224,0.99,9.79
3.206,1.022,3.44,3.467,1.85,12.574
6.017,1.035,3.293,3.179,1.0,10.46
3.102,2.111,7.266,9.965,5.72,50.577
4.13,1.018,3.25,3.129,1.01,11.846
5.446,1.51,6.118,9.223,5.21,45.894
1.181,1.822,9.448,5.724,5.63,25.016
4.247,3.823,7.918,7.993,3.29,46.148
3.308,2.691,6.806,7.342,6.23,49.111
3.13,2.875,3.308,9.024,4.01,41.268
4.646,1.288,3.223,4.274,1.97,15.068
4.589,0.878,3.626,4.269,2.05,14.234
4.001,1.165,3.674,4.065,2.06,11.401
4.538,1.535,3.535,3.477,2.05,13.973
1.939,0.307,2.734,2.72,0.95,5.902
2.903,1.046,4.647,3.563,2.02,12.97
2.589,3.014,5.465,8.659,4.14,45.626
1.545,0.437,2.813,3.159,0.95,8.983
5.639,0.994,3.184,3.131,1.01,10.5
4.53,1.039,3.281,3.001,0.96,11.183
1.105,0.136,3.445,3.3,1.0,5.258
3.712,1.087,3.387,2.836,1.99,17.012
1.405,0.348,3.573,3.016,0.96,8.707
1.368,0.381,2.783,2.844,0.93,5.202
5.26,1.125,3.595,3.691,1.99,18.443
4.585,1.522,3.349,3.295,1.98,21.705
1.215,0.226,2.163,3.106,0.97,3.525
3.553,0.97,3.248,3.062,0.99,10.369
4.315,1.013,3.109,3.143,0.99,7.297
1.698,0.155,2.897,3.42,0.98,6.374
5.58,3.185,5.817,11.126,3.02,29.169
4.308,1.321,4.372,4.507,2.0,10.197
0.711,0.174,3.085,3.277,0.9,9.124
1.225,0.374,3.419,3.384,0.89,10.175
7.658,0.976,3.139,3.114,1.01,11.622
7.513,0.973,3.232,3.021,1.01,12.488
4.074,1.243,3.315,3.732,1.98,16.671
1.734,0.284,3.691,2.68,0.99,10.204
1.549,0.302,2.18,2.806,1.02,6.057
1.632,0.346,2.273,3.049,0.9,9.85
3.877,2.605,4.938,6.123,3.27,34.715
3.431,2.041,5.557,7.417,6.86,20.939
1.374,0.263,3.094,3.094,1.09,2.511
0.894,1.65,7.344,5.313,2.99,55.838
1.227,0.346,2.885,3.832,0.93,6.031
5.915,0.934,3.33,3.189,1.01,9.627
3.624,2.584,5.039,5.907,1.35,33.78
5.139,1.058,3.267,3.205,0.98,8.902
2.629,3.418,6.928,6.417,4.82,62.081
5.683,0.934,3.199,3.031,0.99,6.717
1.445,0.3,3.099,3.07,1.09,7.81
4.596,1.038,3.265,3.074,1.0,9.209
3.81,1.2,3.331,2.761,2.12,14.998
3.662,1.244,4.132,3.059,2.09,16.333
4.517,1.025,3.281,3.026,1.01,10.907
4.27,1.124,3.229,3.017,0.98,10.225
1.678,0.28,3.326,3.266,1.1,5.694
4.587,2.572,6.57,7.017,6.69,63.469
4.905,0.78,3.935,4.133,2.02,11.979
5.071,0.951,3.376,3.125,0.98,11.993
4.428,1.044,3.141,3.081,1.0,6.753
1.56,1.631,4.77,6.736,4.99,30.045
6.034,0.154,8.995,2.19,4.38,20.772
1.328,0.153,2.699,2.637,1.03,9.483
1.308,0.447,3.15,3.158,1.01,6.839
5.76,1.635,3.168,3.839,1.93,12.429
1.88,0.163,2.987,2.483,0.97,10.136
3.895,1.28,4.637,2.977,2.05,11.732
1.415,0.323,3.451,3.398,1.03,5.69
5.022,0.968,3.214,3.065,0.99,9.647
4.924,1.101,3.846,2.995,2.0,12.351
5.753,1.048,3.653,3.039,2.04,11.7
4.426,1.241,4.165,3.979,1.98,10.195
3.008,0.845,2.955,2.225,2.03,13.493
3.309,1.262,3.544,2.829,1.95,10.068
5.072,0.921,3.224,3.059,0.99,9.733
1.554,0.164,3.217,2.673,0.91,6.858
6.267,0.949,3.221,3.086,0.99,12.048
1.303,0.246,3.599,3.06,0.99,11.258
1.094,0.143,2.914,2.675,1.05,7.404
4.366,3.44,6.097,3.535,4.34,59.849
5.451,1.087,3.26,3.148,0.99,11.386
7.899,0.957,3.279,2.853,0.99,11.591
5.656,0.943,3.382,2.934,0.97,13.414
1.526,0.348,2.436,3.307,1.04,7.149
1.417,0.382,2.96,3.533,1.04,8.93
5.338,0.969,3.147,3.091,0.98,11.404
3.21,1.062,3.085,3.173,0.99,8.916
0.857,0.289,2.832,2.531,0.96,7.557
1.378,0.301,2.527,3.78,0.92,9.653
1.523,0.319,3.372,3.676,0.93,6.269
3.424,3.401,6.684,7.148,5.21,36.976
5.854,1.011,3.2,2.929,0.99,8.623
3.81,1.182,3.818,4.177,2.08,18.248
4.905,1.291,3.227,3.421,2.11,14.355
1.762,0.242,3.291,2.05,1.03,10.682
6.389,1.083,3.138,3.075,1.0,7.763
1.11,0.337,3.088,2.922,0.9,8.597
6.416,1.04,3.281,3.271,1.0,10.229
1.789,0.266,3.137,3.311,0.98,4.628
1.484,0.299,3.131,2.591,1.03,6.035
4.155,0.93,3.616,4.349,2.02,10.512
1.629,0.26,3.238,2.903,0.98,9.183
7.849,2.555,5.398,14.859,6.51,73.294
3.497,1.303,3.957,3.595,2.05,10.513
5.464,1.074,3.234,3.097,1.02,11.236
2.694,2.999,5.026,10.481,5.68,21.387
4.344,1.132,4.022,3.98,2.04,15.107
1.146,0.283,3.245,3.01,0.91,6.873
3.905,3.239,9.103,9.608,2.68,54.503
3.636,0.937,3.279,3.059,0.99,7.484
1.783,0.26,3.893,3.639,1.06,9.442
1.254,0.226,2.915,3.114,1.02,7.944
1.311,0.325,2.399,3.062,1.08,10.408
3.317,0.922,3.23,3.161,1.02,10.15
5.206,0.921,3.273,3.153,1.0,11.263
1.578,0.108,3.547,3.329,0.95,7.71
3.985,0.858,4.189,3.029,1.97,16.598
1.355,0.397,2.86,3.468,1.01,9.774
1.672,0.387,3.603,3.88,1.04,4.443
5.37,1.031,3.281,2.992,1.0,10.69
6.009,0.967,3.102,3.243,0.98,9.043
3.057,0.971,3.224,3.011,0.99,9.513
1.396,0.214,3.185,2.938,1.01,10.779
7.558,2.619,4.587,3.604,5.49,18.176
5.926,3.058,5.344,14.074,5.73,11.078
1.318,0.462,3.114,3.221,0.95,9.124
5.368,1.002,3.175,2.996,1.01,11.414
1.473,0.317,2.747,2.945,1.03,7.698
1.265,0.236,3.736,2.815,1.16,6.532
2.343,0.972,3.123,2.861,1.0,11.445
1.649,0.404,2.806,2.996,1.08,8.211
4.497,1.727,5.577,6.025,3.43,44.707
4.691,0.973,3.929,3.664,1.95,16.967
3.086,1.067,3.193,2.867,1.01,11.814
4.413,0.981,3.109,3.182,1.0,8.247
1.228,0.306,2.969,3.619,0.97,6.143
4.149,0.941,4.448,3.223,2.0,14.458
3.716,1.322,3.787,3.441,2.09,14.048
1.524,0.283,3.218,2.706,0.88,7.818
6.674,0.978,2.555,3.821,2.01,14.182
7.539,0.985,3.175,2.994,1.0,12.547
1.91,0.266,2.851,3.565,1.01,4.601
4.103,1.411,3.253,3.369,2.02,17.424
6.857,1.249,2.721,9.028,1.3,63.045
3.576,1.295,4.473,3.78,1.97,15.723
4.29,0.991,3.212,2.956,1.02,11.754
1.306,0.3,3.409,2.814,1.01,5.86
3.308,0.936,3.896,5.22,1.93,8.758
1.792,0.36,3.282,2.721,0.92,5.157
6.312,0.912,3.414,3.092,1.0,10.479
1.562,0.234,3.215,3.419,1.0,11.379
1.802,0.269,3.415,2.803,0.95,6.604
2.345,0.957,3.259,3.116,1.0,7.631
5.338,1.012,3.117,3.048,0.99,8.375
0.841,0.362,3.741,2.805,0.97,9.34
1.266,0.26,2.981,2.648,0.99,8.751
4.786,1.07,3.473,3.827,1.92,12.423
1.406,0.361,3.802,2.638,0.97,7.971
2.227,2.809,9.305,7.849,2.69,51.506
1.644,0.263,2.855,3.015,1.03,7.803
1.231,0.295,3.069,3.013,1.01,10.657
4.202,1.381,2.817,2.978,2.04,12.302
1.483,0.274,2.654,2.437,1.0,7.536
1.11,0.274,2.53,3.449,0.97,10.183
0.883,0.276,1.923,3.202,1.04,9.935
4.965,1.664,3.869,2.94,2.18,14.906
1.392,0.286,3.108,3.61,1.01,6.112
1.827,0.139,3.697,2.773,1.01,6.756
1.312,0.418,3.139,3.09,0.96,7.596
3.402,1.273,4.399,4.207,1.95,11.12
1.173,0.352,3.365,3.05,0.97,7.741
1.364,0.17,3.067,2.898,0.98,6.216
3.853,2.324,7.186,5.737,4.59,54.427
4.517,1.152,3.887,4.722,1.98,9.047
3.852,0.903,3.142,2.864,0.99,10.31
3.688,1.02,3.284,3.155,0.99,10.171
4.844,1.392,3.815,3.444,1.97,10.275
1.349,0.219,2.884,2.792,1.07,8.427
3.873,2.971,6.565,5.824,3.33,19.963
3.515,1.406,3.73,3.46,1.98,17.344
5.269,0.861,3.4,4.202,2.03,15.315
1.213,0.326,2.88,2.916,0.96,8.322
3.759,0.986,3.228,3.147,1.0,9.19
1.434,0.348,3.362,2.849,0.97,7.346
3.496,1.01,3.113,3.178,0.98,11.329
5.218,0.968,3.189,3.221,1.0,13.147
1.418,0.337,2.94,2.095,0.97,4.756
2.956,2.622,6.831,7.057,3.12,65.158
4.982,1.072,3.232,3.95,1.9,14.305
6.299,1.009,3.255,3.167,0.99,8.001
7.749,3.287,5.291,7.628,3.76,48.722
1.696,0.523,2.942,3.799,0.94,8.914
3.079,1.085,2.742,3.912,1.97,14.683
3.372,0.931,3.327,3.168,1.0,7.504
4.593,0.958,3.212,3.119,1.02,8.442
1.313,0.273,3.803,2.322,0.89,7.827
4.932,0.677,4.217,3.977,2.05,14.649
1.22,0.39,3.637,3.219,0.97,9.429
1.457,0.268,2.911,2.575,1.02,6.188
1.589,0.363,2.874,2.816,1.1,8.851
1.425,0.252,2.494,2.867,0.99,8.608
1.433,0.369,2.877,2.994,1.0,5.561
4.307,2.571,3.382,6.282,4.78,30.186
4.476,1.307,2.891,4.114,1.94,16.1
6.346,0.966,3.274,3.158,1.0,12.653
5.512,1.474,3.53,3.591,1.96,12.388
4.494,1.057,3.138,3.768,1.97,17.562
6.107,1.095,3.201,3.263,1.02,12.425
4.319,4.066,7.761,7.852,7.33,14.814
1.459,0.353,2.248,2.55,1.02,12.315
2.483,2.073,6.466,15.652,5.33,54.175
5.849,0.961,3.155,3.228,1.0,12.85
6.268,0.928,3.181,2.941,0.99,11.519
3.758,0.938,3.144,3.057,1.0,13.952
4.539,1.118,3.646,3.992,2.14,19.201
2.268,2.693,5.797,9.034,4.7,45.134
1.76,3.017,6.26,9.133,4.76,36.443
2.663,3.687,5.27,8.074,1.88,52.964
1.776,0.189,3.145,2.552,1.0,6.793
2.561,0.95,3.223,2.8,0.98,10.795
3.945,1.053,3.146,3.007,1.01,7.889
0.955,0.336,3.134,2.455,0.91,6.296
3.412,1.695,3.059,3.819,1.96,13.289
4.221,0.99,3.222,2.993,1.02,15.029
1.679,0.204,2.945,2.253,1.11,7.832
3.799,0.931,3.986,3.731,2.03,14.381
7.412,1.033,3.281,3.127,1.0,11.844
6.687,1.063,3.402,3.154,0.99,14.676
1.262,0.385,2.78,3.393,0.98,8.864
1.538,0.923,3.202,3.013,1.01,8.857
3.888,0.959,4.411,3.323,2.01,15.033
4.541,2.678,6.107,8.957,4.97,53.58
5.019,1.446,4.265,4.496,2.0,9.692
1.608,0.323,3.18,2.451,1.04,9.877
4.56,1.345,3.677,3.868,1.94,14.841
1.568,0.275,2.491,3.091,0.99,8.52
1.737,0.279,3.486,2.855,0.96,5.026
2.717,1.855,7.969,6.562,3.3,46.752
8.273,0.999,3.382,3.028,1.0,10.909
0.937,0.299,2.843,3.119,0.91,8.021
1.328,0.165,3.663,2.722,0.99,7.66
5.085,0.99,3.467,4.174,2.05,8.268
6.599,1.947,6.636,12.813,4.92,20.786
5.227,1.355,4.158,4.148,2.0,18.961
1.248,0.182,3.32,3.014,0.96,4.737
2.584,3.137,5.618,6.095,6.67,40.625
3.864,1.641,7.473,11.267,4.01,33.829
4.172,1.211,3.044,4.1,1.93,13.553
1.793,0.394,3.445,3.133,0.98,10.541
5.431,0.991,3.345,3.115,0.98,9.659
1.745,0.159,3.316,2.617,0.98,12.787
1.172,0.319,4.015,2.292,1.06,7.623
8.042,3.989,9.015,2.41,6.14,3.728
2.969,2.413,5.938,4.484,4.96,37.967
1.638,2.129,9.458,15.121,6.62,42.306
3.022,0.978,3.22,2.986,1.0,8.464
3.723,0.986,3.521,3.539,2.08,15.567
4.033,1.027,4.804,3.621,1.96,17.898
3.061,1.158,3.51,4.23,2.15,11.945
1.282,0.289,2.277,2.925,0.95,12.346
2.281,0.274,3.067,2.446,1.02,7.819
4.668,3.453,5.54,10.096,4.69,42.609
3.891,3.818,5.363,10.743,4.75,68.273
4.524,1.265,3.52,2.616,1.91,10.476
4.595,0.959,3.178,3.01,1.0,8.281
5.948,1.002,3.138,3.089,0.97,10.922
1.187,0.273,3.459,2.996,1.05,12.289
1.257,0.316,3.209,2.178,1.01,5.872
1.053,0.185,3.08,2.901,1.01,7.891
3.009,2.594,8.928,7.035,4.11,31.605
5.328,1.284,4.203,3.068,1.97,16.9
4.539,2.656,5.998,6.983,4.06,75.248
1.467,0.401,2.977,2.811,0.92,8.595
1.441,0.394,3.049,2.769,1.07,8.541
1.247,0.225,3.02,2.762,0.97,6.54
4.133,1.189,3.938,3.075,2.0,15.298
3.555,2.441,5.425,9.85,2.83,42.328
3.675,1.232,3.937,3.335,2.01,11.408
4.105,1.037,3.183,3.139,0.98,12.708
5.366,1.759,7.228,5.904,6.08,57.362
3.239,3.086,6.603,13.06,3.24,47.011
4.5,1.058,3.066,3.022,1.0,10.837
4.682,0.981,3.346,3.119,0.99,8.829
1.743,0.33,3.107,3.717,1.09,7.278
6.611,1.057,3.156,2.941,1.0,8.903
1.371,0.184,3.695,3.217,0.92,5.654
2.409,1.026,3.299,3.236,1.01,11.755
2.88,0.925,4.798,4.615,2.07,9.04
4.62,1.054,3.136,3.149,0.98,9.481
2.538,1.574,6.117,10.654,4.76,61.446
2.734,1.734,7.213,9.435,6.13,43.539
3.539,1.02,3.719,3.458,1.99,9.154
4.145,1.422,3.509,3.979,2.05,14.115
2.403,0.464,2.256,2.649,1.01,9.477
5.612,1.012,3.23,3.051,1.0,10.209
1.494,0.283,2.541,2.729,1.02,8.939
1.867,0.349,3.668,3.375,0.99,9.921
3.178,0.958,3.698,4.341,1.93,16.642
2.666,3.081,6.292,5.593,5.21,59.515
1.134,0.235,3.258,2.75,1.01,4.698
4.631,1.259,4.298,2.943,2.01,16.257
1.448,0.384,2.72,2.31,1.03,6.857
3.639,1.064,3.801,3.278,2.08,16.082
2.546,0.915,2.621,10.955,1.3,39.055
1.278,0.143,2.763,2.673,0.95,11.291
1.316,0.181,2.539,2.86,0.94,10.273
3.189,2.807,8.94,7.817,4.78,35.077
4.588,0.937,3.154,3.09,1.0,10.234
1.241,0.235,3.38,3.029,0.98,7.747
3.253,2.59,4.946,6.733,4.31,39.499
1.157,0.259,2.655,3.358,0.97,7.834
3.368,2.536,8.256,3.684,5.37,35.018
1.657,0.396,3.301,2.44,0.98,8.402
4.242,1.516,3.573,2.919,1.95,10.815
3.831,1.28,4.263,2.315,1.99,14.882
1.125,0.338,3.455,3.098,1.01,8.561
2.987,3.569,6.952,9.523,4.66,32.907
4.995,0.1,6.669,11.191,1.55,65.278
1.433,0.404,2.638,2.915,0.93,10.118
4.55,3.035,6.892,10.482,2.56,53.579
4.518,1.218,3.625,3.554,2.08,15.505
1.768,0.316,3.056,3.457,0.96,9.784
4.025,1.207,2.768,3.064,2.02,10.793
2.553,1.598,8.141,8.22,0.95,27.567
4.033,1.018,3.278,3.004,0.99,8.808
1.359,0.252,3.312,2.757,1.01,6.927
1.476,0.308,3.398,2.24,1.04,7.968
5.69,0.93,3.195,3.147,1.02,7.849
2.866,1.572,9.669,9.303,4.47,61.656
1.465,0.354,3.414,2.68,1.0,9.571
7.296,0.909,3.428,3.129,1.02,11.626
1.396,0.237,3.132,2.251,1.05,7.992
3.628,3.453,9.319,6.271,3.23,43.225
1.627,0.395,3.474,2.876,0.94,6.039
1.005,0.254,2.503,2.419,1.09,8.476
3.513,2.768,8.166,8.978,3.59,40.347
1.618,0.449,2.368,2.818,1.09,6.542
1.385,0.368,3.359,2.738,0.95,7.55
4.763,1.037,3.105,3.297,0.98,10.566
6.153,1.264,4.664,3.456,2.0,13.676
2.983,1.155,3.777,3.581,2.1,12.993
1.829,0.326,3.145,2.739,0.99,6.256
5.153,0.823,3.987,2.974,2.02,16.264
1.082,0.29,3.68,3.543,1.09,6.7
3.709,1.429,3.449,3.666,1.82,19.347
5.193,1.566,7.353,7.064,3.0,62.542
3.977,1.519,3.78,3.425,1.96,16.553
4.437,0.944,3.29,3.126,0.98,10.82
3.403,1.128,4.628,3.241,2.03,8.276
5.518,2.18,5.137,5.422,4.42,65.217
3.143,4.19,2.319,11.889,4.57,15.782
2.743,2.358,4.308,11.127,3.32,44.756
4.405,0.697,4.042,3.648,1.99,13.379
2.04,0.179,2.847,2.725,1.0,9.541
3.092,2.54,6.731,7.788,5.58,68.554
5.76,1.074,3.335,3.084,0.98,9.072
6.075,0.952,3.183,3.135,1.0,10.928
2.26,1.818,6.185,6.241,5.14,40.724
1.117,0.216,3.289,3.442,1.04,12.166
3.81,0.97,3.398,3.803,1.97,18.78
5.011,1.071,3.219,3.173,1.01,8.296
1.757,0.22,3.095,2.782,0.9,10.872
0.869,0.236,3.206,3.518,1.01,4.267
6.587,1.101,3.162,3.163,1.0,6.435
1.274,0.213,2.985,2.802,1.02,3.954
1.489,0.358,3.666,2.705,1.03,10.667
4.675,1.317,2.943,3.324,1.93,14.095
6.347,0.95,3.2,3.044,1.01,6.107
1.166,0.174,2.691,3.305,1.03,7.91
4.172,1.453,3.184,3.297,1.99,15.566
1.454,0.313,2.488,3.267,0.98,8.515
3.403,3.104,5.357,4.211,6.69,36.209
2.958,1.287,4.035,7.969,3.54,40.917
4.581,1.09,3.195,3.085,0.99,7.97
2.694,1.087,3.177,3.065,0.99,7.946
4.218,0.999,3.198,3.213,0.99,7.964
1.553,0.288,2.665,3.057,1.03,7.903
5.177,1.398,3.599,3.241,2.06,13.95
5.108,1.341,3.405,3.49,2.01,10.052
1.67,0.286,2.991,3.281,1.04,7.034
0.746,0.337,2.58,3.853,1.04,5.598
4.987,1.024,3.22,3.082,0.98,11.242
4.714,1.242,3.873,4.657,1.98,16.696
0.455,2.894,3.546,8.369,1.21,10.585
3.605,1.675,8.401,6.811,5.63,55.067
5.965,1.02,3.15,3.01,0.99,13.807
2.839,1.906,8.443,6.678,4.89,28.106
2.755,2.98,8.172,6.429,3.35,50.485
4.17,1.437,3.262,3.351,2.06,11.349
3.185,1.02,3.756,3.586,1.95,17.88
5.604,1.035,3.347,3.064,1.0,7.656
4.369,3.753,9.216,9.53,3.28,48.155
4.276,1.428,3.571,3.997,1.95,16.265
3.08,1.269,4.172,2.915,2.0,11.326
6.057,0.988,3.129,3.111,1.01,10.485
3.75,1.391,4.022,3.576,2.18,12.274
3.474,2.166,5.869,10.603,3.63,38.091
3.874,1.41,3.839,4.035,1.94,15.811
4.891,1.154,3.244,3.016,2.07,12.606
3.655,1.023,3.365,3.162,0.99,11.168
2.734,1.672,5.67,7.606,5.76,39.191
3.408,1.358,3.55,3.547,2.01,15.238
2.441,2.019,5.977,12.487,2.7,28.284
5.497,2.688,4.387,10.41,3.45,43.462
1.5,0.356,2.763,2.839,0.98,7.651
1.436,0.462,2.77,2.654,1.0,10.737
6.768,1.024,3.301,3.153,1.0,10.392
1.433,0.301,2.088,3.589,0.99,7.036
4.5,0.911,3.147,3.087,0.99,9.135
1.323,0.339,2.683,2.505,1.01,8.614
1.693,0.378,2.274,2.374,1.04,9.168
1.348,0.332,3.097,2.672,0.93,9.82
2.692,2.039,6.918,9.841,3.07,37.609
4.568,0.907,3.351,3.197,1.02,8.435
4.971,1.035,3.176,2.915,1.01,12.314
1.086,0.301,3.123,3.583,0.93,9.824
3.706,1.613,3.394,3.507,1.99,9.195
5.871,1.09,3.413,3.14,1.01,11.288
2.52,0.906,3.388,3.076,1.01,4.62
4.983,1.158,3.015,3.129,1.0,11.074
2.238,2.218,6.72,4.964,3.92,49.5
4.909,1.081,3.177,3.011,1.0,10.677
