air_temp_c,deck_temp_c,humidity_pct,traffic_count,mid_deflection_mm,strain_g1_ue,strain_g2_ue,strain_g3_ue,natural_freq_hz,accel_rms_mg,bearing_disp_mm,pier_tilt_urad,regime,event
2.552,4.809,67.359,36.027,1.529,36.393,37.84,36.377,2.632,1.434,-0.739,-3.182,winter_offpeak,0
10.306,13.906,67.378,546.48,9.178,90.977,79.859,75.682,2.597,12.52,2.212,-2.452,winter_peak,0
4.884,6.131,65.564,123.874,3.164,40.773,39.543,36.894,2.642,4.819,-0.438,-5.667,winter_offpeak,0
28.679,31.479,42.755,113.097,7.075,93.151,80.364,74.544,2.55,4.069,10.636,7.803,summer_offpeak,0
30.398,31.6,51.984,83.354,7.703,84.046,70.561,79.301,2.529,4.061,9.896,3.0,summer_offpeak,0
34.045,36.735,34.815,514.342,12.485,122.656,116.693,106.715,2.508,12.974,12.33,3.035,summer_peak,0
27.365,31.635,50.323,24.198,6.314,73.492,70.805,70.577,2.567,2.326,10.147,1.245,summer_offpeak,0
28.795,32.317,47.379,157.079,7.86,91.643,83.181,75.074,2.533,6.173,9.94,3.851,summer_offpeak,0
25.687,28.52,54.735,50.377,6.47,81.543,75.223,58.467,2.547,4.498,9.939,1.735,summer_offpeak,0
29.685,34.202,57.516,642.339,12.862,140.23,118.444,111.373,2.568,14.8,12.103,2.436,summer_peak,0
26.981,29.605,53.969,175.646,7.085,84.712,78.099,70.055,2.563,6.807,7.98,-1.869,summer_offpeak,0
6.974,12.431,71.036,469.289,7.198,76.32,66.106,58.17,2.628,11.062,0.448,-5.812,winter_peak,0
31.293,31.36,48.251,142.186,7.944,86.322,74.81,82.48,2.562,6.238,9.541,6.043,summer_offpeak,0
32.519,36.687,49.511,650.886,13.482,129.838,115.569,106.446,2.525,12.388,12.754,6.937,summer_peak,0
8.532,12.536,65.176,45.152,3.11,48.36,45.941,43.147,2.619,1.145,1.709,-0.063,winter_offpeak,0
5.54,8.398,67.738,79.292,2.791,51.73,40.022,34.506,2.66,4.441,-0.05,-4.545,winter_offpeak,0
28.789,31.645,57.87,98.73,7.052,93.948,72.632,72.475,2.529,4.648,9.798,5.769,summer_offpeak,0
30.079,33.539,54.546,123.308,7.902,88.436,84.525,81.489,2.544,4.628,11.196,5.45,summer_offpeak,0
8.599,10.382,56.561,55.347,3.178,44.806,41.783,39.715,2.665,1.7,0.519,-0.541,winter_offpeak,0
11.017,14.723,61.931,382.549,6.857,71.829,73.55,63.967,2.624,10.566,3.361,-4.936,winter_peak,0
3.681,6.768,68.112,80.838,2.235,48.89,43.45,39.719,2.664,2.314,-0.133,-5.1,winter_offpeak,0
9.073,12.583,63.948,416.936,7.002,71.288,66.38,67.281,2.601,8.795,1.236,-2.037,winter_peak,0
8.208,10.319,68.226,126.745,3.087,47.728,45.703,51.719,2.65,3.857,0.738,-2.715,winter_offpeak,0
30.133,33.159,54.712,161.877,8.147,88.543,83.295,82.537,2.551,4.534,10.524,9.888,summer_offpeak,0
30.839,33.764,40.504,718.582,13.464,130.83,130.055,119.102,2.521,17.292,12.114,4.336,summer_peak,0
5.488,7.493,61.108,541.942,7.179,72.342,63.351,54.912,2.654,12.945,-1.327,-3.99,winter_peak,0
26.024,28.75,51.532,229.367,7.68,82.537,85.949,67.288,2.579,8.229,7.895,2.816,summer_offpeak,0
27.471,29.986,53.127,98.694,6.728,83.543,70.945,69.571,2.562,3.665,9.626,5.573,summer_offpeak,0
36.032,37.865,51.704,653.021,14.147,128.326,115.042,122.734,2.538,17.284,12.214,9.581,summer_peak,0
37.102,42.295,49.107,642.648,14.151,145.89,141.055,116.945,2.499,16.75,15.001,6.332,summer_peak,0
4.473,6.29,63.208,180.924,2.99,48.298,44.899,36.283,2.658,8.479,-1.256,-2.738,winter_offpeak,0
7.292,9.992,67.077,543.158,7.696,91.869,85.317,75.392,2.629,12.467,0.592,-2.73,winter_peak,0
6.012,7.92,67.014,48.358,1.975,44.573,47.612,34.683,2.666,2.392,-0.903,-8.848,winter_offpeak,0
6.267,9.301,74.66,522.599,6.668,81.907,76.216,64.958,2.624,11.373,0.97,-3.591,winter_peak,0
3.02,5.355,67.414,193.237,3.002,52.971,44.122,45.072,2.66,7.405,-2.299,-6.122,winter_offpeak,0
34.318,37.16,44.608,553.089,12.798,135.773,115.289,101.192,2.523,12.808,12.327,6.846,summer_peak,0
27.895,28.415,53.041,196.676,6.72,87.989,88.431,72.137,2.554,5.374,8.513,2.07,summer_offpeak,0
30.858,35.652,42.048,628.628,15.285,170.376,110.632,81.056,2.39,15.338,11.859,7.996,summer_peak,1
27.183,29.846,52.115,105.4,6.514,78.226,85.113,66.273,2.574,3.607,9.093,8.0,summer_offpeak,0
13.205,15.265,62.576,504.909,7.825,83.844,84.417,78.389,2.624,11.855,3.235,-0.033,winter_peak,0
32.102,35.033,41.006,23.445,6.644,87.319,85.219,67.836,2.531,1.143,12.187,4.999,summer_offpeak,0
12.321,16.286,56.755,503.226,7.889,94.607,80.157,72.406,2.639,10.883,3.166,1.61,winter_peak,0
31.998,35.134,49.687,31.058,7.068,76.349,72.249,80.318,2.514,2.433,12.326,4.59,summer_offpeak,0
7.084,9.176,58.322,572.281,7.372,79.12,81.05,70.955,2.664,13.842,-0.063,-5.126,winter_peak,0
36.88,39.809,52.498,645.366,14.771,139.032,125.414,123.848,2.508,14.897,13.592,4.482,summer_peak,0
32.675,36.304,56.328,650.261,13.765,132.063,119.405,112.002,2.538,12.716,13.152,10.525,summer_peak,0
4.114,6.735,72.016,72.162,2.76,37.033,35.827,30.294,2.629,4.053,-0.681,-4.717,winter_offpeak,0
3.481,5.62,66.175,38.191,2.558,39.312,38.549,38.048,2.678,3.405,-1.06,-4.295,winter_offpeak,0
8.528,12.345,70.385,581.348,8.71,81.767,86.436,66.142,2.597,12.934,1.613,-1.582,winter_peak,0
28.667,32.538,53.566,746.655,14.147,138.619,132.359,107.085,2.532,15.39,10.265,7.055,summer_peak,0
6.128,9.205,61.47,583.255,7.782,89.901,71.181,57.366,2.631,13.228,-0.123,-0.564,winter_peak,0
33.085,32.417,39.976,755.644,14.705,129.203,116.776,110.798,2.511,18.249,9.378,6.476,summer_peak,0
31.961,34.917,50.837,620.945,13.29,130.354,113.588,111.092,2.537,15.046,12.624,6.219,summer_peak,0
27.212,28.188,54.959,138.902,6.863,81.797,71.228,67.206,2.563,5.971,9.399,4.397,summer_offpeak,0
27.908,31.966,43.858,110.944,6.678,85.647,89.656,78.907,2.543,2.929,10.729,1.758,summer_offpeak,0
31.575,35.337,54.094,634.172,12.763,131.02,123.18,105.583,2.538,15.29,12.346,9.887,summer_peak,0
30.093,32.898,53.55,117.917,7.474,92.097,87.525,76.684,2.56,6.054,12.171,6.085,summer_offpeak,0
35.092,38.411,45.088,666.768,14.448,136.297,129.901,120.546,2.49,14.641,13.84,6.089,summer_peak,0
6.16,6.139,62.015,58.608,1.991,37.594,32.155,33.465,2.672,4.816,-0.969,-1.125,winter_offpeak,0
9.451,14.528,62.876,479.823,8.38,87.677,77.111,76.482,2.608,10.656,3.241,-2.461,winter_peak,0
2.714,7.534,68.0,84.619,2.672,48.198,40.419,41.251,2.629,2.049,0.039,-7.667,winter_offpeak,0
34.603,38.357,47.813,667.572,14.508,137.757,130.168,123.236,2.498,12.845,14.253,8.167,summer_peak,0
3.806,6.167,67.221,68.12,1.985,45.322,37.861,30.36,2.649,4.355,-1.343,-2.592,winter_offpeak,0
32.753,34.391,49.221,634.056,13.482,125.079,118.721,100.313,2.526,14.523,10.751,9.24,summer_peak,0
28.1,32.014,45.607,0.0,6.175,84.366,75.412,69.236,2.532,0.98,9.331,2.495,summer_offpeak,0
5.157,8.275,68.337,36.932,2.335,41.252,35.235,34.477,2.659,3.209,-0.105,-4.616,winter_offpeak,0
6.756,9.893,72.234,96.873,3.236,49.761,44.655,40.121,2.645,3.137,0.564,-9.451,winter_offpeak,0
12.397,16.343,67.2,470.924,8.007,91.398,79.902,66.866,2.6,11.883,3.179,0.647,winter_peak,0
27.356,30.706,50.936,139.746,7.253,93.303,78.159,69.353,2.578,4.791,10.504,4.28,summer_offpeak,0
1.454,5.28,73.37,115.926,1.941,44.359,38.951,37.242,2.678,5.101,-2.097,-1.184,winter_offpeak,0
10.196,14.657,71.124,464.865,7.324,84.156,79.461,67.533,2.62,11.137,3.468,-0.181,winter_peak,0
31.3,31.678,51.886,562.039,11.721,115.068,114.102,103.671,2.535,13.018,10.32,5.631,summer_peak,0
10.321,15.989,65.488,465.983,7.713,90.105,80.032,75.347,2.603,11.856,3.506,1.817,winter_peak,0
1.581,4.118,69.154,42.81,1.351,37.021,31.411,26.938,2.652,3.332,-2.544,-2.973,winter_offpeak,0
29.774,31.293,54.032,151.47,7.771,86.221,79.272,69.778,2.551,5.597,8.726,0.752,summer_offpeak,0
24.78,26.431,60.239,95.713,5.934,72.855,80.191,73.079,2.567,5.097,7.765,5.061,summer_offpeak,0
33.234,38.465,54.994,675.794,14.039,137.441,126.098,119.174,2.516,17.416,12.973,8.451,summer_peak,0
7.528,11.471,60.637,480.951,7.715,83.106,81.111,64.184,2.638,10.3,1.139,-2.044,winter_peak,0
31.527,34.526,48.954,595.522,12.912,119.686,110.645,103.804,2.519,15.058,11.691,-2.281,summer_peak,0
3.427,7.16,75.922,0.0,1.411,28.876,34.44,33.368,2.658,2.992,-1.282,-2.943,winter_offpeak,0
29.677,33.369,50.724,138.585,7.463,81.923,82.787,71.272,2.543,4.917,11.619,2.774,summer_offpeak,0
0.087,1.537,68.427,77.082,1.919,39.102,22.026,28.245,2.664,3.094,-2.514,-3.192,winter_offpeak,0
4.871,4.131,67.954,24.436,0.965,41.527,29.845,27.322,2.658,0.847,-2.737,-6.34,winter_offpeak,0
8.732,11.204,65.878,560.833,7.898,66.84,77.919,75.714,2.611,12.902,0.901,-0.795,winter_peak,0
7.364,9.472,63.294,560.223,7.466,81.64,72.152,68.739,2.622,11.363,0.687,-3.613,winter_peak,0
24.893,29.469,49.834,27.553,6.206,75.673,62.053,63.704,2.545,1.502,10.371,-5.219,summer_offpeak,0
1.974,5.392,80.549,48.043,1.842,50.394,40.531,37.887,2.665,1.431,-1.742,-8.473,winter_offpeak,0
7.574,13.117,69.512,533.739,8.434,83.886,84.01,71.313,2.616,-25.851,2.267,-6.738,winter_peak,1
35.991,38.178,52.133,609.67,13.726,132.392,125.729,110.009,2.529,13.908,12.945,7.33,summer_peak,0
3.682,3.42,70.497,46.518,1.282,49.872,31.665,26.041,2.662,0.301,-2.742,-5.372,winter_offpeak,0
3.468,5.937,64.363,16.091,1.713,37.908,38.598,27.992,2.654,1.529,-2.798,-7.235,winter_offpeak,0
10.409,14.212,63.41,477.558,8.255,86.298,76.305,80.767,2.58,11.824,3.205,3.043,winter_peak,0
32.151,38.306,50.959,661.573,13.369,132.984,118.895,113.159,2.523,13.911,13.189,8.676,summer_peak,0
34.075,34.34,54.57,512.678,11.89,129.385,113.03,96.632,2.525,11.801,11.506,5.407,summer_peak,0
28.407,35.457,58.631,63.081,7.7,91.794,78.118,79.276,2.522,2.413,12.783,5.515,summer_offpeak,0
5.656,7.501,71.125,75.122,2.512,35.579,45.966,33.581,2.638,6.727,-1.026,-5.315,winter_offpeak,0
6.264,9.866,77.882,11.043,2.395,37.572,27.187,40.018,2.616,2.646,1.524,-10.219,winter_offpeak,0
4.15,9.228,79.562,45.211,2.569,47.269,49.677,37.136,2.65,2.861,-0.009,-2.817,winter_offpeak,0
6.7,10.555,65.673,644.234,8.039,92.263,87.849,70.256,2.626,15.236,0.553,-1.473,winter_peak,0
5.65,7.442,65.757,438.061,6.165,80.592,58.736,54.417,2.654,9.741,0.259,1.35,winter_peak,0
3.09,4.701,74.018,248.664,3.156,52.264,51.531,50.361,2.653,7.362,-0.778,-7.24,winter_offpeak,0
32.222,34.125,56.601,545.969,11.451,112.338,99.563,95.746,2.531,12.129,10.91,6.568,summer_peak,0
9.077,11.299,68.845,625.078,8.706,83.355,89.349,85.009,2.626,12.587,0.643,-0.381,winter_peak,0
6.704,8.989,65.987,540.942,7.199,76.486,64.133,61.058,2.624,11.41,-0.584,-2.826,winter_peak,0
27.38,29.078,43.194,57.594,5.634,73.257,77.885,71.493,2.55,2.467,9.092,5.112,summer_offpeak,0
7.681,11.218,59.742,145.907,4.312,50.823,44.92,55.367,2.643,6.194,0.374,0.589,winter_offpeak,0
8.569,12.669,58.337,542.025,7.558,84.844,79.951,69.41,2.618,13.776,1.963,3.727,winter_peak,0
26.091,30.886,61.494,137.443,7.773,81.091,83.554,72.854,2.559,5.636,10.585,5.646,summer_offpeak,0
31.394,30.645,50.645,637.038,12.949,124.693,110.656,104.553,2.533,14.175,10.914,-0.085,summer_peak,0
5.454,8.347,71.672,87.829,2.314,46.698,43.903,42.395,2.64,3.78,-0.691,-2.855,winter_offpeak,0
27.624,30.922,54.885,158.14,6.874,92.314,84.6,70.818,2.563,6.043,10.01,8.975,summer_offpeak,0
8.478,10.852,58.917,592.948,7.908,91.982,75.189,75.685,2.645,14.415,0.909,-4.399,winter_peak,0
4.715,7.524,66.025,82.146,2.296,47.429,36.509,29.907,2.64,1.733,-0.829,2.712,winter_offpeak,0
32.45,33.875,55.404,648.702,12.902,121.74,118.851,107.85,2.544,14.603,11.963,7.982,summer_peak,0
26.396,31.868,59.737,218.71,8.012,89.267,89.32,86.831,2.555,4.635,10.8,0.778,summer_offpeak,0
28.262,32.728,53.081,199.296,8.515,93.239,81.958,82.102,2.555,3.529,10.86,8.685,summer_offpeak,0
26.416,30.76,52.781,179.754,7.046,97.948,87.837,72.057,2.548,5.019,9.858,1.905,summer_offpeak,0
6.151,7.325,62.84,473.03,5.919,73.349,63.092,54.306,2.623,11.871,-0.543,-5.194,winter_peak,0
3.868,6.687,60.592,229.978,3.393,52.648,51.873,48.862,2.662,6.914,-0.396,-5.685,winter_offpeak,0
12.465,17.14,63.124,597.225,9.221,96.285,90.449,76.901,2.582,13.885,3.741,3.57,winter_peak,0
4.906,6.183,66.546,57.557,1.915,41.634,38.369,35.79,2.663,2.982,-1.164,-1.565,winter_offpeak,0
5.566,8.777,70.336,598.739,7.287,84.364,81.924,78.449,2.647,13.397,-0.049,0.994,winter_peak,0
31.36,33.855,51.483,40.472,6.83,88.814,82.738,67.833,2.55,2.754,10.738,-2.318,summer_offpeak,0
1.946,3.63,71.049,149.948,2.718,42.713,39.2,39.388,2.654,3.406,-2.488,-1.414,winter_offpeak,0
6.004,5.076,57.365,101.692,2.096,53.987,43.322,41.274,2.679,2.741,-1.352,-2.43,winter_offpeak,0
6.899,8.927,79.539,225.555,4.782,56.059,56.936,44.674,2.626,8.959,1.028,-1.51,winter_offpeak,0
25.154,28.379,54.742,117.755,6.94,79.586,79.568,70.17,2.579,6.711,9.104,4.102,summer_offpeak,0
29.023,31.476,58.734,169.115,8.258,94.604,81.177,81.19,2.55,7.924,11.287,0.092,summer_offpeak,0
12.86,13.578,63.765,592.873,7.664,103.885,85.154,68.142,2.601,14.045,1.829,-2.415,winter_peak,0
32.074,35.676,53.824,632.17,12.97,133.82,127.438,97.571,2.549,15.559,12.854,4.56,summer_peak,0
9.39,12.648,59.354,459.915,6.921,73.72,71.352,66.383,2.636,13.547,0.811,0.473,winter_peak,0
26.271,27.71,52.464,182.555,7.76,93.676,81.694,82.092,2.56,5.875,8.07,2.189,summer_offpeak,0
26.824,27.382,55.103,61.417,6.248,76.944,74.141,64.726,2.562,2.725,8.337,9.757,summer_offpeak,0
34.763,37.668,40.985,601.807,13.454,132.308,119.944,116.517,2.516,15.724,13.243,5.635,summer_peak,0
27.699,29.073,59.037,161.23,6.977,87.711,63.676,66.334,2.557,5.243,8.834,7.539,summer_offpeak,0
6.26,6.711,64.913,100.23,2.155,41.945,31.106,32.234,2.64,4.952,-0.59,0.346,winter_offpeak,0
25.015,28.976,52.357,98.254,5.829,83.342,69.675,73.653,2.557,3.104,9.375,-0.687,summer_offpeak,0
30.278,32.555,66.398,143.204,7.832,90.668,83.008,73.144,2.562,8.16,11.393,6.021,summer_offpeak,0
29.379,31.879,53.09,630.573,12.363,130.064,114.354,107.156,2.544,13.541,9.068,4.486,summer_peak,0
28.444,31.491,58.142,740.668,13.592,132.703,122.853,116.045,2.536,15.926,10.309,10.262,summer_peak,0
