AT,V,AP,RH,PE
20.57,48.2,1019.36,97.58,439.79
11.58,34.13,1008.71,69.59,478.54
5.99,29.79,1009.84,99.38,475.57
33.42,64.29,1012.36,27.13,418.01
5.2,25.0,1019.95,59.77,482.62
3.34,27.96,1007.59,45.37,486.67
5.92,25.36,1015.58,58.67,473.3
28.34,63.36,1006.92,48.33,430.56
34.69,62.98,1017.62,95.42,421.79
5.35,35.01,1026.11,58.6,470.89
24.32,55.06,1002.1,50.31,439.22
24.82,55.69,1011.2,97.94,444.54
20.42,50.03,1008.9,31.81,451.97
2.13,25.0,1009.55,45.06,483.67
26.23,60.41,1002.45,60.14,436.34
17.05,39.7,1012.93,81.27,457.65
34.61,61.47,1007.65,65.12,416.19
36.9,73.95,1009.11,89.17,409.92
24.28,63.76,1015.03,70.55,430.91
6.06,25.0,1010.65,65.12,477.65
13.11,46.51,1008.78,31.48,457.91
24.04,39.54,1023.85,28.91,442.23
32.49,67.05,1013.8,31.21,418.63
16.74,38.76,1011.14,77.28,457.5
14.63,40.85,1012.68,51.75,464.35
23.23,64.79,1012.91,98.53,437.69
31.93,68.5,1011.83,38.65,415.23
8.83,25.0,1016.06,30.09,468.05
22.84,60.09,1007.55,26.71,434.47
23.56,45.83,1020.99,62.4,437.36
18.63,41.65,1013.5,56.08,452.27
14.6,33.76,1019.76,37.83,463.07
35.19,69.92,1011.1,97.48,409.95
30.57,61.74,1023.53,57.28,429.64
7.44,38.83,1016.37,86.69,469.59
2.03,25.0,1013.91,37.36,485.0
11.03,38.34,1023.13,44.32,467.73
16.8,41.54,1014.01,52.75,459.17
7.67,36.1,1018.33,78.29,477.09
13.82,31.83,1011.63,42.56,458.22
25.82,46.78,1030.52,61.22,443.19
27.88,63.98,1013.5,77.33,434.87
30.64,67.17,1010.7,70.38,427.8
30.5,62.7,1015.2,48.15,422.77
13.3,51.15,1019.84,46.33,455.58
20.65,42.68,1008.54,37.04,447.67
27.83,67.21,1019.5,89.72,430.66
23.43,61.47,1011.02,49.75,443.88
22.3,42.99,1009.51,59.52,445.18
30.43,65.72,1007.74,56.89,420.45
35.08,73.87,1021.53,27.01,416.1
33.42,65.87,1005.39,37.35,418.9
11.46,34.09,1008.51,53.4,463.57
6.2,26.9,1008.79,67.6,475.9
12.1,30.52,1012.07,38.87,464.41
30.04,53.42,1014.36,57.31,428.32
13.07,41.97,1008.78,44.47,456.18
28.02,60.26,1008.62,41.58,437.42
22.73,51.43,998.73,76.15,443.76
36.76,74.77,1019.87,63.61,410.57
6.16,25.0,1015.17,44.75,470.44
30.99,59.27,1018.9,59.27,428.43
3.62,28.42,1015.71,93.45,479.69
24.38,53.6,1003.24,44.74,435.34
20.83,51.43,1018.23,36.3,446.67
10.57,40.16,1022.04,75.09,464.57
11.2,45.09,1003.69,77.77,465.91
15.55,35.27,1019.37,34.89,448.8
18.94,42.23,1008.48,53.86,451.32
7.52,25.0,1009.75,82.63,473.95
17.42,39.29,1005.26,60.09,448.3
5.09,28.7,1007.37,25.72,476.46
19.47,43.2,1013.19,68.57,447.36
20.89,61.76,1016.13,38.76,440.66
15.56,38.18,1016.0,28.21,458.28
19.26,35.3,1016.55,73.07,453.6
21.91,44.55,1010.72,84.86,444.65
20.25,60.23,1016.02,33.91,448.59
8.32,25.0,1016.97,69.7,474.22
9.69,31.82,1019.02,95.8,467.61
11.3,29.61,1016.02,72.15,470.83
36.98,65.15,1022.31,91.2,412.25
19.56,53.6,1013.11,60.51,438.87
26.76,49.76,999.49,93.89,446.47
9.1,25.0,1017.18,59.25,467.46
20.21,42.97,1015.8,97.12,452.47
17.31,39.28,1018.52,35.32,452.48
9.09,34.03,1006.42,74.5,469.41
9.68,32.91,1018.67,85.89,469.98
10.42,40.81,1015.34,71.13,470.51
27.85,57.31,1006.91,91.51,438.04
28.04,61.5,1005.7,93.44,426.25
32.36,68.14,1018.63,97.3,427.94
13.78,44.38,1026.08,59.35,462.15
20.16,40.02,1017.31,50.69,453.4
27.43,55.94,1008.19,60.5,430.11
21.64,33.0,1015.32,67.37,447.08
32.12,59.93,1007.45,77.72,423.17
2.76,25.0,1011.19,57.49,482.35
26.37,51.11,1014.87,83.83,434.1
6.59,37.12,1011.42,49.07,473.13
20.06,53.46,1019.95,94.63,451.8
15.74,31.82,1003.21,63.8,459.67
17.83,54.89,1013.71,50.72,448.52
28.87,67.75,1019.32,41.99,426.42
5.17,26.75,1013.78,38.78,471.91
3.72,25.0,1018.99,28.45,481.03
34.82,67.8,1010.82,94.96,416.05
19.02,45.48,1017.38,44.69,447.95
16.39,45.82,1006.28,26.41,455.21
7.33,27.08,1013.15,80.19,474.78
19.61,52.55,1011.83,42.47,450.33
25.32,52.8,1016.85,29.0,428.85
33.3,62.19,1009.44,75.66,425.72
15.67,39.93,1013.4,69.11,460.98
6.52,29.51,993.29,83.39,474.67
28.49,61.91,1010.41,26.46,425.65
12.66,36.3,1016.75,57.28,460.18
27.0,48.01,1020.29,81.47,431.86
30.04,53.39,1015.54,52.78,425.96
35.71,59.42,1013.1,65.49,416.41
7.98,27.9,1024.38,59.32,461.24
11.2,38.36,1012.93,63.24,462.22
15.58,40.76,1011.55,91.49,463.19
30.64,62.15,1014.51,51.28,421.93
17.25,40.1,1012.33,59.31,452.15
17.21,40.89,1006.52,61.99,458.55
31.36,59.42,1002.68,29.16,421.41
6.18,33.4,1006.4,99.47,475.43
5.81,25.0,1014.51,45.59,473.29
5.2,25.0,1016.3,73.48,478.33
19.85,49.7,1015.62,69.31,443.84
9.37,29.4,1009.36,72.78,468.76
14.57,43.13,1009.79,64.63,461.79
19.27,43.17,1017.87,89.7,449.15
20.53,50.36,1008.43,56.23,451.9
15.71,42.19,1009.86,48.54,454.09
6.84,25.0,1021.39,49.21,475.13
30.63,65.81,1013.38,30.71,428.34
32.31,72.5,1009.37,57.75,424.55
21.76,45.58,1008.68,40.48,444.68
12.09,34.79,1019.9,48.18,464.34
36.98,75.53,1012.64,28.62,405.36
6.18,36.3,1013.72,78.61,475.05
32.85,67.88,1013.78,90.3,432.55
23.96,66.86,1000.84,93.09,435.09
11.06,31.73,1007.39,26.18,464.19
22.69,62.61,1013.97,71.57,440.97
21.34,44.59,1012.16,27.22,447.43
2.34,25.0,1014.97,77.12,477.25
18.29,39.18,1007.32,74.69,449.5
29.13,66.32,1007.53,49.73,434.64
24.24,57.11,1015.29,25.59,445.11
6.54,25.0,1022.81,74.04,479.6
9.4,25.0,1007.02,27.25,466.64
26.33,69.28,1012.53,56.77,432.32
2.95,25.0,1007.33,92.26,484.68
26.18,46.05,1003.24,98.77,437.18
20.69,42.71,1012.3,56.62,453.66
15.46,37.75,1011.23,86.58,455.9
16.71,51.86,997.78,27.0,450.79
18.75,47.97,1008.86,57.65,452.32
5.49,26.35,1008.33,77.24,483.13
34.45,62.37,1003.23,65.9,413.28
16.73,46.39,1007.19,56.93,458.77
25.21,44.1,1022.63,73.11,433.95
5.64,33.05,998.58,53.41,469.89
32.77,71.47,1003.63,79.86,414.23
26.38,53.53,1018.27,81.52,435.45
10.89,25.0,1013.49,33.14,467.68
33.62,63.12,1015.15,71.76,417.11
32.73,64.82,1012.53,94.29,424.12
18.17,56.52,1012.57,91.15,443.92
11.75,45.37,1008.76,52.69,459.01
30.9,59.02,1019.37,37.27,426.69
2.16,25.0,1000.52,69.41,481.31
35.31,61.06,1014.24,86.77,417.38
35.7,72.13,999.53,88.2,415.28
4.85,25.0,998.32,55.45,481.64
35.0,73.07,1010.73,27.79,415.36
11.93,35.79,1021.81,80.8,471.34
30.44,58.96,1015.35,71.89,431.47
32.26,58.83,1011.97,76.65,421.04
8.24,25.0,1022.63,49.49,471.58
13.97,41.85,1011.69,32.11,455.04
35.49,61.6,1007.71,52.66,414.13
29.45,65.02,1016.03,27.53,427.92
26.58,46.65,1003.69,89.13,433.09
10.2,25.0,1025.42,71.68,462.99
27.63,58.21,1014.18,83.02,430.78
3.38,25.0,1011.42,43.02,479.28
11.24,39.88,1008.42,93.9,458.45
10.73,33.62,1016.63,50.92,468.53
4.0,25.0,1022.61,80.23,475.97
18.41,49.96,1007.2,51.57,448.26
3.17,25.0,1012.12,60.62,477.95
36.46,74.79,1012.52,39.88,407.68
19.07,60.48,1005.57,74.37,442.89
29.05,61.59,1018.49,80.78,432.64
20.53,42.35,1013.12,54.3,448.64
6.31,27.06,1008.25,29.46,476.5
17.81,39.13,1016.2,82.8,456.34
2.26,25.0,1005.92,88.85,477.07
12.5,46.27,1013.33,61.45,465.53
24.23,47.37,1012.45,27.05,439.5
8.31,25.0,1005.75,27.28,472.09
34.09,70.71,1007.72,93.99,424.78
24.22,50.85,1012.78,53.84,441.85
2.89,25.0,1000.12,35.51,478.92
17.02,39.12,1011.51,91.2,455.81
33.36,68.01,1013.85,50.83,420.0
10.96,42.91,1012.36,55.09,465.66
6.18,30.99,1011.67,93.84,469.01
11.68,32.62,1003.56,27.69,463.45
18.96,43.58,1010.42,38.16,446.88
15.78,35.64,1011.56,37.02,451.82
10.52,28.17,1016.01,67.0,475.82
18.29,50.36,1013.21,28.12,452.79
18.96,48.94,1018.48,40.61,447.93
26.45,59.37,1012.5,35.31,431.79
36.92,74.76,1014.21,45.23,406.15
24.19,49.57,1016.61,91.3,443.62
4.74,25.07,1012.42,43.44,466.63
7.3,31.95,1020.6,29.46,463.93
12.5,46.0,1002.03,45.19,458.74
34.92,70.46,1004.24,70.48,417.72
4.24,25.0,1018.94,27.83,477.74
24.78,49.5,1002.65,90.24,434.98
16.18,47.92,1008.19,94.41,454.7
10.59,32.17,1008.58,92.25,465.44
24.47,55.32,1014.41,36.74,437.45
28.5,62.0,1007.84,77.31,434.89
28.97,55.68,1007.9,39.9,432.99
9.58,33.98,1025.98,86.32,470.71
8.73,37.74,1011.26,57.36,468.71
8.69,25.66,1013.67,47.85,471.59
9.79,29.45,1017.77,97.14,471.45
9.54,27.31,1014.76,82.78,470.0
20.3,48.38,1010.43,39.57,452.6
13.07,49.8,1006.94,54.97,453.55
23.68,54.64,1009.94,82.39,439.6
36.0,77.98,1015.69,54.97,405.62
29.71,62.9,1015.29,39.38,432.56
5.14,25.0,1018.1,25.91,471.14
35.07,69.31,1018.14,88.35,419.49
15.56,42.34,1026.82,59.61,460.44
8.2,29.11,1022.03,69.37,469.35
10.57,33.31,1014.37,81.64,469.53
3.95,25.0,1015.08,43.07,478.18
11.89,31.86,1014.65,79.6,466.19
18.43,54.17,1013.28,50.3,449.45
5.7,29.23,1014.28,28.82,472.84
35.83,69.6,1014.75,26.08,407.86
16.94,39.52,1009.92,31.28,459.52
20.82,50.78,1007.34,79.07,441.95
13.11,32.77,1009.35,47.17,464.51
33.67,59.75,1016.89,27.0,426.6
31.96,62.49,1020.21,86.14,421.61
18.89,53.17,1015.02,45.68,451.31
2.04,25.0,1012.87,60.73,485.89
25.06,55.72,1017.49,54.25,435.93
13.73,32.53,1012.87,34.34,464.38
6.86,31.34,1014.83,74.49,471.2
18.23,41.52,1019.53,68.25,453.77
27.52,54.83,1002.97,97.55,431.02
25.13,50.15,1007.35,76.31,435.9
5.44,25.41,1026.79,27.19,475.5
33.97,61.3,1012.88,35.06,418.96
18.85,43.21,1009.3,95.72,451.98
33.74,66.07,1007.02,95.07,421.96
16.69,36.77,1011.13,40.43,459.57
33.75,55.62,1006.85,72.2,417.56
31.51,66.55,1010.19,53.19,418.75
3.3,25.0,1011.01,73.52,478.05
33.05,54.57,1020.45,68.2,420.57
25.82,55.73,1010.05,35.44,438.67
22.34,50.36,1017.16,57.0,438.74
2.09,27.87,1008.0,42.44,482.66
24.12,60.83,1030.49,70.02,437.49
24.49,40.64,1005.66,71.06,439.67
32.28,61.64,1011.87,91.15,421.78
15.75,42.68,1013.65,70.24,457.99
4.2,25.0,1012.12,95.02,477.48
27.78,65.28,1017.93,46.93,430.26
14.86,41.82,1017.26,39.99,456.52
13.48,33.76,1014.19,73.33,459.19
25.53,52.12,1024.08,63.95,436.92
3.4,25.04,1010.0,63.76,476.79
3.09,35.26,1012.53,47.43,472.94
36.12,82.0,1011.93,60.49,420.79
32.48,56.81,1013.62,72.79,424.22
30.0,65.34,1015.37,35.4,430.26
18.9,36.9,1012.98,91.51,452.95
15.6,40.07,1010.48,72.97,460.99
8.44,25.0,1009.83,66.02,472.82
3.13,25.0,1011.38,49.11,474.24
29.82,58.86,1007.87,92.66,433.17
10.9,36.2,1009.25,41.31,456.42
28.24,54.71,1005.95,88.92,436.0
4.08,28.28,999.62,99.42,481.29
10.57,32.84,1016.58,65.94,467.45
17.01,37.43,1007.4,68.2,454.52
15.19,48.89,1018.51,77.66,459.91
9.24,33.59,1007.23,69.27,469.66
29.18,59.28,1015.24,35.64,427.24
4.48,25.25,1005.7,66.76,469.71
23.4,56.33,1020.27,62.31,442.54
21.69,48.88,1007.97,69.59,446.45
20.27,44.02,1003.78,63.94,442.27
8.35,29.42,1010.22,62.19,467.05
24.73,50.81,1006.72,89.67,435.09
27.12,54.35,1029.55,38.28,431.49
21.84,59.47,1005.86,35.34,439.47
22.33,55.24,1017.48,49.24,439.71
21.08,56.69,998.37,82.13,447.97
17.19,40.13,1017.2,88.56,456.69
22.2,39.95,1004.84,96.65,444.73
20.06,45.02,1010.38,26.4,444.74
12.0,38.71,1006.49,31.97,458.75
31.64,61.15,1016.01,46.41,423.92
13.96,39.55,1007.98,62.1,466.68
5.51,25.0,1013.64,58.39,478.88
23.92,55.84,1015.64,49.79,436.02
31.98,62.0,1016.6,42.16,425.13
5.94,26.84,1011.58,28.14,475.94
3.01,26.54,1021.04,34.25,478.91
13.18,32.94,1021.04,60.6,463.14
11.51,28.56,1009.08,32.79,459.09
7.43,25.0,1015.32,72.48,469.7
11.73,38.63,1018.89,44.24,468.27
16.85,40.64,1026.07,50.8,452.92
9.77,38.65,1008.91,57.85,469.59
20.6,51.2,1017.99,92.65,450.81
16.3,48.38,1014.41,71.44,460.33
15.82,42.19,1008.0,86.8,458.89
5.87,33.82,1013.72,26.04,469.22
28.44,63.78,1004.38,25.64,426.99
23.7,41.11,1011.26,29.26,444.27
21.46,57.76,1026.04,63.93,445.46
12.91,42.08,1018.04,64.07,463.33
36.92,69.33,1020.81,29.6,412.43
27.64,51.14,1016.07,26.84,431.81
31.12,52.33,1011.46,49.5,425.54
21.56,50.36,1006.73,51.85,439.83
23.63,47.43,1001.44,27.68,434.23
26.19,49.32,1005.2,38.61,437.44
11.86,29.58,1025.6,40.8,469.02
10.93,25.0,1009.32,31.76,472.75
28.85,65.69,1013.95,82.6,423.72
13.03,31.95,1019.6,50.97,464.44
2.98,25.0,1005.58,81.69,473.08
18.15,45.5,1015.54,45.91,450.61
32.15,67.06,1005.93,88.27,412.59
16.8,41.66,1012.14,90.42,460.42
21.71,54.63,1004.94,35.73,444.45
33.55,63.32,1023.86,41.31,417.47
7.29,41.49,1014.93,71.59,469.37
8.45,25.0,1021.59,34.31,469.66
2.63,26.2,1007.08,30.05,483.72
14.44,52.24,1015.07,62.75,456.9
6.52,25.0,1007.44,99.9,474.2
22.07,58.73,1029.42,77.6,446.9
13.65,50.23,1010.66,62.32,453.8
5.15,25.0,1014.77,48.33,478.32
27.45,67.21,1018.17,29.08,429.8
28.48,56.16,1010.07,95.01,430.24
33.8,69.09,1017.45,88.49,419.56
14.42,37.86,1011.81,97.65,457.57
21.04,42.98,1013.77,85.97,446.34
24.36,47.05,1008.32,55.75,444.25
32.66,62.19,1017.97,77.49,424.65
35.06,60.17,1021.35,26.66,408.06
13.71,39.21,1003.99,84.76,457.09
9.57,32.92,1013.66,61.03,473.23
11.67,41.77,1010.83,58.43,461.84
11.18,36.94,1014.46,54.76,467.01
29.11,59.51,1018.03,96.17,433.95
23.77,50.83,1011.86,91.92,445.44
6.19,41.97,1012.61,94.27,475.37
23.91,43.69,1013.31,49.0,442.8
25.16,46.82,1012.34,26.16,436.41
19.25,59.61,1016.68,68.51,446.59
27.77,64.97,1006.2,53.93,439.61
4.49,25.93,1012.36,56.57,481.66
26.13,59.43,1015.0,28.0,439.84
4.0,30.09,1020.06,98.64,475.06
31.94,55.87,1023.91,49.26,423.83
20.69,46.48,1014.44,96.49,446.42
31.47,68.27,1013.31,45.28,419.59
7.11,32.65,1005.96,87.72,466.87
9.0,38.07,1007.24,95.56,470.69
31.23,65.14,1014.96,42.89,421.91
5.13,25.0,1011.93,94.88,472.17
13.25,34.02,1016.39,96.01,460.96
29.35,64.7,997.97,92.44,430.66
31.92,64.63,1009.32,98.16,422.82
6.9,31.31,1013.8,61.73,472.49
4.28,33.07,1011.33,65.84,469.58
24.0,60.69,1010.54,73.91,438.36
9.68,25.0,1007.16,27.17,473.4
12.34,43.35,1010.46,56.43,462.48
3.87,25.0,1009.35,97.64,480.68
14.4,29.61,1009.15,63.23,451.09
30.45,75.36,1013.13,86.16,423.75
22.17,52.42,1016.95,83.03,438.72
3.04,25.0,1012.3,55.09,478.25
4.61,25.0,1006.28,44.89,473.87
33.19,72.17,1021.29,54.03,415.38
24.12,65.63,1008.11,79.54,435.3
8.16,38.37,1013.15,65.4,467.84
23.65,51.62,1014.88,93.23,445.94
29.88,55.08,1012.55,91.82,429.63
30.9,62.8,1004.67,47.73,421.55
24.66,60.53,1009.17,43.32,431.57
6.94,31.79,1003.6,86.6,474.96
31.73,56.83,1021.71,30.5,421.41
25.51,56.44,1007.19,37.88,445.21
30.85,67.13,1022.97,52.31,431.69
18.6,40.13,1017.11,60.39,460.16
32.39,70.98,1017.41,64.93,422.73
30.09,71.13,1012.96,87.63,430.27
13.57,43.88,1006.59,57.53,452.83
7.38,25.0,1010.54,50.99,475.06
23.73,51.48,1011.81,63.99,440.61
9.21,31.66,1026.09,66.23,470.05
14.06,37.04,1015.22,59.05,457.06
9.95,38.33,1006.29,44.81,465.83
15.7,42.03,1011.59,57.84,464.34
14.35,39.55,1022.6,74.75,463.51
26.53,59.14,1015.31,43.21,434.63
23.26,49.82,1015.49,67.33,445.12
7.97,25.0,1011.04,98.67,474.76
24.85,55.45,1005.48,30.77,433.39
28.37,57.85,1023.26,91.93,434.03
17.83,48.54,1020.84,46.19,456.61
3.22,25.0,1004.01,47.6,468.38
29.78,60.32,1012.83,26.44,421.69
27.27,64.69,1011.22,75.97,440.42
4.23,25.0,1021.42,81.08,482.21
11.67,27.97,1012.69,36.65,463.58
28.61,69.43,1005.57,61.08,422.55
24.19,60.66,1023.98,56.5,439.23
7.04,28.74,1014.04,69.47,472.9
13.94,29.51,1015.71,97.79,469.91
3.55,25.0,1015.39,82.75,472.68
33.23,72.61,1015.68,94.32,417.03
29.42,60.82,1005.4,50.89,433.77
10.7,32.05,1000.34,66.07,472.45
16.64,45.46,1014.83,98.04,455.64
28.06,55.86,1017.62,28.13,429.26
20.58,45.44,1014.34,98.15,448.75
5.49,33.79,1023.23,62.96,474.85
29.36,64.32,1011.18,40.33,428.76
27.03,62.39,1003.81,45.2,430.86
2.7,26.12,1021.01,38.48,480.6
32.02,71.34,1018.53,46.95,419.76
18.68,50.73,1013.72,51.48,452.17
22.44,46.49,999.0,86.47,447.46
25.76,54.9,1023.18,43.69,438.37
33.08,76.46,1009.49,55.42,419.11
19.44,47.95,1018.26,38.23,453.13
10.81,44.68,1009.41,26.49,463.91
16.17,40.36,1024.38,90.32,462.68
32.56,57.71,1015.72,72.16,418.0
24.11,54.22,1007.64,57.49,435.87
21.11,46.36,1001.05,36.18,449.97
21.25,45.45,1018.99,94.86,451.65
19.11,42.01,1004.01,51.39,453.28
34.65,56.94,1013.81,63.06,422.78
35.23,73.01,1018.83,70.45,414.83
13.94,38.03,1005.64,90.23,464.59
2.16,25.0,1018.69,62.03,483.89
7.63,25.0,1015.08,44.18,466.4
10.86,38.32,1009.88,27.46,462.15
16.42,42.62,1012.72,58.87,455.69
25.7,59.93,1016.61,67.39,424.16
25.32,57.6,1010.76,56.86,439.45
18.72,50.26,1018.17,25.25,450.49
34.37,68.28,1011.59,41.21,413.88
5.71,25.0,1013.61,83.34,474.5
16.43,43.42,1016.87,87.9,458.23
30.32,67.88,1019.3,90.75,429.63
25.8,47.63,1014.51,96.08,433.53
21.03,46.44,1016.61,88.03,450.09
26.25,65.2,1027.87,31.35,433.1
2.25,25.0,1016.3,58.91,480.07
26.85,65.45,1002.29,65.77,427.93
20.0,42.02,1022.16,26.21,450.94
31.69,54.77,1013.62,73.96,419.55
8.18,27.24,1019.17,26.68,471.11
15.94,37.87,1013.48,69.77,458.39
36.06,76.19,1014.96,66.74,405.01
12.97,25.0,1020.58,63.76,467.95
25.94,50.25,1015.9,49.78,442.35
34.18,62.2,1008.61,28.29,425.09
20.91,42.08,1020.89,57.98,450.57
19.96,47.53,1008.05,92.54,447.45
20.14,43.9,1018.59,37.51,445.35
10.85,33.58,1017.33,45.02,465.25
19.97,45.28,1012.64,85.41,451.64
27.11,63.52,1013.2,76.33,429.72
19.41,42.12,1004.66,26.85,450.38
13.32,37.28,1009.44,58.93,465.3
15.85,45.8,1032.24,40.07,457.16
5.23,28.43,1000.52,87.74,476.63
2.14,25.0,1019.38,70.97,482.91
34.55,72.82,1007.21,63.61,419.23
15.22,42.51,1010.5,57.24,460.7
27.33,60.25,1000.61,73.31,433.66
25.34,55.22,1005.77,88.11,434.63
11.55,40.63,1011.66,99.2,467.64
12.7,42.86,1016.34,58.72,462.94
24.7,50.54,1020.11,87.13,443.83
19.35,49.6,1021.59,94.15,456.74
24.89,56.94,1012.77,36.33,435.04
22.18,54.54,1007.78,49.11,441.44
18.48,40.94,1019.79,73.71,456.01
