loan_id,age,annual_income,employment_years,credit_score,loan_amount,loan_term_months,num_existing_loans,debt_to_income,interest_rate,home_ownership,loan_purpose,region,prior_default,collection_calls,default
LN00019,36,61300.0,11.5,531,11000.0,36,0,20.9,18.32,,Education,East,No,3,1
LN00020,43,,2.8,785,49100.0,24,0,38.3,10.22,Own,Education,South,No,0,0
LN00021,36,57700.0,1.6,775,20000.0,12,1,25.0,10.55,Mortgage,Business,Central,No,0,0
LN00022,36,53300.0,8.3,655,21200.0,36,2,21.5,15.35,Rent,Car,North,No,0,0
LN00023,33,46500.0,4.0,650,42800.0,60,1,50.1,14.14,Mortgage,Home,South,No,8,1
LN00024,41,52200.0,2.2,706,33000.0,48,1,34.5,12.39,Own,Education,Central,Yes,0,0
LN00025,24,42800.0,6.4,734,29800.0,36,1,41.8,13.1,Own,Car,West,No,0,0
LN00026,41,68900.0,2.5,647,44300.0,24,1,38.5,15.57,Rent,Education,West,Yes,1,0
LN00027,56,64200.0,11.3,662,35900.0,48,1,39.0,14.91,Own,Personal,North,No,0,0
LN00028,31,,3.1,795,14600.0,36,1,27.4,9.82,Mortgage,Car,South,No,0,0
LN00029,39,30800.0,5.3,637,34200.0,36,1,40.8,15.13,Own,Personal,West,No,3,1
LN00030,74,69700.0,2.3,723,27100.0,36,1,33.4,12.94,Rent,Education,North,No,0,0
LN00031,28,126300.0,2.9,698,14700.0,36,3,27.7,12.75,Mortgage,Car,East,No,0,0
LN00032,21,36000.0,6.7,657,29900.0,36,4,40.3,13.54,Rent,Home,East,No,9,1
LN00033,35,63500.0,9.2,731,13000.0,60,4,28.0,11.85,Mortgage,Business,North,No,0,0
LN00034,62,107800.0,9.2,684,44000.0,24,0,27.6,14.24,,Car,West,No,1,0
LN00035,64,58400.0,9.9,680,28100.0,36,0,21.0,13.17,Rent,Personal,North,No,8,1
LN00036,25,104200.0,11.0,592,32400.0,12,0,35.0,16.52,Rent,Home,East,No,7,1
LN00037,47,51300.0,4.1,672,18400.0,48,1,22.4,14.39,Rent,Business,North,No,0,0
LN00038,40,21300.0,3.7,787,33200.0,36,0,62.5,12.01,Rent,Home,North,No,4,1
LN00039,33,158100.0,5.7,658,71400.0,24,1,24.5,14.92,Rent,Business,West,No,0,0
LN00040,21,89000.0,6.7,655,25700.0,24,2,36.7,12.55,Own,Business,West,No,0,0
LN00041,52,31500.0,2.5,650,26200.0,36,1,19.6,17.53,Rent,Car,East,No,0,0
LN00042,30,57900.0,1.1,726,23100.0,12,2,28.5,13.07,Rent,Business,South,No,0,0
LN00043,44,59900.0,,744,33700.0,24,1,24.9,13.14,Own,Education,West,Yes,0,0
LN00044,41,36700.0,7.0,671,65500.0,36,1,47.0,11.74,Rent,Business,North,Yes,5,1
LN00045,62,21200.0,,544,49500.0,12,1,62.0,16.54,Mortgage,Home,East,No,7,1
LN00046,54,67300.0,7.2,780,42400.0,36,2,36.1,12.37,Mortgage,Personal,Central,No,0,0
LN00047,26,68900.0,4.9,687,15600.0,12,0,23.6,15.13,Mortgage,Car,North,No,0,0
LN00048,37,31400.0,4.1,736,69500.0,60,1,63.3,11.9,Mortgage,Personal,Central,No,0,0
LN00049,52,26200.0,8.9,666,29000.0,60,0,32.9,13.45,Own,Education,West,No,3,1
LN00050,24,99300.0,2.6,753,29700.0,12,1,24.7,12.05,Mortgage,Personal,North,No,0,0
LN00051,35,67100.0,8.9,711,22900.0,24,1,38.5,13.34,Own,Personal,Central,No,1,0
LN00052,43,49500.0,5.3,713,37300.0,60,0,30.2,14.47,Rent,Car,West,No,0,0
LN00053,21,88000.0,12.3,605,40700.0,12,2,31.9,15.34,Rent,Personal,North,No,0,0
LN00054,25,59700.0,12.8,664,16800.0,36,4,39.4,14.59,Rent,Business,West,No,0,0
LN00055,21,33300.0,10.8,714,22700.0,24,0,43.0,13.07,Mortgage,Personal,Central,No,0,0
LN00056,43,60600.0,13.2,780,47200.0,36,0,35.4,12.61,Own,Car,East,No,0,0
LN00057,33,170100.0,9.8,738,43200.0,24,2,39.7,12.56,Mortgage,Home,South,No,0,0
LN00058,51,42400.0,11.0,800,18500.0,24,0,45.9,10.14,Own,Personal,West,No,0,0
LN00059,41,87100.0,6.0,606,18800.0,36,2,49.7,16.68,Mortgage,Personal,South,No,1,0
LN00060,47,55700.0,6.7,641,50900.0,12,0,36.3,14.52,Mortgage,Car,South,No,0,0
LN00061,39,74700.0,5.4,682,51500.0,48,2,30.4,14.71,,Home,West,No,0,0
LN00062,49,71700.0,8.6,746,34500.0,12,0,24.6,11.96,Rent,Personal,East,No,0,0
LN00063,39,89500.0,,679,11700.0,60,3,42.2,13.94,Rent,Home,North,No,1,0
LN00064,28,101800.0,3.3,654,54400.0,60,1,32.0,12.55,Rent,Business,South,Yes,0,0
LN00065,54,55400.0,9.4,642,8300.0,36,0,17.3,14.6,Rent,Personal,East,No,0,0
LN00066,52,119700.0,3.0,652,18500.0,48,1,15.4,16.28,Rent,Car,East,No,0,0
LN00067,67,71900.0,11.3,793,12200.0,60,2,25.3,9.11,Rent,Personal,South,Yes,0,0
LN00068,38,35200.0,5.0,712,39600.0,12,1,14.4,14.94,Rent,Education,West,No,0,0
LN00069,33,,5.0,641,13700.0,48,2,19.3,16.91,Mortgage,Car,South,No,5,1
LN00070,23,69900.0,13.6,693,18100.0,24,2,38.3,12.72,Rent,Car,South,No,7,1
LN00071,21,,6.4,748,47100.0,12,1,30.3,10.3,,Personal,South,No,0,0
LN00072,24,83700.0,4.3,669,31900.0,36,1,36.4,14.74,Mortgage,Home,South,No,0,0
LN00073,46,77500.0,7.5,571,16300.0,36,1,38.2,17.92,Rent,Education,East,Yes,9,1
LN00074,29,130600.0,15.3,630,24800.0,24,1,2.0,12.64,Own,Personal,North,No,4,1
LN00075,21,123100.0,9.6,687,30900.0,48,0,27.7,14.69,Rent,Home,East,No,0,0
LN00076,47,82000.0,7.8,584,30400.0,36,0,33.2,15.2,Own,Business,Central,No,0,0
LN00077,33,,6.3,625,31200.0,48,0,50.8,16.01,Mortgage,Business,South,No,4,1
LN00078,36,91500.0,16.0,707,35600.0,24,1,31.4,13.02,Rent,Home,East,No,0,0
LN00079,35,92300.0,1.1,765,40200.0,24,0,20.7,10.26,Own,Personal,West,No,0,0
LN00080,38,90300.0,6.7,675,26900.0,36,0,41.2,12.71,Mortgage,Car,East,No,0,0
LN00081,46,88700.0,2.1,550,15300.0,48,2,7.4,17.28,Mortgage,Car,West,No,0,0
LN00082,21,45600.0,10.2,824,52500.0,24,0,48.0,9.35,Mortgage,Home,West,No,0,0
LN00083,37,100300.0,5.2,617,25800.0,36,2,20.9,14.87,Own,Business,West,Yes,0,0
LN00084,34,105200.0,4.8,713,24000.0,36,0,29.7,10.15,Rent,Education,South,No,0,0
LN00085,54,98600.0,6.0,553,19000.0,36,0,44.3,17.95,Mortgage,Personal,South,No,0,0
LN00086,28,46500.0,,642,29800.0,24,0,22.7,14.44,Mortgage,Car,North,Yes,0,0
LN00087,60,61800.0,11.5,739,38700.0,36,2,27.3,13.47,Mortgage,Personal,South,No,0,0
LN00088,47,19300.0,4.5,643,32600.0,48,0,53.8,14.62,Rent,Personal,North,No,0,0
LN00089,59,22100.0,6.1,782,22000.0,24,1,36.2,11.71,Mortgage,Business,West,No,0,0
LN00090,32,64300.0,5.2,646,18000.0,48,1,43.6,13.73,Mortgage,Personal,North,No,1,0
LN00091,50,76500.0,1.3,635,28200.0,36,1,29.5,17.18,Mortgage,Education,Central,No,0,0
LN00092,44,59200.0,10.6,714,28400.0,48,0,37.4,12.63,Rent,Personal,North,No,0,0
LN00093,22,68500.0,9.1,700,37500.0,12,2,19.1,14.99,Mortgage,Home,North,No,0,0
LN00094,37,84900.0,3.1,659,17600.0,48,1,45.5,14.2,Mortgage,Personal,West,No,0,0
LN00095,35,43400.0,3.5,609,10800.0,36,0,28.2,15.14,Rent,Business,East,No,0,0
LN00096,28,83800.0,1.4,695,25800.0,60,3,29.0,12.24,Rent,Business,South,No,0,0
LN00097,31,93300.0,3.1,608,13200.0,60,1,11.0,16.78,Mortgage,Business,Central,No,1,0
LN00098,23,45900.0,2.6,609,52200.0,48,0,40.8,14.63,Rent,Personal,East,No,1,0
LN00099,34,93800.0,5.3,733,12900.0,36,1,36.1,12.57,Rent,Education,North,No,0,0
LN00100,44,48800.0,4.1,659,11200.0,24,2,15.2,15.61,Rent,Education,North,No,0,0
LN00101,31,65000.0,3.4,826,41900.0,60,3,39.1,10.22,Mortgage,Personal,North,No,0,0
LN00102,21,62500.0,2.4,780,31300.0,12,2,29.7,12.11,Mortgage,Business,Central,Yes,0,0
LN00103,53,59500.0,9.0,739,38800.0,24,0,46.1,12.47,Own,Personal,West,No,0,0
LN00104,36,22400.0,2.5,696,37700.0,48,4,57.4,13.22,Rent,Personal,South,No,4,1
LN00105,40,129700.0,3.0,689,45400.0,24,0,28.0,13.9,Own,Education,West,Yes,0,0
LN00106,37,,4.6,673,22800.0,24,1,45.8,15.76,Rent,Home,West,No,0,0
LN00107,34,69400.0,5.5,737,42000.0,24,2,41.3,13.07,Own,Personal,West,No,0,0
LN00108,47,56400.0,7.6,792,33600.0,12,1,42.4,12.09,Mortgage,Education,West,No,1,0
LN00109,34,61500.0,6.4,611,20200.0,36,0,29.9,16.9,Own,Home,West,No,0,0
LN00110,40,40600.0,3.5,669,77800.0,48,0,44.2,14.19,Mortgage,Personal,North,No,1,0
LN00111,23,,2.4,606,21400.0,24,2,17.8,15.6,Own,Business,South,No,0,0
LN00112,21,64000.0,,701,13600.0,48,2,38.0,12.18,Own,Personal,North,No,0,0
LN00113,35,81500.0,6.9,713,59100.0,48,0,52.1,11.98,Rent,Personal,Central,No,0,0
LN00114,63,101800.0,6.7,760,25400.0,36,0,27.7,12.04,Own,Education,East,No,0,0
LN00115,42,66700.0,,695,36600.0,12,3,38.2,12.14,Rent,Personal,South,No,3,1
LN00116,63,48500.0,8.0,708,28500.0,36,3,32.3,12.12,Rent,Education,South,No,0,0
LN00117,45,75200.0,9.7,518,34000.0,36,2,30.6,21.55,,Personal,Central,No,0,0
LN00118,45,72600.0,6.3,678,34400.0,36,2,22.8,13.36,Own,Personal,Central,Yes,0,0
LN00119,33,88300.0,4.5,796,57000.0,12,0,28.6,10.06,Rent,Home,East,No,0,0
LN00120,40,43800.0,3.0,704,38300.0,24,0,52.5,13.47,Own,Home,North,No,5,1
LN00121,61,,8.0,445,24500.0,24,0,25.5,19.95,Rent,Personal,North,No,10,1
LN00122,54,24700.0,6.7,669,32800.0,24,3,69.5,12.28,Rent,Car,East,No,4,1
LN00123,32,90000.0,5.4,507,39000.0,24,0,29.0,20.29,Own,Car,Central,No,1,0
LN00124,34,,9.1,681,24600.0,36,0,45.5,13.62,Own,Personal,South,No,2,0
LN00125,56,102600.0,7.1,725,26800.0,12,1,35.6,14.56,Rent,Business,West,No,0,0
LN00126,34,68100.0,17.6,605,43000.0,12,0,20.1,16.72,Rent,Car,East,No,0,0
LN00127,51,95400.0,10.5,850,51300.0,24,1,51.3,9.54,Rent,Home,North,No,0,0
LN00128,29,112800.0,0.9,793,30400.0,36,2,19.8,10.87,Mortgage,Business,South,No,0,0
LN00129,48,35400.0,7.0,552,19400.0,60,0,44.2,18.15,Mortgage,Car,South,No,0,0
LN00130,58,32900.0,2.0,716,37400.0,12,0,36.1,12.99,Mortgage,Business,Central,No,0,0
LN00131,50,88700.0,,562,23300.0,60,2,37.1,18.54,,Car,South,No,8,1
LN00132,43,74300.0,8.4,688,64700.0,24,1,32.2,13.79,Rent,Home,Central,No,0,0
LN00133,42,40400.0,6.5,653,29200.0,36,1,34.3,15.37,Rent,Education,North,No,6,1
LN00134,39,45500.0,6.2,725,39100.0,60,1,25.0,12.54,Mortgage,Personal,North,Yes,0,0
LN00135,40,44800.0,6.3,705,21000.0,36,2,32.2,12.44,Rent,Business,Central,Yes,3,1
LN00136,54,77700.0,8.1,701,26200.0,24,1,42.5,11.97,Mortgage,Personal,South,No,0,0
LN00137,54,35400.0,6.3,572,20100.0,12,1,48.1,15.74,Mortgage,Business,West,Yes,5,1
LN00138,45,31700.0,5.3,571,16400.0,36,3,54.0,18.21,Rent,Car,Central,No,7,1
LN00139,25,48400.0,8.2,776,47200.0,60,1,40.6,11.24,Mortgage,Personal,South,No,1,0
LN00140,34,40100.0,9.6,613,16400.0,24,0,33.7,16.18,Own,Business,Central,No,6,1
LN00141,44,75200.0,4.4,713,26600.0,48,1,30.1,13.68,Own,Personal,East,No,0,0
LN00142,41,71200.0,,617,37500.0,60,0,22.5,16.71,Rent,Home,North,No,0,0
LN00143,24,36500.0,4.7,755,38800.0,36,2,51.2,10.4,Mortgage,Home,South,No,0,0
LN00144,48,78500.0,6.7,732,21600.0,48,0,35.0,12.16,Rent,Home,Central,No,1,0
LN00145,71,82400.0,2.4,645,27400.0,36,0,36.4,16.11,Own,Personal,South,No,0,0
LN00146,25,53100.0,4.7,674,25200.0,36,0,19.1,15.31,Own,Car,West,No,1,0
LN00147,41,41400.0,12.3,566,21200.0,48,3,35.3,19.32,Own,Business,South,No,7,1
LN00148,59,31500.0,2.3,765,23000.0,60,1,46.7,12.77,Own,Business,Central,No,0,0
LN00149,35,67800.0,5.7,642,34700.0,12,0,29.7,14.67,Mortgage,Personal,North,No,0,0
LN00150,35,107400.0,3.3,735,19000.0,36,1,34.4,12.96,Rent,Education,South,No,0,1
LN00151,42,96800.0,10.5,772,37500.0,48,2,37.7,11.21,Rent,Personal,Central,No,0,0
LN00152,47,71200.0,5.8,742,14800.0,24,1,17.8,14.08,Mortgage,Business,Central,No,0,0
LN00153,35,208900.0,8.8,646,25400.0,48,2,28.5,13.59,Rent,Education,South,No,0,0
LN00154,52,34800.0,15.5,713,30200.0,36,1,22.5,11.79,Mortgage,Personal,Central,No,1,0
LN00155,21,85400.0,,675,14800.0,48,3,49.7,15.13,Rent,Home,West,Yes,4,1
LN00156,48,44100.0,5.2,516,19700.0,24,0,22.6,19.41,Own,Personal,North,No,0,0
LN00157,44,72800.0,2.8,662,16200.0,48,2,47.2,14.47,Rent,Personal,North,No,0,0
LN00158,38,44800.0,14.9,710,24300.0,24,0,39.6,12.87,,Home,East,No,7,1
LN00159,45,51800.0,10.3,739,14300.0,60,1,25.0,12.61,Mortgage,Personal,Central,No,1,0
LN00160,41,82200.0,2.3,713,10300.0,60,0,26.8,12.4,Rent,Home,Central,No,0,0
LN00161,56,33000.0,5.4,686,22800.0,12,1,34.9,12.88,Mortgage,Personal,South,No,0,0
LN00162,34,46200.0,6.6,677,35100.0,60,0,33.7,14.38,Mortgage,Business,East,No,0,0
LN00163,40,36800.0,,634,32100.0,36,2,55.2,16.08,Own,Home,West,No,3,1
LN00164,23,67000.0,9.8,571,26000.0,36,1,30.1,18.63,Rent,Home,North,No,1,1
LN00165,27,73800.0,14.1,642,23000.0,36,2,32.3,15.6,Rent,Personal,West,No,6,1
LN00166,37,79900.0,9.4,697,39100.0,36,0,37.9,14.02,Rent,Home,Central,No,0,0
LN00167,21,29400.0,6.1,691,22000.0,36,0,30.0,14.22,Rent,Education,South,No,0,0
LN00168,30,30800.0,4.0,679,31800.0,24,1,35.4,14.31,Rent,Personal,East,No,0,0
LN00169,24,66900.0,6.2,712,42800.0,12,2,37.8,15.29,Rent,Personal,Central,No,0,0
LN00170,34,64300.0,15.9,674,24600.0,12,3,34.2,14.78,Own,Personal,East,No,0,0
LN00171,41,38600.0,5.0,609,18200.0,24,2,39.4,17.36,Own,Personal,South,No,11,1
LN00172,51,64100.0,3.3,753,53600.0,48,1,30.2,13.47,Mortgage,Car,West,No,0,0
LN00173,21,67300.0,,709,28900.0,24,1,52.7,11.33,Mortgage,Education,North,No,0,0
LN00174,38,48400.0,6.9,642,17200.0,60,1,40.3,16.38,Mortgage,Car,Central,No,8,1
LN00175,50,222300.0,2.5,619,53400.0,24,0,20.3,14.74,Mortgage,Home,North,No,0,0
LN00176,57,40700.0,8.8,728,32500.0,36,1,50.5,15.16,Rent,Education,East,Yes,0,0
LN00177,57,96800.0,10.1,690,40200.0,60,2,31.6,11.61,Own,Education,West,No,7,1
LN00178,23,60900.0,12.0,772,23200.0,12,3,31.4,10.51,Rent,Car,West,No,0,0
LN00179,34,62400.0,5.0,691,27600.0,36,0,32.6,13.61,Rent,Car,North,Yes,7,1
LN00180,47,39400.0,6.4,589,36600.0,48,1,47.2,15.15,Own,Personal,South,No,1,0
LN00181,51,49800.0,4.2,626,35400.0,24,0,40.9,16.93,Own,Home,East,No,0,0
LN00182,43,52800.0,4.8,735,54100.0,36,1,26.9,13.51,Rent,Business,West,No,0,0
LN00183,43,48400.0,5.5,580,27700.0,36,4,16.1,17.08,Rent,Education,East,No,0,0
LN00184,43,75400.0,3.1,651,55900.0,24,0,46.4,16.5,Mortgage,Education,West,No,9,1
LN00185,31,82900.0,12.0,664,4300.0,24,1,19.6,13.72,Mortgage,Business,North,No,1,0
LN00186,42,63300.0,6.9,689,52400.0,24,2,30.7,13.37,Mortgage,Personal,North,No,0,0
LN00187,50,81800.0,1.5,730,17600.0,60,1,27.0,12.67,Mortgage,Personal,North,No,1,0
LN00188,36,53600.0,2.4,719,45400.0,24,1,48.6,11.31,Own,Home,Central,No,0,0
LN00189,54,42400.0,4.9,661,31600.0,36,0,36.7,14.48,Mortgage,Business,North,No,1,0
LN00190,21,43300.0,3.2,760,9000.0,24,1,23.1,11.83,Own,Education,East,No,0,0
LN00191,36,,7.4,654,15100.0,24,1,16.8,15.86,Own,Business,South,No,0,0
LN00192,60,48100.0,7.8,710,31400.0,60,2,37.5,14.57,Rent,Car,North,Yes,0,0
LN00193,50,50200.0,5.1,461,18600.0,48,0,30.5,22.97,Mortgage,Car,West,No,7,1
LN00194,57,70000.0,8.6,651,23800.0,48,0,32.6,12.84,Mortgage,Education,North,No,0,0
LN00195,42,50100.0,3.0,709,26400.0,24,0,37.6,14.14,Rent,Business,North,No,0,0
LN00196,26,97000.0,1.4,588,25300.0,24,0,10.6,16.46,Mortgage,Home,South,No,0,0
LN00197,34,86300.0,0.8,660,43200.0,12,3,36.7,13.76,Mortgage,Personal,South,No,6,1
LN00198,58,56500.0,10.3,640,14900.0,60,3,44.8,14.11,Rent,Personal,West,No,4,1
LN00199,21,,1.8,788,42900.0,36,0,38.5,11.74,Rent,Business,North,No,1,0
LN00200,29,60400.0,9.1,628,24400.0,36,0,32.9,15.78,Own,Business,Central,Yes,0,0
LN00201,21,65700.0,7.2,798,50500.0,36,3,36.7,10.54,Own,Business,North,No,0,0
LN00202,34,81400.0,3.4,697,14700.0,48,1,28.3,15.28,Rent,Car,South,No,1,0
LN00203,35,83600.0,6.6,661,26100.0,36,0,40.5,13.23,Rent,Personal,North,No,3,1
LN00204,47,75300.0,5.3,678,29100.0,36,1,21.5,12.08,Own,Education,East,No,0,0
LN00205,30,73800.0,7.7,608,23300.0,36,1,27.2,16.82,Own,Home,East,No,1,0
LN00206,61,84300.0,,769,20400.0,48,0,17.9,10.84,Own,Car,East,No,1,0
LN00207,48,134400.0,5.3,746,23300.0,48,0,24.4,12.81,Own,Business,North,No,0,0
LN00208,34,63300.0,9.9,686,32400.0,12,1,20.8,15.99,Mortgage,Home,West,No,1,0
LN00209,28,51100.0,5.0,663,26500.0,48,3,32.0,13.78,Rent,Personal,South,Yes,1,0
LN00210,22,137200.0,9.5,542,39600.0,36,2,30.1,16.36,Rent,Personal,South,No,0,0
LN00211,41,82000.0,1.7,573,23000.0,36,2,17.5,18.19,Own,Personal,West,No,5,1
LN00212,64,41500.0,,706,22100.0,60,0,40.7,15.08,Rent,Education,South,No,0,0
LN00213,38,61200.0,2.6,712,13500.0,36,0,42.4,12.8,Rent,Personal,North,No,0,0
LN00214,28,48400.0,4.2,733,19600.0,36,2,7.9,12.97,Rent,Personal,East,Yes,2,0
LN00215,39,112600.0,7.6,628,21700.0,48,3,42.8,16.24,Own,Car,West,Yes,5,1
LN00216,34,41000.0,3.7,613,43700.0,48,2,50.7,13.81,Mortgage,Business,West,No,7,1
LN00217,29,46600.0,5.0,600,25100.0,12,0,20.7,15.91,Mortgage,Personal,East,Yes,12,1
LN00218,21,38000.0,12.1,644,23700.0,36,1,31.1,16.05,Mortgage,Personal,Central,No,7,1
LN00219,39,29400.0,3.1,690,57600.0,36,0,38.2,12.51,Mortgage,Home,South,No,0,0
LN00220,58,87000.0,9.2,640,40200.0,48,1,29.9,14.63,Mortgage,Car,North,No,0,0
LN00221,55,21600.0,0.7,772,54300.0,36,0,75.4,10.3,Own,Business,West,No,0,0
LN00222,52,77800.0,6.0,563,24600.0,24,0,33.6,19.18,Rent,Car,Central,No,6,1
LN00223,43,49900.0,3.8,650,9700.0,36,1,40.4,16.93,,Business,North,No,0,0
LN00224,46,100100.0,3.3,679,35100.0,24,2,48.2,11.82,Rent,Car,East,Yes,6,1
LN00225,52,55600.0,3.7,764,14800.0,36,3,23.0,9.68,Own,Personal,East,No,0,0
LN00226,39,109700.0,6.4,672,11500.0,36,0,22.2,13.87,Mortgage,Personal,West,No,0,0
LN00227,43,116400.0,6.6,725,28000.0,36,0,25.4,14.44,Rent,Personal,Central,Yes,0,0
LN00228,35,,7.7,727,49900.0,48,1,35.7,11.56,Mortgage,Car,Central,No,0,0
LN00229,54,81400.0,,757,42300.0,24,2,10.5,11.11,Mortgage,Home,South,No,0,0
LN00230,29,80600.0,8.1,774,13900.0,24,2,28.0,12.11,Mortgage,Home,West,No,0,0
LN00231,48,85000.0,2.9,676,14200.0,12,0,34.8,13.2,Rent,Home,East,Yes,12,1
LN00232,50,23800.0,11.0,590,87400.0,60,1,84.1,16.71,Mortgage,Car,North,No,6,1
LN00233,50,150800.0,3.2,743,24600.0,36,4,25.3,13.79,Mortgage,Business,Central,No,0,0
LN00234,49,58400.0,21.9,579,25400.0,48,1,24.2,17.16,Rent,Car,Central,No,0,0
LN00235,35,55700.0,8.0,645,46300.0,12,0,49.1,15.03,Own,Car,Central,No,0,0
LN00236,33,70300.0,10.6,616,29000.0,24,0,26.3,15.13,Mortgage,Business,Central,No,0,0
LN00237,35,80000.0,3.7,643,20800.0,36,0,10.1,13.88,Rent,Business,East,No,2,0
LN00238,36,62000.0,5.7,651,24600.0,36,2,25.5,13.65,Rent,Home,North,Yes,0,0
LN00239,27,42200.0,2.1,572,17400.0,48,2,27.4,17.88,Mortgage,Personal,West,Yes,4,1
LN00240,35,48500.0,2.1,618,63600.0,36,2,41.9,15.45,Rent,Personal,South,No,7,1
LN00241,32,106000.0,4.2,830,12300.0,36,2,26.9,11.06,Mortgage,Car,East,No,0,0
LN00242,29,64600.0,8.9,638,30600.0,60,1,24.6,14.34,Mortgage,Personal,North,No,12,1
LN00243,45,51200.0,3.2,802,30200.0,36,0,44.6,10.3,Mortgage,Car,North,No,0,0
LN00244,31,41600.0,9.7,680,30700.0,36,2,46.0,14.9,Rent,Car,Central,No,7,1
LN00245,43,38100.0,8.0,677,25200.0,24,1,35.8,15.08,Rent,Personal,West,No,0,0
LN00246,58,48200.0,,486,67400.0,60,2,42.1,19.33,Mortgage,Business,South,No,4,1
LN00247,60,69800.0,4.4,773,18800.0,12,3,11.0,13.29,Mortgage,Business,West,No,0,0
LN00248,40,59500.0,4.2,596,25600.0,48,1,45.1,15.65,Rent,Education,West,No,0,0
LN00249,52,31000.0,6.0,721,16900.0,60,1,38.8,12.14,Mortgage,Education,North,No,0,0
LN00250,43,39000.0,4.1,741,33300.0,60,1,39.0,12.69,Mortgage,Car,North,Yes,0,0
LN00251,69,24800.0,17.2,669,40700.0,36,1,43.6,14.89,Mortgage,Car,South,No,1,0
LN00252,60,58000.0,2.6,643,17700.0,48,0,13.3,15.4,Rent,Personal,North,No,0,0
LN00253,54,80100.0,6.4,605,46000.0,48,2,8.5,18.22,Mortgage,Personal,South,No,0,0
LN00254,38,71100.0,4.2,589,65500.0,36,2,34.7,15.51,Rent,Personal,East,Yes,4,1
LN00255,37,124100.0,6.6,695,16600.0,24,1,37.4,13.56,Mortgage,Home,West,No,0,0
LN00256,47,48700.0,10.5,678,40100.0,36,2,32.7,16.06,Own,Business,West,No,3,1
LN00257,40,132400.0,6.3,641,28300.0,48,1,39.3,15.01,Own,Education,Central,No,0,0
LN00258,37,35600.0,4.0,761,33500.0,36,1,38.8,10.64,Mortgage,Car,West,No,0,0
LN00259,49,66200.0,3.2,669,36000.0,36,1,25.0,14.49,Mortgage,Personal,North,No,1,0
LN00260,25,,6.1,533,57500.0,36,2,37.0,19.8,Rent,Education,South,No,6,1
LN00261,21,62300.0,,683,51500.0,60,1,36.3,14.43,Rent,Personal,West,Yes,9,1
LN00262,28,78600.0,14.9,683,12900.0,12,1,10.9,13.07,Own,Home,North,No,0,0
LN00263,26,42400.0,1.2,614,13500.0,48,2,25.4,16.59,Mortgage,Personal,Central,No,0,0
LN00264,39,24400.0,9.0,670,21700.0,60,1,35.5,15.41,Rent,Home,South,No,1,0
LN00265,30,38700.0,9.7,722,15700.0,36,0,46.5,11.77,Rent,Car,North,No,0,0
LN00266,38,45800.0,5.9,670,34900.0,12,2,28.6,14.21,,Business,Central,No,0,0
LN00267,21,39900.0,6.7,660,66200.0,48,1,44.7,14.99,Mortgage,Car,South,No,0,0
LN00268,58,124400.0,1.4,657,30300.0,36,1,28.1,15.37,Mortgage,Home,North,No,0,0
LN00269,45,48800.0,5.4,645,26800.0,24,1,26.4,15.03,Rent,Personal,Central,No,0,0
LN00270,30,41500.0,5.3,618,19300.0,24,0,44.0,15.78,Rent,Personal,North,No,5,1
LN00271,44,81500.0,8.4,663,17100.0,60,1,9.5,16.01,Rent,Car,West,No,1,0
LN00272,55,67700.0,4.9,572,48800.0,24,0,51.3,16.73,Rent,Business,South,No,3,1
