customer_id,enroll_date,year_birth,education,marital_status,income,kids_home,teens_home,recency,spend_wine,spend_fruits,spend_meat,spend_fish,spend_sweets,spend_gold,web_purchases,catalog_purchases,store_purchases,web_visits_month,accepted_cmp1,accepted_cmp2,accepted_cmp3,accepted_cmp4,accepted_cmp5,complain,responded
CMK00026,2022-07-26,1996,Master,Together,16600.0,0,2,13,220.68,32.5,92.37,35.07,25.78,13.23,4,1,7,4,0,0,0,0,0,0,0
CMK00027,2024-02-23,1971,Basic,Single,25400.0,0,1,70,178.61,5.25,95.97,30.93,15.24,42.14,4,1,1,7,0,0,0,0,0,0,0
CMK00028,2023-04-30,1978,PhD,Married,27700.0,1,1,25,259.95,39.18,100.02,24.95,35.84,15.68,4,4,3,4,0,0,1,1,1,0,1
CMK00029,2022-08-15,1977,Graduation,Widow,61100.0,0,0,28,413.6,50.84,299.95,50.3,58.47,55.55,2,3,6,2,0,0,1,0,0,0,0
CMK00030,2022-11-22,1999,Master,Single,62000.0,1,1,40,313.53,41.78,327.57,72.26,42.95,67.21,7,0,8,8,0,0,1,0,0,0,0
CMK00031,2023-11-16,1978,Graduation,Divorced,28500.0,1,0,97,186.71,27.48,148.16,70.68,16.95,34.85,4,0,1,2,0,0,0,0,0,0,0
CMK00032,2023-01-29,1989,PhD,Married,32500.0,0,1,0,153.51,21.05,181.07,39.45,22.63,40.6,3,1,3,6,0,0,1,0,0,0,0
CMK00033,2024-05-28,1957,Graduation,Together,29300.0,1,0,64,136.79,27.29,106.19,12.49,10.25,47.57,5,3,6,4,0,0,1,0,0,0,0
CMK00034,2023-06-08,1955,Graduation,Married,48900.0,0,1,46,329.68,34.88,194.48,65.9,6.98,35.56,3,5,5,2,0,0,0,0,0,0,0
CMK00035,2023-01-16,1960,PhD,Together,32800.0,1,1,73,402.67,60.21,282.81,47.05,55.36,61.6,5,0,6,6,1,0,0,0,0,0,0
CMK00036,2023-12-07,1976,PhD,Divorced,54700.0,1,0,11,289.24,55.71,508.49,38.45,15.33,43.08,2,4,6,2,0,0,0,0,0,0,0
CMK00037,2023-05-27,1967,Master,Single,44900.0,0,1,46,417.16,54.44,353.93,46.04,35.74,41.15,6,3,3,3,0,0,0,1,0,0,0
CMK00038,2024-01-30,1978,Graduation,Divorced,51500.0,0,1,38,436.38,65.27,156.7,32.16,31.09,60.77,4,2,4,6,0,0,0,0,0,0,0
CMK00039,2024-10-13,1973,Basic,Divorced,93200.0,1,0,58,442.45,78.59,265.82,48.4,67.82,90.53,5,8,7,5,0,1,1,1,1,0,0
CMK00040,2024-03-18,1980,Graduation,Together,15700.0,0,0,0,123.43,15.26,62.56,11.81,19.55,23.85,7,0,1,4,1,0,0,1,1,0,0
CMK00041,2023-09-10,1966,Master,Together,18100.0,1,1,17,127.57,36.76,110.75,39.05,14.39,25.81,4,0,4,9,0,0,0,0,0,0,0
CMK00042,2022-12-15,1982,Graduation,Married,29300.0,1,0,36,369.64,33.1,161.34,64.22,32.8,32.7,3,5,2,4,0,0,0,0,1,0,0
CMK00043,2023-08-04,1974,Graduation,Married,50000.0,0,0,37,333.39,49.83,210.03,49.95,34.26,87.57,3,9,6,9,0,1,0,1,0,0,0
CMK00044,2024-10-06,1968,Graduation,Together,25900.0,0,0,5,257.58,49.35,139.51,42.51,31.13,34.04,3,5,5,7,0,0,1,0,1,0,0
CMK00045,2023-04-25,1977,Graduation,Single,58000.0,0,1,99,303.86,27.08,311.23,38.82,18.67,48.55,1,2,4,2,0,0,0,0,0,0,0
CMK00046,2023-07-25,1998,Graduation,Single,17700.0,1,0,0,241.88,30.96,106.4,37.13,26.56,19.79,2,3,6,8,0,0,1,0,0,0,0
CMK00047,2024-06-04,1982,Master,Together,17200.0,1,1,92,200.07,20.71,89.74,17.61,6.23,24.19,0,1,2,6,1,1,0,0,0,0,1
CMK00048,2022-07-27,1982,Graduation,Together,37600.0,1,0,13,264.02,28.24,182.35,28.4,31.7,32.76,4,4,1,3,0,0,1,0,0,0,1
CMK00049,2024-03-26,1993,Master,Married,,0,0,11,483.2,39.35,284.04,28.23,37.78,50.86,6,2,7,11,1,1,0,0,1,0,1
CMK00050,2023-08-09,1954,Graduation,Married,93700.0,1,1,86,313.39,71.46,193.69,46.34,34.71,78.94,3,5,4,2,0,0,1,0,1,0,0
CMK00051,2024-07-16,1989,Master,Married,33100.0,1,0,55,170.86,22.76,217.29,19.97,20.35,62.66,5,0,4,3,0,0,0,0,0,0,0
CMK00052,2024-10-28,1998,Master,Together,36500.0,0,1,42,359.13,31.93,133.96,27.75,28.02,57.23,2,4,5,1,0,0,0,0,0,0,0
CMK00053,2023-03-22,1995,Master,Together,23600.0,1,0,33,555.35,44.9,150.65,29.63,22.37,33.99,2,0,5,6,0,1,0,0,1,0,0
CMK00054,2024-01-03,1986,PhD,Single,,1,0,56,428.95,27.33,113.19,42.29,47.54,49.09,4,2,4,5,0,0,1,0,0,0,0
CMK00055,2024-07-08,1986,Master,Single,20600.0,0,1,42,228.33,23.24,165.05,33.16,13.78,26.81,5,0,3,4,0,0,0,0,0,0,1
CMK00056,2023-03-09,1951,PhD,Married,28800.0,0,1,13,349.81,53.4,202.25,28.99,29.21,32.5,5,5,6,8,0,1,0,0,1,0,0
CMK00057,2022-10-31,1964,Graduation,Married,27900.0,0,0,73,148.21,47.96,90.72,30.83,18.7,88.81,3,5,3,5,0,0,0,0,0,0,0
CMK00058,2024-09-10,2000,Graduation,Together,37900.0,1,0,77,455.29,33.4,124.61,56.7,13.98,66.73,0,3,5,1,0,0,0,0,0,0,0
CMK00059,2024-05-28,1984,Graduation,Married,28500.0,0,0,9,311.62,56.44,154.3,16.5,30.98,30.49,2,1,4,2,0,0,1,0,0,0,0
CMK00060,2024-07-13,1994,Graduation,Married,24400.0,0,0,29,271.82,25.85,108.85,37.01,8.63,38.83,2,3,5,3,0,1,0,1,0,0,0
CMK00061,2023-07-26,1986,Basic,Divorced,49600.0,0,1,44,284.42,34.0,173.7,37.58,20.89,36.58,1,2,4,2,0,1,1,0,0,0,0
CMK00062,2024-05-02,1970,Basic,Divorced,38300.0,2,0,80,200.35,44.86,166.28,55.42,17.38,21.93,8,2,6,6,0,0,0,0,0,0,0
CMK00063,2023-01-12,1982,Graduation,Married,80700.0,1,0,95,257.92,44.01,152.0,40.91,26.87,24.3,3,0,2,2,0,0,0,0,0,0,0
CMK00064,2022-08-30,1959,Graduation,Single,28100.0,0,1,27,271.93,56.46,118.75,30.81,31.13,61.29,0,2,8,0,0,0,0,0,0,0,0
CMK00065,2024-02-12,1959,Graduation,Married,46000.0,0,1,44,631.35,65.89,186.11,52.68,35.54,78.81,2,4,6,4,0,0,0,0,0,0,0
CMK00066,2022-09-29,1950,Graduation,Single,33600.0,1,0,7,162.41,17.36,158.96,24.22,13.99,29.28,2,4,6,6,0,0,0,0,0,0,1
CMK00067,2024-05-20,1958,Graduation,Divorced,44200.0,0,1,81,526.1,70.97,213.46,84.38,52.24,46.91,6,6,5,5,1,1,0,0,0,0,0
CMK00068,2022-09-21,1983,Graduation,Single,79700.0,1,1,58,427.51,55.18,276.13,61.46,33.99,56.61,7,8,4,7,0,1,0,1,0,0,0
CMK00069,2024-02-07,1975,Graduation,Married,25400.0,0,0,84,408.35,36.56,193.27,23.37,33.78,37.82,1,2,4,3,0,0,0,0,0,0,0
CMK00070,2022-10-23,1969,Master,Together,91700.0,0,0,78,571.02,71.71,401.71,82.33,78.37,66.2,2,3,8,4,1,0,0,0,0,0,0
CMK00071,2023-05-23,1957,PhD,Single,80100.0,0,1,28,443.72,91.17,461.07,75.35,34.47,102.36,4,4,8,11,0,0,1,0,0,0,0
CMK00072,2024-05-10,1959,Basic,Together,56100.0,2,1,35,358.52,69.81,206.96,37.56,46.65,43.3,5,4,2,4,0,0,0,0,0,0,0
CMK00073,2023-10-31,1976,Graduation,Together,21200.0,1,2,76,239.37,18.47,91.27,30.36,19.59,29.75,4,0,2,6,0,0,0,0,0,0,0
CMK00074,2023-06-21,1985,Graduation,Married,14700.0,0,0,93,249.57,17.12,106.6,29.98,19.61,14.36,5,4,0,4,0,0,0,0,0,0,0
CMK00075,2023-10-31,1989,PhD,Single,48600.0,1,0,18,299.43,31.37,132.93,37.99,36.58,37.9,7,3,7,12,1,1,1,0,0,0,1
CMK00076,2023-01-10,1985,Graduation,Together,,0,0,58,531.29,79.63,411.07,84.04,42.02,98.88,12,8,8,6,0,1,1,1,1,0,0
CMK00077,2023-02-13,1961,Master,Married,43500.0,2,0,62,494.92,81.53,208.74,34.46,36.38,48.57,0,3,7,3,0,0,0,0,0,0,0
CMK00078,2023-06-14,1950,Graduation,Married,52200.0,0,1,0,401.42,40.77,130.98,61.92,26.79,58.97,9,3,3,7,1,0,1,0,0,0,0
CMK00079,2022-12-07,1978,Graduation,Married,,0,1,58,156.88,44.03,225.97,27.85,17.25,47.13,6,4,8,8,0,0,0,1,0,0,0
CMK00080,2023-09-21,1955,Basic,Single,28200.0,1,1,43,271.72,19.18,119.46,40.56,17.76,37.86,6,3,4,6,0,1,0,0,0,0,0
CMK00081,2024-08-11,2000,Graduation,Married,35600.0,1,0,37,365.52,44.14,239.09,37.22,22.56,55.97,6,4,2,7,0,0,0,1,0,0,0
CMK00082,2024-01-24,1986,PhD,Married,18000.0,1,0,96,243.5,20.81,119.76,23.77,23.96,20.6,1,2,5,3,0,0,0,0,0,0,0
CMK00083,2023-09-14,1971,PhD,Married,42500.0,0,2,31,228.16,34.16,176.6,40.79,28.18,64.02,3,3,13,1,0,0,0,0,0,0,0
CMK00084,2024-03-02,1973,Master,Together,51200.0,1,1,77,364.61,55.93,186.79,38.09,32.24,41.18,4,10,6,3,0,0,0,0,0,0,0
CMK00085,2024-07-09,1972,Master,Married,59700.0,1,1,88,295.19,60.97,195.72,31.52,28.95,52.32,6,4,2,2,0,0,0,0,0,0,0
CMK00086,2022-08-02,1954,Graduation,Married,70800.0,1,0,38,244.02,20.73,130.38,34.25,36.81,60.85,3,3,2,5,0,1,0,0,0,0,0
CMK00087,2023-11-19,1983,Graduation,Single,31400.0,2,0,6,140.91,49.98,169.8,49.12,10.74,18.3,7,4,9,5,0,1,0,0,0,0,0
CMK00088,2023-01-29,1978,Graduation,Married,58300.0,0,0,23,223.99,37.11,127.09,46.36,30.88,56.81,5,1,8,6,1,0,1,1,1,0,1
CMK00089,2023-06-01,1951,Master,Married,35800.0,0,1,63,458.67,22.8,158.2,33.41,68.34,49.37,3,5,6,4,1,1,1,1,0,0,0
CMK00090,2024-02-14,1989,Basic,Single,,1,1,76,115.23,28.98,151.68,23.61,22.68,34.76,4,1,6,10,0,1,0,1,0,0,0
CMK00091,2024-09-22,1991,Master,Married,26900.0,0,1,99,183.3,66.1,212.13,28.13,22.14,48.97,2,1,3,1,0,0,0,0,0,0,0
CMK00092,2022-09-20,1978,Graduation,Single,37700.0,0,0,93,237.8,42.71,170.53,44.5,17.79,38.92,0,1,10,9,0,0,0,0,0,0,0
CMK00093,2022-09-05,1993,Graduation,Married,77000.0,0,0,26,466.44,33.93,378.42,44.88,42.21,54.1,7,1,4,7,0,0,0,0,0,0,0
CMK00094,2024-01-09,1976,PhD,Married,44400.0,1,1,1,329.21,28.72,281.8,29.39,40.03,59.91,5,2,5,9,0,0,1,1,0,0,1
CMK00095,2024-09-11,1967,Graduation,Together,35500.0,1,0,28,219.66,64.92,145.86,46.49,35.21,43.5,5,1,7,6,0,1,0,0,0,0,0
CMK00096,2022-09-04,1971,PhD,Single,45300.0,1,0,82,199.49,70.71,138.79,37.34,14.0,55.0,1,3,5,5,0,0,1,0,0,0,0
CMK00097,2023-08-11,1969,Master,Together,57600.0,1,0,21,579.28,54.04,245.45,64.1,42.38,39.97,5,2,8,5,1,0,0,0,0,0,1
CMK00098,2024-08-29,1963,Graduation,Married,44900.0,0,0,19,382.3,44.4,200.31,39.26,23.9,54.34,6,6,8,2,0,1,0,0,0,0,0
CMK00099,2022-09-18,1967,Basic,Together,46500.0,1,1,14,271.22,30.32,241.82,30.9,22.76,53.1,3,3,3,4,1,0,0,0,1,0,0
CMK00100,2023-11-14,1972,Graduation,Married,19100.0,1,0,46,131.0,19.25,130.45,26.66,34.57,9.86,8,0,2,6,0,0,1,0,0,0,0
CMK00101,2022-08-01,1983,Graduation,Single,65500.0,1,0,0,429.87,64.2,170.35,40.69,26.08,52.67,5,4,6,8,1,0,1,1,0,0,1
CMK00102,2023-11-05,1974,Master,Together,34800.0,0,0,7,285.76,36.3,255.5,41.82,28.75,34.34,9,7,4,8,1,0,0,1,1,0,0
CMK00103,2022-09-19,1991,Graduation,Together,,0,0,82,156.87,26.03,177.7,24.44,44.15,25.43,2,4,5,3,0,0,0,0,0,0,0
CMK00104,2023-07-07,1995,Graduation,Together,32700.0,2,2,30,378.14,52.98,139.9,40.03,23.15,64.01,1,4,3,3,0,0,0,0,0,0,0
CMK00105,2023-11-28,1991,Graduation,Married,25900.0,1,0,26,198.93,27.87,78.27,17.54,16.47,44.32,2,3,1,4,0,0,0,0,0,0,0
CMK00106,2024-02-05,1965,Graduation,Divorced,28500.0,1,0,16,126.92,29.29,92.69,20.68,14.71,11.69,5,1,2,10,1,0,0,0,0,0,0
CMK00107,2023-02-21,1982,Master,Single,63100.0,1,0,99,411.18,43.36,259.21,96.13,30.97,80.57,1,3,1,3,0,0,0,0,0,0,0
CMK00108,2023-07-17,1950,PhD,Widow,52300.0,1,1,47,413.92,47.95,409.62,76.92,54.08,83.06,2,1,8,1,1,0,0,0,0,1,0
CMK00109,2024-09-16,1967,Graduation,Divorced,55000.0,0,2,32,704.36,44.09,185.59,54.86,43.4,79.75,2,4,11,7,1,1,0,0,0,0,0
CMK00110,2024-07-23,1980,Graduation,Married,44700.0,1,2,31,245.92,55.5,206.0,30.29,42.35,82.66,3,1,7,8,0,0,0,0,1,0,0
CMK00111,2024-04-30,1962,Graduation,Together,45600.0,1,1,57,359.8,41.19,200.22,53.39,26.17,58.38,6,5,11,7,0,1,0,0,0,0,0
CMK00112,2023-06-17,1968,Graduation,Married,26400.0,2,0,46,253.37,20.1,232.51,35.87,20.7,45.4,7,0,1,5,0,0,1,0,0,0,0
CMK00113,2024-04-29,1971,PhD,Married,36500.0,0,0,76,402.91,33.18,108.58,47.02,7.19,62.92,3,2,7,6,0,1,0,0,0,0,0
CMK00114,2023-08-04,1952,Graduation,Together,33000.0,1,1,90,194.0,42.37,165.06,32.3,23.74,24.65,5,2,2,9,0,0,0,1,1,0,0
CMK00115,2023-10-12,1980,Graduation,Together,19700.0,0,0,44,374.87,34.27,254.77,30.7,23.07,28.94,2,3,3,4,0,0,0,1,0,0,0
CMK00116,2022-09-08,1966,Graduation,Single,41200.0,0,1,50,279.5,34.5,146.7,46.96,39.65,52.06,1,3,7,4,0,0,0,0,0,0,0
CMK00117,2023-08-25,1958,Graduation,Together,69300.0,0,0,19,556.15,80.16,351.08,89.58,66.96,93.97,0,6,12,4,0,0,0,0,0,0,0
CMK00118,2022-10-01,1968,PhD,Single,23000.0,0,0,39,233.34,31.09,60.29,48.56,24.88,40.33,3,0,2,3,0,0,1,0,0,0,0
CMK00119,2024-10-06,1970,Graduation,Together,68100.0,0,0,66,309.08,70.68,179.11,54.2,22.91,86.62,3,8,3,4,0,0,0,0,0,0,0
CMK00120,2022-11-23,1976,Graduation,Married,52800.0,0,0,39,467.89,79.73,163.73,55.68,56.42,82.04,5,6,7,8,0,1,0,1,0,0,0
CMK00121,2022-11-12,1978,Graduation,Married,18600.0,0,2,99,123.9,26.69,139.8,41.16,23.35,24.21,2,3,0,5,0,0,0,0,0,0,0
CMK00122,2024-08-09,1992,PhD,Single,35500.0,1,2,48,361.65,32.99,274.29,33.87,26.16,52.89,2,3,5,6,0,0,1,0,0,0,0
CMK00123,2022-09-07,1970,Master,Together,25900.0,0,0,27,380.69,54.52,268.67,50.41,30.44,52.46,4,0,1,4,0,0,0,1,0,0,0
CMK00124,2022-09-15,1963,Graduation,Together,32400.0,0,1,24,269.88,20.81,153.15,31.57,39.6,27.16,10,1,5,5,1,1,0,0,1,0,0
CMK00125,2023-03-28,1961,Graduation,Together,37300.0,2,1,9,209.2,24.87,187.14,37.31,16.6,33.82,9,2,3,4,0,1,0,1,0,0,1
CMK00126,2023-01-20,1959,Master,Divorced,23500.0,2,0,27,153.8,26.49,146.14,24.51,28.45,25.67,4,0,6,6,0,0,0,0,0,0,0
CMK00127,2023-07-05,1991,Graduation,Married,132300.0,1,0,37,376.87,75.26,393.95,87.06,34.92,87.97,1,7,3,6,0,1,1,0,0,0,1
CMK00128,2024-08-22,1961,PhD,Married,121900.0,2,1,65,581.37,103.95,322.87,67.7,69.67,129.59,4,5,12,3,0,1,1,1,0,0,0
CMK00129,2022-08-02,1983,Graduation,Widow,88000.0,1,2,69,693.49,84.42,219.71,65.8,58.03,77.84,3,3,4,3,1,0,1,0,0,0,0
CMK00130,2022-12-16,1977,PhD,Together,,0,1,90,262.57,37.95,107.29,57.94,37.05,49.25,1,3,0,7,0,0,0,1,0,0,0
CMK00131,2024-05-28,1964,Master,Single,35800.0,1,1,16,413.42,46.32,179.85,38.02,32.53,60.34,5,5,5,7,0,0,1,1,1,0,0
CMK00132,2023-06-05,1961,Graduation,Married,44300.0,0,1,45,229.77,37.8,220.77,21.28,34.64,52.97,1,0,3,7,0,0,0,0,0,0,0
CMK00133,2024-02-27,1982,Graduation,Divorced,40000.0,0,2,73,208.79,17.46,102.3,32.09,24.85,22.72,7,1,5,4,0,0,0,0,1,0,0
CMK00134,2024-04-24,1995,Master,Divorced,26900.0,2,1,85,268.56,37.84,126.64,25.26,32.84,46.68,1,1,5,1,0,0,0,0,0,0,0
CMK00135,2023-07-03,1974,Graduation,Together,51800.0,0,1,82,373.61,24.59,347.67,49.31,43.01,42.43,1,2,11,5,0,0,0,1,0,0,0
CMK00136,2024-06-16,1998,PhD,Widow,30000.0,2,1,57,193.64,40.52,225.9,55.93,28.27,32.05,2,3,4,3,0,0,0,0,0,0,0
CMK00137,2024-09-01,2000,Graduation,Married,17200.0,0,0,59,230.91,22.83,73.41,17.25,9.16,34.12,7,1,6,5,1,0,0,0,0,0,0
CMK00138,2022-08-10,1962,Graduation,Widow,29500.0,0,0,70,195.4,33.02,74.1,40.54,23.03,36.0,3,3,7,6,0,0,0,0,0,0,0
CMK00139,2023-01-21,1998,Graduation,Married,20600.0,1,0,71,270.19,83.7,141.07,51.26,41.58,76.98,2,4,3,5,0,0,1,0,0,0,0
CMK00140,2024-09-06,1970,Graduation,Together,23100.0,2,0,40,217.52,63.24,275.08,32.82,37.99,24.92,4,2,6,0,0,1,0,0,1,0,0
CMK00141,2023-08-05,1982,Master,Widow,42500.0,1,1,85,243.8,26.25,162.43,58.06,39.37,46.15,3,2,7,6,0,0,1,0,1,0,0
CMK00142,2023-12-03,1984,Graduation,Married,96100.0,2,2,44,494.6,78.32,160.94,62.39,78.95,63.84,4,3,6,8,0,0,0,0,1,0,0
CMK00143,2024-06-15,1972,Master,Together,40600.0,0,1,2,265.61,39.16,211.82,52.23,29.44,30.1,3,3,6,7,0,1,0,0,0,0,0
CMK00144,2023-10-23,1971,Master,Together,37300.0,0,1,94,224.95,12.36,258.91,34.28,6.73,33.23,3,2,7,5,0,0,0,0,0,0,0
CMK00145,2024-05-04,1998,PhD,Married,51100.0,0,0,81,378.48,33.64,167.28,27.23,33.67,52.47,7,1,11,7,0,0,1,1,1,0,0
CMK00146,2022-10-13,1974,PhD,Married,80000.0,1,1,30,666.29,64.3,298.54,58.23,68.6,84.85,3,4,9,7,0,0,0,0,0,0,1
CMK00147,2024-05-06,1959,Graduation,Married,28800.0,0,1,42,168.26,23.46,112.99,35.19,26.49,47.75,1,2,2,5,0,0,0,0,0,0,0
CMK00148,2023-02-03,1982,Graduation,Together,97700.0,1,0,14,858.94,87.01,313.65,74.4,40.51,82.06,5,8,6,8,1,1,1,1,0,0,0
CMK00149,2024-02-20,1967,PhD,Together,91500.0,1,1,59,677.96,63.33,212.91,83.14,62.38,81.93,9,2,4,7,1,1,1,1,0,0,0
CMK00150,2023-06-20,1990,Master,Together,35400.0,0,0,10,302.15,27.72,175.06,24.07,36.32,61.33,2,2,1,3,1,0,0,0,0,0,0
CMK00151,2024-08-21,1969,Graduation,Divorced,38500.0,1,1,81,263.9,21.1,110.74,20.58,37.48,53.32,0,1,4,9,0,0,0,0,0,0,1
CMK00152,2022-09-02,1989,Graduation,Widow,49900.0,0,0,1,463.0,84.85,307.29,58.6,47.25,81.77,3,5,6,9,1,0,1,0,0,0,0
CMK00153,2023-07-07,1980,Graduation,Together,40400.0,0,0,91,341.76,36.37,232.42,35.25,23.23,80.91,7,3,4,8,0,0,1,0,0,0,0
CMK00154,2023-04-18,1981,Master,Married,17500.0,0,0,17,250.05,23.34,149.28,51.0,36.49,54.79,1,3,7,2,0,0,0,0,0,0,0
CMK00155,2022-07-31,2000,Basic,Divorced,80400.0,1,1,50,662.41,79.77,292.63,84.86,36.31,89.35,7,3,7,6,0,0,1,0,1,0,0
CMK00156,2023-12-02,1988,Graduation,Single,35300.0,0,1,77,292.37,44.31,206.34,42.14,18.39,73.55,1,3,5,2,0,0,0,1,0,0,0
CMK00157,2024-10-23,1977,Graduation,Together,55700.0,1,1,37,261.88,51.03,222.88,52.44,24.15,61.15,2,3,5,4,0,0,0,0,0,0,0
CMK00158,2024-09-19,2000,Basic,Divorced,39300.0,0,1,64,296.66,29.0,224.46,55.93,22.64,52.71,7,4,9,4,0,1,0,0,0,0,0
CMK00159,2023-05-07,1979,Graduation,Married,33700.0,0,0,65,245.59,46.47,89.64,59.85,31.07,55.36,11,2,6,9,0,0,0,0,0,0,0
CMK00160,2024-10-18,1976,PhD,Together,43700.0,2,1,4,475.99,29.78,185.27,61.19,26.2,36.81,9,2,5,4,0,0,0,0,1,0,0
CMK00161,2023-07-13,1970,Graduation,Single,35900.0,0,0,71,419.98,36.65,221.1,50.55,34.03,67.33,8,2,7,10,0,0,0,0,0,0,0
CMK00162,2023-03-09,1990,Graduation,Married,34900.0,1,0,64,206.46,35.35,185.78,64.25,47.11,77.77,8,2,3,5,0,0,1,0,1,0,0
CMK00163,2023-06-08,1990,Graduation,Single,70600.0,0,1,84,455.68,63.08,147.5,37.9,38.74,45.23,1,4,6,2,0,0,0,0,0,0,0
CMK00164,2024-07-07,1974,Basic,Divorced,73500.0,1,0,0,331.4,86.09,192.52,101.61,31.39,80.48,5,8,4,9,0,0,1,0,1,0,1
CMK00165,2023-02-06,1956,Graduation,Married,59800.0,0,0,9,541.34,72.52,257.36,84.64,21.45,69.77,3,5,3,4,0,0,0,0,1,0,0
CMK00166,2022-10-28,1987,Graduation,Married,,1,0,90,429.38,40.63,308.45,107.03,51.53,51.99,2,6,9,0,1,0,1,0,1,0,0
CMK00167,2023-06-28,1981,Graduation,Together,44700.0,1,1,99,347.34,70.98,194.92,58.12,42.12,72.03,2,3,4,5,0,0,0,0,0,0,0
CMK00168,2022-11-17,1958,Graduation,Single,40300.0,1,0,52,226.7,37.46,175.06,26.2,27.79,25.98,3,1,4,2,0,0,0,0,0,0,0
CMK00169,2022-07-28,1986,PhD,Married,66500.0,1,0,81,516.07,34.78,334.91,54.52,56.45,75.86,7,3,5,4,0,0,0,1,0,0,0
CMK00170,2023-01-28,1974,Graduation,Single,21200.0,2,0,9,135.96,38.57,95.61,32.18,14.86,30.61,1,2,2,1,0,0,0,1,0,0,0
