machine_type,air_temp_k,process_temp_k,rot_speed_rpm,torque_nm,tool_wear_min,failure
H,293.68,303.17,1433.0,51.02,175.3,0
H,294.73,306.6,1522.0,36.73,31.5,0
L,296.81,305.28,1411.0,50.63,195.9,1
L,299.57,309.77,1369.0,47.75,71.4,0
H,298.34,309.29,1618.0,22.62,38.3,1
L,299.56,308.51,1871.0,37.86,209.2,1
L,299.61,308.84,1499.0,49.77,202.9,0
L,298.11,308.36,1712.0,59.3,77.5,1
H,297.94,307.03,1427.0,48.92,218.9,1
L,299.26,309.55,1556.0,47.46,101.6,0
L,296.92,307.15,1553.0,33.7,63.3,0
L,295.21,305.48,1504.0,40.16,227.9,0
L,299.78,308.36,1367.0,48.34,48.6,0
M,297.65,307.47,1584.0,41.75,249.9,1
M,295.25,305.97,1439.0,30.75,188.5,0
M,297.13,305.89,1586.0,50.08,97.6,0
L,298.69,307.01,1484.0,31.84,17.5,0
L,298.57,308.33,1561.0,37.23,145.8,0
L,298.67,307.29,1739.0,66.12,85.5,1
L,296.41,308.98,1590.0,44.74,107.2,1
H,297.58,308.39,1576.0,41.8,213.3,1
L,297.94,307.09,1714.0,39.23,41.2,1
M,296.45,306.71,1527.0,38.05,116.5,0
L,295.71,307.19,1609.0,31.69,192.7,1
L,296.66,305.96,1350.0,38.11,247.8,1
L,300.86,311.06,1632.0,40.06,219.4,1
M,299.39,308.51,1628.0,27.45,178.0,0
L,295.71,306.5,1415.0,43.55,210.4,1
M,294.56,304.49,1316.0,35.94,4.8,0
M,297.41,307.33,1287.0,20.14,132.2,0
H,297.77,308.1,1445.0,31.31,28.4,0
L,297.58,306.84,1297.0,34.08,151.0,1
M,296.57,306.53,1540.0,39.45,108.0,0
M,297.22,307.6,1272.0,43.4,63.9,1
H,296.31,304.16,1467.0,32.54,103.4,0
M,295.96,303.88,1367.0,33.46,135.1,0
L,297.3,308.05,1361.0,45.73,118.1,0
H,298.08,309.05,1601.0,44.31,50.3,0
L,298.73,308.2,1388.0,41.88,42.6,1
M,297.69,306.23,1585.0,49.35,153.3,0
L,299.18,308.55,1286.0,56.13,222.8,1
M,296.39,307.44,1395.0,33.98,192.9,1
L,298.01,309.1,1366.0,50.77,35.7,0
L,299.43,311.92,1576.0,39.61,241.8,0
H,300.14,308.87,1426.0,33.43,222.5,1
M,302.42,313.12,1582.0,33.35,180.6,0
L,297.83,308.84,1258.0,25.84,136.2,0
L,300.06,309.68,1380.0,52.07,48.4,1
H,294.89,304.99,1279.0,30.05,111.1,1
M,300.79,309.54,1728.0,41.98,88.0,0
L,299.66,309.83,1617.0,36.2,97.1,0
L,299.07,308.14,1402.0,50.3,97.6,0
L,301.27,311.99,1564.0,42.54,234.6,1
H,298.15,307.26,1451.0,48.99,107.6,0
M,298.28,307.26,1378.0,60.86,56.5,1
H,301.27,311.52,1245.0,41.77,142.7,1
M,293.36,304.75,1598.0,40.94,230.7,1
M,297.06,309.76,1476.0,38.52,171.5,0
L,296.08,307.92,1328.0,36.28,201.1,1
M,300.46,310.78,1245.0,45.81,171.5,1
L,296.82,308.16,1464.0,41.56,218.4,0
H,298.18,306.92,1631.0,56.04,153.6,1
L,298.03,307.64,1633.0,40.63,73.2,0
L,292.98,303.29,1300.0,48.62,171.0,0
H,298.01,308.16,1737.0,51.08,165.2,0
L,300.37,310.44,1691.0,50.42,50.0,0
L,298.39,307.52,1299.0,36.62,13.4,0
H,296.98,307.94,1460.0,12.21,39.4,0
L,297.3,305.57,1500.0,41.31,43.1,0
L,298.33,309.74,1392.0,51.84,223.0,1
L,298.88,309.23,1500.0,25.71,73.1,0
M,298.95,310.27,1257.0,46.91,6.5,0
L,299.52,310.47,1542.0,56.97,48.6,1
M,297.59,307.56,1390.0,45.98,238.2,1
H,296.62,307.53,1492.0,18.63,158.4,1
H,298.27,308.44,1682.0,45.16,162.2,1
L,295.96,307.25,1623.0,49.5,31.3,0
L,296.63,307.76,1415.0,36.31,181.2,1
H,298.13,307.69,1584.0,37.44,187.5,1
M,297.0,307.87,1653.0,51.51,131.3,1
M,294.27,303.85,1455.0,39.2,10.9,1
M,296.11,305.48,1270.0,47.59,36.3,1
H,300.66,309.26,1560.0,45.99,241.3,1
M,296.46,306.42,1531.0,39.13,6.0,0
M,296.57,305.43,1610.0,39.26,96.8,0
M,294.82,306.51,1425.0,26.0,183.9,0
L,298.35,308.17,1204.0,27.73,137.6,0
H,297.55,307.29,1289.0,17.13,67.3,1
L,298.02,306.96,1727.0,31.52,74.1,0
L,299.44,308.16,1385.0,50.84,152.2,0
L,298.68,309.97,1382.0,42.97,201.7,0
H,298.3,306.48,1127.0,43.73,42.3,1
H,298.88,308.74,1376.0,36.63,218.7,0
L,295.38,305.31,1508.0,15.29,243.2,1
H,296.13,305.98,1385.0,36.65,66.8,0
M,296.09,307.61,1557.0,32.84,161.3,0
L,297.7,305.82,1380.0,49.21,183.7,0
H,300.17,309.47,1613.0,41.1,126.4,0
L,297.29,306.71,1566.0,34.47,208.7,1
L,297.63,308.0,1415.0,48.14,180.6,0
H,296.5,306.92,1479.0,25.96,239.3,0
L,294.42,306.86,1400.0,35.65,141.9,0
M,297.08,308.58,1560.0,59.98,1.6,1
L,298.4,306.79,1172.0,46.47,46.1,1
H,296.33,307.02,1367.0,45.96,187.6,0
L,297.2,306.87,1354.0,48.21,131.6,0
L,300.7,309.47,1577.0,21.98,233.0,0
H,298.47,308.37,1417.0,38.18,195.6,1
L,295.87,304.97,1495.0,55.5,184.0,1
L,294.56,304.74,1638.0,47.76,122.6,1
M,302.46,313.34,1737.0,36.14,149.8,1
L,298.66,308.97,1655.0,45.69,107.7,0
L,294.12,303.75,1446.0,28.73,121.3,0
M,296.59,305.12,1696.0,31.8,184.5,0
L,300.34,311.55,1591.0,48.66,170.5,0
H,296.76,305.86,1617.0,36.97,34.1,1
L,297.55,308.44,1287.0,50.32,86.7,0
H,298.16,309.23,1509.0,38.54,211.5,0
H,299.73,310.02,1583.0,40.61,145.3,0
H,292.19,303.12,1531.0,44.8,12.2,0
H,299.14,309.39,1640.0,54.28,83.3,1
L,296.63,305.97,1467.0,32.46,58.8,0
L,295.52,305.74,1515.0,46.48,156.8,0
M,298.32,307.81,1322.0,35.79,13.8,0
L,297.15,305.85,1543.0,54.37,44.2,1
L,298.12,307.18,1594.0,48.05,198.9,1
M,301.05,312.56,1451.0,39.04,181.5,1
L,296.18,306.86,1627.0,46.29,148.9,0
L,295.63,305.19,1592.0,34.08,11.4,0
L,296.66,305.24,1594.0,43.08,223.0,0
M,297.34,307.95,1506.0,36.73,79.2,0
M,297.93,307.47,1369.0,37.38,23.9,0
L,298.76,308.3,1498.0,34.08,185.3,0
L,296.71,307.93,1236.0,34.69,99.4,0
M,297.23,307.37,1644.0,40.74,199.8,0
L,294.91,303.48,1563.0,31.42,27.5,0
H,299.35,309.68,1650.0,25.73,212.0,1
L,298.92,308.52,1637.0,38.36,116.9,0
M,297.37,308.3,1875.0,48.57,199.8,1
M,293.61,300.97,1615.0,41.05,155.6,0
L,296.34,308.93,1590.0,30.09,162.8,1
L,296.54,307.13,1505.0,38.51,40.0,0
H,301.49,311.18,1573.0,47.04,73.8,1
L,300.47,311.41,1612.0,30.81,32.8,0
H,297.87,307.01,1437.0,40.35,142.3,0
L,299.96,308.29,1675.0,43.99,199.1,0
L,293.65,303.45,1328.0,25.24,98.2,0
L,301.63,310.7,1361.0,35.42,126.1,0
M,298.1,308.03,1430.0,43.49,224.3,0
M,296.83,307.51,1462.0,58.23,122.0,0
L,295.16,303.81,1418.0,44.79,234.5,0
H,295.18,305.98,1405.0,38.53,154.3,0
L,293.15,302.43,1481.0,39.89,20.1,0
L,300.93,311.52,1663.0,48.35,151.8,0
L,299.58,309.07,1290.0,27.2,29.3,0
M,297.0,306.49,1355.0,71.95,127.3,1
L,294.71,304.21,1670.0,34.59,51.1,0
H,296.87,307.38,1486.0,52.94,36.0,0
L,300.53,309.86,1649.0,30.31,14.7,1
L,302.69,311.55,1614.0,34.9,122.4,0
L,296.49,305.46,1462.0,26.71,209.2,0
L,297.88,307.01,1626.0,34.81,36.5,1
L,295.02,305.43,1353.0,46.8,145.2,0
H,298.58,307.73,1394.0,38.83,213.2,0
L,297.97,305.21,1602.0,28.53,219.3,0
H,297.5,308.02,1512.0,45.24,83.9,0
M,296.81,307.16,1560.0,38.06,242.9,1
L,296.97,307.34,1651.0,26.0,6.6,0
M,298.09,308.32,1658.0,39.72,158.5,0
M,300.19,309.42,1435.0,36.66,11.1,0
M,296.02,308.07,1326.0,35.09,66.1,0
L,298.02,307.93,1581.0,36.03,64.4,1
L,300.33,310.62,1341.0,56.92,66.4,0
L,299.39,310.59,1573.0,25.74,231.4,1
L,295.89,306.49,1454.0,36.82,236.5,1
M,297.58,307.44,1618.0,37.87,234.4,1
H,294.84,306.36,1729.0,45.35,80.7,0
M,300.05,308.29,1652.0,43.53,145.4,1
L,297.35,307.13,1337.0,32.01,29.5,0
M,294.1,305.53,1743.0,22.55,19.6,1
L,300.38,312.24,1590.0,20.5,145.8,0
H,299.16,309.19,1606.0,29.38,67.0,0
L,297.43,306.62,1472.0,53.81,84.4,0
M,297.45,306.42,1513.0,37.79,181.6,0
H,297.77,308.0,1549.0,67.67,242.3,1
L,297.72,308.17,1441.0,9.15,80.0,0
L,298.35,308.43,1584.0,44.46,104.7,0
M,298.25,308.78,1244.0,58.66,73.7,1
M,298.77,308.85,1329.0,21.0,225.8,1
L,295.69,304.71,1416.0,33.92,240.4,0
M,297.61,307.2,1402.0,24.33,136.4,0
H,297.14,306.98,1438.0,36.54,63.1,0
L,301.41,312.69,1250.0,54.13,81.9,1
M,296.57,306.08,1699.0,35.61,243.5,1
L,298.11,308.99,1679.0,63.02,160.3,1
H,296.78,307.32,1380.0,32.87,185.7,1
L,296.44,306.61,1555.0,39.93,24.3,0
L,298.63,308.65,1523.0,33.41,52.8,0
M,300.03,310.59,1522.0,48.35,117.8,0
L,299.96,308.82,1657.0,51.61,114.5,1
L,292.58,301.82,1628.0,51.3,170.6,1
L,301.63,311.41,1793.0,35.87,90.9,0
H,299.43,308.81,1663.0,42.45,239.7,1
L,298.73,308.63,1542.0,44.56,68.0,0
M,300.52,309.77,1540.0,59.1,36.6,1
L,299.24,310.28,1659.0,18.22,79.1,0
M,299.48,309.27,1369.0,56.41,186.2,1
H,299.62,309.94,1870.0,55.07,216.4,1
H,300.42,309.31,1729.0,46.01,204.0,1
L,300.01,310.92,1698.0,47.2,220.3,1
L,297.95,307.05,1537.0,41.31,202.9,0
M,299.55,309.9,1348.0,54.82,44.5,1
M,297.65,309.17,1527.0,36.3,58.4,0
L,298.74,309.33,1730.0,14.46,200.5,1
L,301.11,310.15,1200.0,23.86,192.4,1
L,298.4,308.01,1544.0,28.28,29.0,0
H,301.99,311.75,1645.0,42.43,70.9,1
H,297.89,308.55,1670.0,40.16,1.6,0
L,299.35,306.45,1602.0,22.68,153.4,0
M,297.85,306.73,1301.0,47.14,114.3,1
M,296.93,306.86,1401.0,67.82,95.1,1
M,297.67,307.82,1624.0,58.39,153.1,0
L,296.4,306.84,1291.0,46.43,134.2,1
L,298.41,307.57,1535.0,55.29,136.2,0
L,300.52,309.74,1710.0,44.69,95.3,0
M,301.12,310.8,1741.0,44.17,188.4,1
L,296.57,307.47,1371.0,37.55,106.6,0
L,300.41,309.67,1677.0,34.08,241.0,1
M,297.79,308.13,1394.0,26.71,8.6,0
H,300.19,310.53,1370.0,40.07,62.4,0
L,295.83,303.97,1244.0,47.8,132.7,0
H,298.89,308.29,1524.0,17.7,196.3,0
L,297.1,307.38,1421.0,44.73,191.4,0
L,301.03,310.69,1118.0,41.85,16.8,1
L,294.93,303.73,1570.0,31.97,245.1,1
L,298.54,310.43,1622.0,50.92,130.9,0
L,300.91,310.82,1461.0,43.55,83.4,0
L,298.49,309.31,1545.0,42.14,202.0,1
M,299.33,310.24,1603.0,42.85,171.0,0
L,299.94,309.73,1353.0,56.48,151.3,0
M,298.24,308.86,1414.0,41.83,116.2,0
L,296.05,306.45,1528.0,21.71,45.4,0
H,296.74,307.39,1515.0,45.93,195.6,0
L,296.58,306.62,1152.0,26.04,107.6,1
M,300.12,310.29,1384.0,45.33,171.8,0
L,302.11,311.68,1608.0,56.04,56.7,0
L,298.13,309.46,1436.0,39.87,59.3,0
L,298.31,309.45,1382.0,23.09,18.9,0
L,296.79,304.7,1489.0,47.07,111.2,0
L,299.5,309.88,1547.0,53.44,25.7,1
H,296.98,308.04,1553.0,42.82,121.5,0
L,298.23,307.95,1641.0,27.62,182.8,0
M,298.67,308.5,1516.0,42.94,43.6,0
L,295.27,305.99,1540.0,47.47,181.1,0
L,300.75,310.12,1450.0,51.41,141.1,0
H,298.26,308.17,1327.0,35.18,71.5,0
M,300.61,311.34,1484.0,35.32,220.8,1
L,299.0,308.94,1492.0,40.01,192.9,0
L,298.61,306.61,1391.0,50.54,87.3,0
L,295.84,306.01,1720.0,43.15,116.7,0
L,299.2,308.99,1371.0,24.83,112.7,1
L,298.0,307.69,1331.0,44.33,114.4,0
L,301.0,310.01,1616.0,55.72,12.1,0
L,300.74,309.73,1285.0,31.07,212.6,0
M,303.03,311.07,1624.0,50.4,70.0,1
M,295.46,303.68,1294.0,38.13,23.4,0
M,296.86,307.2,1315.0,41.66,228.6,1
M,300.49,309.07,1668.0,21.11,60.4,0
L,295.23,305.5,1653.0,37.67,176.9,0
M,300.79,311.56,1496.0,22.82,221.0,1
L,299.68,310.66,1339.0,36.22,127.5,0
L,298.6,308.48,1597.0,43.93,18.5,1
M,297.81,307.19,1336.0,19.71,237.5,1
H,295.43,306.5,1438.0,35.33,201.2,0
L,297.48,307.76,1466.0,30.96,195.7,0
L,298.83,307.9,1482.0,29.05,5.5,0
H,298.51,307.43,1555.0,35.91,174.5,0
L,299.38,311.25,1857.0,36.91,144.3,1
L,297.26,307.27,1490.0,44.12,213.5,0
M,298.53,307.57,1392.0,41.58,141.3,0
M,295.27,303.74,1530.0,44.81,248.2,1
L,296.32,307.53,1402.0,35.71,118.9,0
L,299.37,310.58,1571.0,26.91,178.8,0
M,298.71,310.18,1585.0,27.76,120.8,0
H,297.86,307.84,1603.0,33.56,163.9,0
M,296.2,304.78,1570.0,33.91,56.1,0
L,296.36,308.71,1564.0,48.56,67.3,0
H,299.15,310.65,1451.0,37.36,47.6,0
H,297.67,307.59,1537.0,31.04,154.0,1
L,300.24,310.3,1288.0,38.37,236.9,1
H,298.72,308.19,1586.0,32.99,134.9,0
M,296.83,307.77,1184.0,48.35,55.7,0
M,295.67,306.05,1451.0,33.03,220.0,1
M,298.9,309.35,1022.0,41.37,114.2,1
M,299.1,310.41,1450.0,38.03,218.3,0
L,295.99,305.99,1673.0,38.87,39.1,1
M,299.54,309.22,1482.0,25.08,131.2,0
L,299.88,310.32,1537.0,23.23,111.5,0
L,296.58,306.91,1386.0,40.87,171.5,0
L,298.38,308.84,1472.0,28.52,77.7,0
M,299.25,309.57,1705.0,31.8,246.4,1
M,301.21,311.51,1786.0,45.2,104.7,1
L,297.33,306.9,1311.0,37.1,63.5,0
M,298.08,306.51,1217.0,36.83,243.7,0
L,297.86,307.83,1365.0,46.27,19.8,0
H,296.37,306.66,1711.0,47.33,128.5,1
L,297.8,307.81,1434.0,18.3,180.6,0
L,297.22,306.5,1494.0,40.7,31.9,0
L,297.1,306.18,1466.0,29.45,63.2,0
H,298.22,308.37,1346.0,49.86,217.2,1
L,298.37,309.37,1350.0,27.93,40.5,0
H,300.01,310.2,1255.0,41.63,47.0,0
L,294.22,303.51,1630.0,21.99,32.8,0
L,296.75,307.17,1290.0,24.32,243.5,1
M,296.93,308.38,1517.0,39.8,49.5,1
L,298.42,306.9,1639.0,45.28,64.6,0
L,299.03,308.98,1449.0,50.03,219.1,0
L,295.9,306.03,1778.0,38.13,77.0,0
H,299.63,309.07,1394.0,57.92,52.7,0
L,300.56,310.86,1171.0,45.53,43.6,0
L,298.43,308.63,1503.0,49.78,4.7,1
L,302.36,311.15,1685.0,30.5,32.5,1
M,300.37,309.94,1665.0,41.42,85.1,0
M,299.61,309.85,1425.0,36.59,92.6,0
L,300.74,313.32,1432.0,42.04,121.9,0
L,294.39,305.01,1483.0,39.37,20.1,0
H,294.55,306.66,1411.0,27.67,137.6,0
L,298.02,307.17,1389.0,37.33,239.3,1
M,300.03,308.54,1553.0,50.51,208.5,0
L,301.9,312.29,1508.0,39.76,0.2,0
L,299.88,306.32,1445.0,47.69,217.4,1
L,298.32,308.4,1412.0,31.19,49.6,0
M,297.9,305.82,1483.0,42.64,86.3,0
H,298.59,310.98,977.0,50.92,75.5,1
M,299.82,309.2,1470.0,38.81,234.0,1
H,300.12,310.8,1221.0,24.12,59.4,0
H,293.79,303.33,1427.0,35.34,50.6,0
M,300.0,310.26,1462.0,32.95,12.8,0
M,296.07,306.46,1493.0,34.71,133.1,0
M,298.09,308.59,1350.0,31.63,203.0,1
M,298.8,310.65,1550.0,48.51,69.4,1
L,298.79,309.9,1776.0,39.9,82.5,1
M,299.44,307.85,1593.0,41.67,31.9,0
M,299.31,309.64,1490.0,28.76,112.9,0
L,295.69,305.09,1311.0,32.91,106.6,0
M,295.74,306.39,1568.0,43.89,92.8,0
M,298.56,310.36,1807.0,32.88,233.9,1
L,296.17,306.29,1669.0,39.53,11.1,0
H,296.71,306.8,1386.0,47.13,210.4,0
M,297.83,308.34,1672.0,54.44,244.2,1
H,295.97,305.02,1449.0,29.73,63.6,0
M,294.7,304.95,1540.0,55.02,172.0,0
H,299.71,309.85,1717.0,39.68,145.9,0
L,296.25,306.54,1259.0,39.3,152.5,0
M,298.31,308.23,1598.0,43.06,18.9,0
M,298.0,306.73,1616.0,46.88,122.9,0
H,301.22,309.8,1699.0,41.39,154.2,1
L,298.89,307.59,1392.0,29.35,182.6,0
M,292.91,301.34,1474.0,41.69,145.9,0
L,298.61,308.63,1790.0,57.07,27.2,0
L,296.16,303.45,1337.0,30.67,25.0,1
L,300.28,308.6,1364.0,51.76,47.2,1
M,294.69,305.03,1262.0,32.03,91.3,1
H,297.21,306.69,1671.0,45.58,155.9,1
L,294.65,307.15,1512.0,52.44,157.7,0
M,298.46,309.93,1533.0,39.72,37.2,0
L,295.69,306.14,1508.0,37.45,77.4,0
L,298.47,308.47,1278.0,56.74,108.3,0
L,299.03,310.03,1545.0,30.06,151.8,0
M,293.91,303.88,1342.0,47.99,83.0,0
L,300.06,310.63,1485.0,29.45,39.2,0
L,298.34,307.69,1526.0,39.82,135.4,0
L,296.26,304.75,1450.0,50.62,145.5,0
L,297.18,306.84,1737.0,39.93,83.9,1
H,296.78,307.81,1912.0,36.04,121.5,1
L,299.2,308.14,1554.0,40.65,136.6,0
M,295.43,306.16,1239.0,22.03,237.8,1
H,296.32,306.36,1719.0,21.63,218.3,1
L,298.19,308.2,1342.0,40.88,138.9,0
L,299.53,309.83,1830.0,27.85,200.3,1
L,300.32,309.94,1532.0,39.57,123.2,0
M,296.93,305.97,1374.0,40.42,134.6,1
L,302.0,312.91,1454.0,61.38,66.6,0
M,298.95,308.68,1385.0,33.37,105.9,0
L,296.48,306.36,1623.0,23.9,239.5,1
L,295.28,304.38,1310.0,21.79,179.7,1
L,292.49,303.43,1407.0,44.66,52.4,0
L,299.05,309.01,1490.0,52.17,17.6,1
H,296.84,306.4,1797.0,19.55,58.9,0
L,298.19,309.24,1649.0,29.4,56.7,0
H,298.86,308.31,1058.0,52.9,193.0,1
L,299.62,308.15,1585.0,40.25,145.5,0
H,296.28,307.69,1405.0,39.85,246.8,0
L,298.93,308.37,1525.0,24.67,154.0,1
L,297.84,306.23,1611.0,39.83,171.6,0
M,295.69,305.42,1567.0,55.06,175.9,0
M,296.48,306.17,1433.0,45.0,212.2,0
M,300.2,309.79,1387.0,45.87,57.8,0
M,297.31,307.6,1690.0,54.65,176.9,0
M,302.63,311.1,1270.0,33.91,125.9,0
L,294.28,304.52,1921.0,36.81,247.0,1
L,302.1,311.74,1540.0,45.64,205.5,0
L,296.57,305.98,1643.0,39.44,85.7,0
L,296.8,307.68,1413.0,38.99,16.3,1
L,299.39,309.61,1279.0,43.96,237.1,0
L,297.0,306.93,1364.0,49.36,201.0,0
H,298.73,309.42,1405.0,37.32,165.7,1
L,297.13,307.47,1434.0,35.8,24.4,0
L,296.5,306.63,1606.0,48.7,164.1,0
L,297.3,305.68,1374.0,27.2,125.3,0
M,295.89,304.86,1475.0,36.42,186.6,0
M,297.6,307.61,1366.0,41.31,18.1,0
M,299.72,310.36,1539.0,31.76,20.9,0
M,296.98,306.63,1341.0,44.55,209.0,1
M,301.64,311.03,1531.0,42.99,80.9,0
M,296.78,307.27,1590.0,45.03,101.6,1
L,299.56,308.55,1204.0,27.09,143.2,1
H,297.85,308.73,1154.0,50.96,100.3,1
L,299.28,308.97,1266.0,41.78,10.8,0
L,302.2,312.44,1538.0,21.78,136.6,0
H,296.67,307.68,1517.0,34.67,18.3,0
L,297.11,307.73,1462.0,14.51,26.4,0
L,296.29,305.86,1506.0,52.81,79.8,0
H,300.89,309.88,1571.0,35.38,102.5,0
H,299.0,308.01,1378.0,43.68,25.0,0
M,299.15,308.6,1609.0,30.66,245.5,1
L,294.71,304.13,1402.0,46.67,99.7,0
M,298.32,309.46,1465.0,37.39,86.9,0
M,295.65,303.37,1389.0,22.19,0.8,0
L,296.75,306.78,1409.0,31.57,101.6,0
L,296.81,306.38,1508.0,35.96,133.6,1
L,299.39,308.76,1628.0,41.57,194.4,0
L,297.43,307.24,1446.0,45.33,161.2,0
L,296.11,306.09,1522.0,35.86,13.4,0
L,299.93,309.53,1513.0,38.86,208.2,1
L,299.74,310.38,1184.0,46.91,37.7,1
L,297.56,306.99,1301.0,39.21,78.7,0
M,297.5,306.85,1393.0,43.64,111.4,0
M,300.81,311.31,1635.0,40.86,225.5,1
L,297.35,307.44,1544.0,48.97,4.6,0
H,297.81,307.84,1532.0,46.46,196.9,0
H,299.28,308.63,1521.0,62.86,22.1,0
H,299.88,309.95,1526.0,45.3,155.6,0
L,298.09,308.01,1308.0,33.12,172.3,0
L,297.17,307.04,1267.0,52.18,28.9,1
L,291.86,300.94,1480.0,38.08,28.4,0
L,298.58,307.15,1533.0,54.32,90.1,0
L,299.94,309.15,1687.0,33.96,202.4,1
H,296.31,306.42,1584.0,39.19,178.5,0
L,300.18,310.47,1379.0,43.89,160.0,0
M,298.11,308.55,1606.0,32.36,197.3,0
M,296.93,307.28,1672.0,57.15,223.1,1
M,299.42,309.51,1693.0,41.38,145.8,0
M,294.0,302.83,1514.0,55.98,204.7,1
H,300.22,309.62,1500.0,56.43,61.6,0
L,300.42,310.4,1443.0,63.96,169.6,1
H,299.79,311.61,1709.0,35.5,99.8,0
M,300.29,308.69,1474.0,33.85,61.2,1
L,294.26,303.69,1781.0,54.01,64.1,0
M,295.66,303.69,1208.0,43.52,102.8,1
L,299.95,311.71,1608.0,35.48,66.0,0
L,300.02,309.14,1440.0,25.7,15.4,0
