inspection_id,asset_id,inspection_date,inspector,result,health_score,duration_min,cost_inr
I000086,A0005,2022-05-14,L. Dsouza,fail,71.8,33,7100
I000087,A0005,2022-06-27,P. Singh,fail,63.2,22,4989
I000088,A0005,2022-07-28,L. Dsouza,fail,51.1,58,2565
I000089,A0005,2023-01-18,M. Iyer,pass,86.6,19,2710
I000090,A0005,2023-04-16,L. Dsouza,pass,87.3,33,5000
I000091,A0005,2023-07-17,E. Rao,fail,64.9,27,4188
I000092,A0005,2023-09-03,L. Dsouza,fail,51.8,35,2694
I000093,A0005,2023-09-15,P. Singh,pass,90.0,13,718
I000094,A0005,2023-10-08,M. Iyer,pass,86.2,46,11879
I000095,A0005,2023-10-21,M. Iyer,pass,88.6,51,9125
I000096,A0005,2023-11-13,L. Dsouza,pass,75.4,22,4105
I000097,A0005,2024-02-08,M. Iyer,pass,73.6,37,4767
I000098,A0005,2024-03-06,P. Singh,pass,86.4,29,3079
I000099,A0006,2022-04-23,M. Iyer,pass,82.8,56,6011
I000100,A0006,2022-07-17,P. Singh,pass,81.0,58,2045
I000101,A0006,2022-12-27,S. Khan,pass,79.0,61,1472
I000102,A0006,2023-04-21,M. Iyer,pass,85.5,31,2460
I000103,A0006,2023-08-18,L. Dsouza,fail,70.7,62,1088
I000104,A0006,2023-12-09,S. Khan,pass,82.1,26,1632
I000105,A0006,2024-01-26,M. Iyer,pass,100.0,66,3546
I000106,A0007,2022-03-31,E. Rao,pass,85.4,49,3791
I000107,A0007,2022-04-09,M. Iyer,pass,83.0,36,3886
I000108,A0007,2022-05-21,M. Iyer,pass,98.0,53,6476
I000109,A0007,2022-05-22,P. Singh,repair,87.8,45,5721
I000110,A0007,2022-06-11,E. Rao,pass,92.2,72,4845
I000111,A0007,2022-06-16,E. Rao,pass,70.6,64,4600
I000112,A0007,2022-07-04,L. Dsouza,pass,94.1,36,487
I000113,A0007,2022-07-23,S. Khan,pass,97.3,38,7198
I000114,A0007,2022-08-04,M. Iyer,pass,80.3,34,4794
I000115,A0007,2022-09-01,L. Dsouza,pass,69.0,38,3150
I000116,A0007,2022-10-06,M. Iyer,pass,90.7,44,2750
I000117,A0007,2022-10-14,P. Singh,repair,89.9,40,7533
I000118,A0007,2022-11-09,S. Khan,pass,91.8,39,909
I000119,A0007,2022-11-18,E. Rao,pass,88.1,45,8169
I000120,A0007,2023-01-24,S. Khan,pass,82.8,54,2412
I000121,A0007,2023-02-28,M. Iyer,repair,80.5,30,3189
I000122,A0007,2023-04-13,M. Iyer,fail,50.2,47,1813
I000123,A0007,2023-05-14,L. Dsouza,repair,90.1,29,14716
I000124,A0007,2023-06-01,P. Singh,pass,84.2,17,1144
I000125,A0007,2023-06-22,M. Iyer,repair,75.8,32,2820
I000126,A0007,2023-07-14,E. Rao,pass,75.8,40,4156
I000127,A0007,2023-07-25,S. Khan,pass,85.8,57,2072
I000128,A0007,2023-07-28,P. Singh,pass,89.6,18,1832
I000129,A0007,2023-08-07,S. Khan,pass,86.0,53,10399
I000130,A0007,2023-09-21,P. Singh,pass,93.2,14,4095
I000131,A0007,2023-10-06,M. Iyer,pass,94.5,52,1916
I000132,A0007,2023-10-30,L. Dsouza,pass,99.7,38,1393
I000133,A0007,2023-11-07,S. Khan,pass,93.1,37,4882
I000134,A0007,2023-11-30,P. Singh,pass,78.6,43,6783
I000135,A0007,2023-12-09,E. Rao,pass,83.1,47,3695
I000136,A0007,2023-12-14,P. Singh,pass,77.8,58,3517
I000137,A0007,2023-12-17,E. Rao,pass,76.4,34,3849
I000138,A0007,2024-01-05,S. Khan,pass,90.8,39,2496
I000139,A0007,2024-01-06,S. Khan,pass,100.0,47,2834
I000140,A0007,2024-03-09,P. Singh,pass,64.7,64,1387
I000141,A0007,2024-03-22,M. Iyer,pass,89.6,54,912
I000142,A0007,2024-03-23,S. Khan,pass,100.0,34,2244
I000143,A0007,2024-04-13,E. Rao,pass,95.5,18,1056
I000144,A0008,2022-02-07,S. Khan,pass,80.2,47,4328
I000145,A0008,2022-02-07,M. Iyer,pass,76.7,43,870
I000146,A0008,2022-03-11,S. Khan,pass,91.4,47,11999
I000147,A0008,2022-04-09,M. Iyer,pass,93.1,42,2825
I000148,A0008,2022-04-29,M. Iyer,pass,79.6,39,3634
I000149,A0008,2022-05-05,E. Rao,pass,87.9,41,688
I000150,A0008,2022-05-21,L. Dsouza,pass,73.7,62,5340
I000151,A0008,2022-05-24,M. Iyer,pass,72.3,62,6575
I000152,A0008,2022-06-03,L. Dsouza,fail,58.5,54,575
I000153,A0008,2022-07-25,S. Khan,fail,72.3,29,2743
I000154,A0008,2022-09-04,S. Khan,pass,82.4,37,5167
I000155,A0008,2022-09-12,P. Singh,pass,79.5,41,2620
I000156,A0008,2022-09-26,S. Khan,repair,91.1,62,1474
I000157,A0008,2023-01-15,E. Rao,pass,97.6,51,4861
I000158,A0008,2023-01-18,S. Khan,pass,86.9,34,9178
I000159,A0008,2023-03-14,P. Singh,pass,72.0,43,12970
I000160,A0008,2023-05-31,S. Khan,pass,98.0,44,4362
I000161,A0008,2023-06-09,P. Singh,pass,83.0,43,4278
I000162,A0008,2023-06-12,S. Khan,repair,77.1,41,7674
I000163,A0008,2023-07-15,M. Iyer,repair,79.9,45,517
I000164,A0008,2023-08-09,E. Rao,pass,81.1,33,3982
I000165,A0008,2023-09-05,S. Khan,pass,84.5,22,5634
I000166,A0008,2023-10-17,S. Khan,pass,89.2,41,1110
I000167,A0008,2023-10-23,P. Singh,pass,81.7,46,6790
I000168,A0008,2023-12-05,S. Khan,pass,90.4,64,3581
I000169,A0008,2024-01-30,M. Iyer,pass,83.5,60,8258
I000170,A0008,2024-03-12,P. Singh,pass,90.0,19,3836
I000171,A0008,2024-03-20,M. Iyer,pass,88.1,79,3039
I000172,A0008,2024-03-28,M. Iyer,repair,87.2,74,638
I000173,A0008,2024-03-29,E. Rao,pass,86.0,49,4822
I000174,A0009,2022-01-01,L. Dsouza,pass,80.6,34,4284
I000175,A0009,2022-01-08,E. Rao,pass,80.1,36,1045
I000176,A0009,2022-02-14,S. Khan,pass,93.3,34,4545
I000177,A0009,2022-03-20,P. Singh,pass,90.9,24,1372
I000178,A0009,2022-04-01,S. Khan,pass,82.6,54,2385
I000179,A0009,2022-04-14,L. Dsouza,pass,76.7,67,2362
I000180,A0009,2022-06-04,E. Rao,pass,95.0,34,4480
I000181,A0009,2022-06-20,L. Dsouza,pass,81.7,35,4180
I000182,A0009,2022-06-30,E. Rao,pass,82.4,43,7351
I000183,A0009,2022-07-06,P. Singh,pass,97.2,76,1600
I000184,A0009,2022-07-11,M. Iyer,repair,81.2,54,3666
I000185,A0009,2022-08-28,P. Singh,pass,86.0,58,5719
I000186,A0009,2022-09-13,E. Rao,pass,98.8,42,6863
I000187,A0009,2022-09-28,P. Singh,pass,83.7,32,5034
I000188,A0009,2022-10-19,E. Rao,pass,85.0,23,3956
I000189,A0009,2022-11-07,P. Singh,fail,77.9,36,5893
I000190,A0009,2022-12-05,M. Iyer,fail,64.3,35,6257
I000191,A0009,2022-12-19,E. Rao,pass,89.0,39,2719
I000192,A0009,2022-12-23,E. Rao,pass,92.8,40,3342
I000193,A0009,2023-02-08,P. Singh,pass,73.6,56,795
I000194,A0009,2023-02-18,E. Rao,pass,74.2,30,689
I000195,A0009,2023-02-18,L. Dsouza,pass,79.8,44,557
I000196,A0009,2023-02-19,P. Singh,pass,100.0,42,10365
I000197,A0009,2023-03-10,P. Singh,pass,87.5,43,824
I000198,A0009,2023-04-14,M. Iyer,fail,48.8,50,2445
I000199,A0009,2023-04-20,L. Dsouza,pass,96.8,30,1194
I000200,A0009,2023-06-26,S. Khan,pass,90.0,39,404
I000201,A0009,2023-06-28,S. Khan,pass,83.7,61,18228
I000202,A0009,2023-07-16,E. Rao,pass,66.8,68,1241
I000203,A0009,2023-08-02,P. Singh,pass,81.6,47,2331
I000204,A0009,2023-09-10,S. Khan,pass,80.2,67,4159
I000205,A0009,2023-11-01,P. Singh,pass,79.1,50,5113
I000206,A0009,2023-11-02,S. Khan,pass,76.3,36,7340
I000207,A0009,2023-11-06,S. Khan,pass,62.7,28,3545
I000208,A0009,2023-11-26,P. Singh,pass,82.9,37,1590
I000209,A0009,2024-01-09,M. Iyer,pass,99.7,26,1514
I000210,A0009,2024-01-27,L. Dsouza,repair,71.6,38,3445
I000211,A0009,2024-02-12,S. Khan,pass,89.7,46,1444
I000212,A0009,2024-04-20,M. Iyer,fail,67.0,45,3132
I000213,A0009,2024-04-29,P. Singh,pass,73.7,48,4978
I000214,A0010,2022-03-08,E. Rao,pass,86.6,49,1824
I000215,A0010,2022-03-12,M. Iyer,fail,58.6,64,4211
I000216,A0010,2022-04-07,S. Khan,pass,90.8,46,2306
I000217,A0010,2022-05-01,P. Singh,pass,81.1,61,5090
I000218,A0010,2022-05-03,M. Iyer,pass,92.6,21,2552
I000219,A0010,2022-06-07,M. Iyer,pass,96.5,37,1625
I000220,A0010,2022-06-11,L. Dsouza,repair,87.4,30,578
I000221,A0010,2022-06-20,P. Singh,pass,85.3,27,1518
I000222,A0010,2022-08-17,S. Khan,pass,93.3,35,2578
I000223,A0010,2022-09-07,M. Iyer,pass,81.7,56,4580
I000224,A0010,2022-10-05,L. Dsouza,pass,100.0,36,3446
I000225,A0010,2022-10-06,P. Singh,pass,75.0,25,4643
I000226,A0010,2022-10-19,P. Singh,repair,85.0,52,1668
I000227,A0010,2022-10-20,M. Iyer,pass,86.4,23,280
I000228,A0010,2022-10-21,E. Rao,pass,69.5,41,5347
I000229,A0010,2022-10-30,M. Iyer,pass,85.0,56,3810
I000230,A0010,2022-11-17,S. Khan,pass,62.1,33,8515
I000231,A0010,2022-11-25,S. Khan,repair,74.1,17,2443
I000232,A0010,2022-11-30,M. Iyer,pass,86.6,65,3054
I000233,A0010,2022-12-21,P. Singh,pass,80.9,25,7234
I000234,A0010,2023-02-11,M. Iyer,pass,86.3,33,5233
I000235,A0010,2023-02-28,E. Rao,pass,82.0,31,4448
I000236,A0010,2023-03-19,M. Iyer,pass,86.7,57,6320
I000237,A0010,2023-03-23,E. Rao,fail,67.0,56,526
I000238,A0010,2023-05-13,L. Dsouza,pass,79.7,42,2490
I000239,A0010,2023-06-26,M. Iyer,pass,71.0,58,1214
I000240,A0010,2023-07-01,P. Singh,repair,90.1,40,3521
I000241,A0010,2023-07-04,L. Dsouza,pass,72.2,38,7932
I000242,A0010,2023-09-17,M. Iyer,pass,90.1,51,2560
I000243,A0010,2023-09-23,L. Dsouza,pass,80.2,41,4547
I000244,A0010,2023-10-14,M. Iyer,fail,56.1,46,1846
I000245,A0010,2024-01-04,P. Singh,pass,95.6,52,2452
I000246,A0010,2024-02-09,L. Dsouza,pass,83.8,58,2361
I000247,A0010,2024-02-23,L. Dsouza,pass,82.4,51,5144
I000248,A0010,2024-03-07,P. Singh,pass,83.1,22,987
I000249,A0010,2024-03-07,L. Dsouza,pass,69.3,50,3584
I000250,A0010,2024-04-14,E. Rao,fail,52.3,63,1580
I000251,A0010,2024-04-16,L. Dsouza,pass,93.5,49,8738
I000252,A0010,2024-04-20,L. Dsouza,pass,86.5,58,686
I000253,A0010,2024-04-21,E. Rao,pass,83.6,51,1928
I000254,A0010,2024-04-26,P. Singh,pass,65.1,50,3065
I000255,A0010,2024-04-29,P. Singh,pass,85.5,47,9394
I000256,A0011,2022-01-18,S. Khan,pass,88.6,59,2907
I000257,A0011,2022-06-09,S. Khan,fail,61.6,51,1140
I000258,A0011,2022-08-16,M. Iyer,pass,90.3,18,4191
I000259,A0011,2022-11-12,S. Khan,pass,100.0,89,6494
I000260,A0011,2023-08-03,L. Dsouza,repair,76.7,53,578
I000261,A0011,2023-09-29,E. Rao,pass,72.6,65,3528
I000262,A0011,2024-01-21,P. Singh,fail,56.0,35,6419
I000263,A0012,2022-02-15,E. Rao,pass,90.9,19,2486
I000264,A0012,2022-02-20,S. Khan,pass,80.0,44,3550
I000265,A0012,2022-03-14,M. Iyer,pass,77.5,21,1721
I000266,A0012,2022-04-18,L. Dsouza,pass,79.6,37,1455
I000267,A0012,2022-05-18,S. Khan,pass,84.6,56,4618
I000268,A0012,2022-09-03,L. Dsouza,repair,84.2,5,12557
I000269,A0012,2022-09-04,P. Singh,pass,66.3,30,3271
I000270,A0012,2022-09-11,L. Dsouza,pass,89.6,42,3248
I000271,A0012,2022-09-20,S. Khan,pass,88.1,50,772
I000272,A0012,2022-11-04,P. Singh,pass,64.2,59,1726
I000273,A0012,2022-11-30,E. Rao,repair,73.2,40,3584
I000274,A0012,2022-12-21,P. Singh,pass,93.9,35,4803
I000275,A0012,2023-03-26,S. Khan,fail,55.3,56,7317
I000276,A0012,2023-09-05,E. Rao,pass,89.5,27,2783
I000277,A0012,2023-10-15,L. Dsouza,pass,97.5,15,2578
I000278,A0012,2023-11-15,E. Rao,pass,78.6,14,1332
I000279,A0012,2024-02-14,E. Rao,pass,79.3,46,3586
I000280,A0012,2024-02-29,M. Iyer,pass,93.7,28,2564
I000281,A0012,2024-04-17,P. Singh,pass,79.6,36,2718
I000282,A0013,2022-03-02,P. Singh,fail,63.7,17,4692
I000283,A0013,2022-04-04,M. Iyer,pass,84.1,39,11914
I000284,A0013,2022-04-21,P. Singh,pass,88.0,48,3481
I000285,A0013,2022-06-20,P. Singh,pass,80.8,36,9022
I000286,A0013,2022-06-24,S. Khan,pass,82.4,44,3674
I000287,A0013,2022-07-20,L. Dsouza,fail,58.2,51,7050
I000288,A0013,2022-08-31,L. Dsouza,fail,56.3,26,6005
I000289,A0013,2022-09-14,M. Iyer,repair,72.7,41,3872
I000290,A0013,2022-10-07,P. Singh,pass,79.4,56,3182
I000291,A0013,2022-10-20,L. Dsouza,pass,80.5,29,8382
I000292,A0013,2022-10-26,L. Dsouza,pass,86.6,35,5390
I000293,A0013,2022-11-02,L. Dsouza,pass,85.9,62,5361
I000294,A0013,2022-11-03,L. Dsouza,repair,94.0,42,5301
I000295,A0013,2022-11-13,P. Singh,fail,69.8,30,2508
I000296,A0013,2022-11-18,E. Rao,pass,87.0,38,6462
I000297,A0013,2022-12-04,S. Khan,fail,66.7,22,3119
I000298,A0013,2023-01-13,P. Singh,pass,82.4,42,8114
I000299,A0013,2023-01-20,L. Dsouza,pass,90.0,54,4332
I000300,A0013,2023-01-22,E. Rao,pass,94.7,63,2915
I000301,A0013,2023-02-19,L. Dsouza,fail,70.1,44,1690
I000302,A0013,2023-04-06,M. Iyer,pass,80.9,57,6212
I000303,A0013,2023-04-24,L. Dsouza,pass,91.1,37,3371
I000304,A0013,2023-04-27,M. Iyer,pass,98.8,31,4374
I000305,A0013,2023-05-03,E. Rao,pass,84.8,41,813
I000306,A0013,2023-05-28,L. Dsouza,pass,86.0,69,2659
I000307,A0013,2023-06-01,P. Singh,pass,72.2,56,768
I000308,A0013,2023-06-06,M. Iyer,fail,52.8,36,1899
I000309,A0013,2023-07-03,S. Khan,pass,68.2,80,1316
I000310,A0013,2023-07-22,S. Khan,fail,48.8,60,3673
I000311,A0013,2023-08-19,M. Iyer,pass,85.3,53,6361
I000312,A0013,2023-10-05,S. Khan,pass,75.8,35,2057
I000313,A0013,2023-10-14,L. Dsouza,fail,60.4,72,458
I000314,A0013,2023-12-14,M. Iyer,fail,57.1,17,1481
I000315,A0013,2023-12-21,P. Singh,pass,82.2,38,4454
I000316,A0013,2023-12-26,S. Khan,fail,62.7,45,785
I000317,A0013,2024-02-10,E. Rao,pass,89.3,31,748
I000318,A0013,2024-02-24,M. Iyer,pass,93.5,37,2270
I000319,A0013,2024-03-10,L. Dsouza,pass,73.1,36,6651
I000320,A0013,2024-03-13,M. Iyer,pass,84.5,54,1723
I000321,A0013,2024-03-25,L. Dsouza,pass,92.8,44,357
I000322,A0013,2024-04-08,S. Khan,pass,83.8,24,2323
I000323,A0013,2024-04-21,S. Khan,pass,90.3,65,4814
I000324,A0014,2022-01-10,M. Iyer,pass,82.5,33,1287
I000325,A0014,2022-02-14,S. Khan,pass,80.4,22,6734
I000326,A0014,2022-03-18,E. Rao,repair,89.2,29,3326
I000327,A0014,2022-03-26,P. Singh,pass,79.9,49,5232
I000328,A0014,2022-04-20,S. Khan,fail,69.4,51,1696
I000329,A0014,2022-06-09,E. Rao,pass,85.4,26,7559
I000330,A0014,2022-06-18,S. Khan,pass,78.4,44,3238
I000331,A0014,2022-07-19,S. Khan,pass,84.5,66,5936
I000332,A0014,2022-09-25,E. Rao,pass,70.3,57,2486
I000333,A0014,2022-10-31,E. Rao,fail,46.4,58,3505
I000334,A0014,2022-12-23,P. Singh,pass,92.3,54,3900
I000335,A0014,2022-12-30,P. Singh,pass,92.0,56,1287
I000336,A0014,2023-01-03,L. Dsouza,pass,90.0,5,6400
I000337,A0014,2023-01-07,E. Rao,pass,83.0,68,1628
I000338,A0014,2023-01-24,S. Khan,fail,57.1,53,19268
I000339,A0014,2023-05-06,E. Rao,repair,74.9,39,4291
I000340,A0014,2023-10-07,S. Khan,pass,92.1,21,1157
I000341,A0014,2023-12-08,L. Dsouza,pass,90.7,46,920
I000342,A0014,2024-01-10,M. Iyer,fail,63.6,27,2383
I000343,A0014,2024-02-20,M. Iyer,pass,87.6,43,1614
I000344,A0014,2024-03-02,E. Rao,repair,78.2,59,3007
I000345,A0014,2024-04-06,S. Khan,pass,82.7,70,4776
I000346,A0014,2024-04-16,M. Iyer,pass,83.1,75,2691
I000347,A0015,2022-01-05,E. Rao,pass,78.8,42,2519
I000348,A0015,2022-02-12,M. Iyer,pass,85.6,62,2573
I000349,A0015,2022-03-31,P. Singh,pass,80.8,26,4234
I000350,A0015,2022-04-09,P. Singh,fail,58.5,42,5176
I000351,A0015,2022-04-29,P. Singh,pass,80.1,62,3438
I000352,A0015,2022-05-27,P. Singh,repair,89.8,46,6157
I000353,A0015,2022-06-03,E. Rao,fail,58.0,14,2335
I000354,A0015,2022-07-13,L. Dsouza,pass,79.4,21,654
I000355,A0015,2022-08-18,S. Khan,pass,100.0,34,3723
I000356,A0015,2022-09-26,S. Khan,pass,76.3,68,1176
I000357,A0015,2022-10-07,E. Rao,pass,96.9,27,7144
I000358,A0015,2022-10-30,E. Rao,fail,68.9,58,4873
I000359,A0015,2022-11-04,E. Rao,pass,80.8,24,519
I000360,A0015,2022-11-28,P. Singh,repair,88.2,37,5812
I000361,A0015,2022-12-04,L. Dsouza,pass,84.2,29,1547
I000362,A0015,2023-03-06,S. Khan,pass,90.2,22,4350
I000363,A0015,2023-05-06,E. Rao,pass,93.6,58,210
I000364,A0015,2023-05-31,L. Dsouza,fail,61.9,37,774
I000365,A0015,2023-06-24,P. Singh,pass,76.9,67,6929
I000366,A0015,2023-12-24,M. Iyer,repair,100.0,43,4502
I000367,A0015,2024-01-06,M. Iyer,pass,87.6,59,4479
I000368,A0015,2024-02-02,E. Rao,pass,94.9,32,2827
I000369,A0015,2024-02-12,P. Singh,repair,90.5,37,6449
I000370,A0015,2024-02-28,L. Dsouza,fail,76.2,70,3999
I000371,A0016,2022-01-02,S. Khan,pass,77.9,46,2301
I000372,A0016,2022-01-04,L. Dsouza,pass,72.6,41,5875
I000373,A0016,2022-02-01,L. Dsouza,pass,82.7,45,2420
I000374,A0016,2022-02-24,M. Iyer,pass,89.0,83,2603
I000375,A0016,2022-03-03,P. Singh,pass,74.6,31,2791
I000376,A0016,2022-04-28,P. Singh,pass,93.9,50,1041
I000377,A0016,2022-05-01,P. Singh,pass,89.6,57,1881
I000378,A0016,2022-05-04,P. Singh,pass,86.1,59,1492
I000379,A0016,2022-07-21,M. Iyer,pass,90.3,62,3190
I000380,A0016,2022-08-02,P. Singh,repair,86.7,27,3327
I000381,A0016,2022-08-18,L. Dsouza,pass,82.1,38,5311
I000382,A0016,2022-09-06,P. Singh,pass,87.9,24,1680
I000383,A0016,2022-09-15,S. Khan,pass,96.0,34,6104
I000384,A0016,2022-10-01,S. Khan,pass,83.6,56,2904
I000385,A0016,2022-10-02,L. Dsouza,pass,97.5,40,6301
I000386,A0016,2022-10-09,P. Singh,pass,89.0,53,1766
I000387,A0016,2022-12-18,M. Iyer,pass,78.8,18,588
I000388,A0016,2022-12-19,S. Khan,pass,87.8,56,1775
I000389,A0016,2022-12-28,S. Khan,repair,78.1,33,3155
I000390,A0016,2022-12-28,P. Singh,pass,71.1,15,1962
I000391,A0016,2023-01-28,E. Rao,pass,76.8,53,3216
I000392,A0016,2023-02-08,E. Rao,pass,80.7,53,6687
I000393,A0016,2023-02-10,L. Dsouza,pass,86.3,54,5409
I000394,A0016,2023-03-26,P. Singh,pass,79.6,15,1016
I000395,A0016,2023-04-01,L. Dsouza,pass,76.5,66,3288
I000396,A0016,2023-04-02,L. Dsouza,fail,56.7,37,3581
I000397,A0016,2023-04-28,S. Khan,repair,96.7,24,8609
I000398,A0016,2023-08-05,P. Singh,pass,79.8,25,348
I000399,A0016,2023-08-08,L. Dsouza,pass,82.8,41,4031
I000400,A0016,2023-08-24,E. Rao,repair,93.7,37,4467
I000401,A0016,2023-08-30,M. Iyer,pass,84.8,53,3079
I000402,A0016,2023-10-02,M. Iyer,pass,82.9,47,3981
I000403,A0016,2023-11-27,L. Dsouza,pass,77.6,36,290
I000404,A0016,2023-12-17,E. Rao,fail,60.5,48,4740
I000405,A0016,2023-12-19,S. Khan,pass,81.0,33,4888
I000406,A0016,2024-02-11,S. Khan,pass,76.7,57,1607
I000407,A0016,2024-03-08,E. Rao,pass,76.0,42,1671
I000408,A0016,2024-03-18,S. Khan,pass,83.7,36,2396
I000409,A0016,2024-03-23,P. Singh,pass,83.4,67,8314
I000410,A0017,2022-02-21,P. Singh,pass,80.0,45,2102
I000411,A0017,2022-03-10,E. Rao,fail,67.7,45,1785
I000412,A0017,2022-04-23,L. Dsouza,pass,85.1,45,3532
I000413,A0017,2022-05-13,P. Singh,pass,83.5,28,3142
I000414,A0017,2022-06-05,M. Iyer,pass,81.0,69,5045
I000415,A0017,2022-06-09,P. Singh,pass,85.5,18,2227
I000416,A0017,2022-07-23,P. Singh,fail,56.4,75,2251
