spindle_rpm,feed_rate_mmpm,cut_depth_mm,power_kw,vibration_mm_s,coolant_lpm,tool_temp_c
1360,355,3.48,16.18,6.13,30.0,59.77
1289,411,3.15,19.35,4.56,30.0,70.9
1686,402,3.59,20.51,5.92,26.3,54.34
1206,546,6.28,26.46,9.96,24.7,70.17
1429,438,3.48,16.53,5.0,25.0,63.42
1522,338,4.28,13.57,6.31,26.1,60.62
2801,167,0.2,6.91,1.5,21.2,52.0
1033,641,6.36,24.41,8.22,28.7,75.36
1598,407,3.18,17.92,4.63,25.7,59.67
1497,319,3.77,19.92,5.78,29.4,60.81
1607,463,2.83,17.28,4.86,25.9,63.42
2672,186,0.99,7.48,2.2,17.3,47.79
718,0,0.11,0.73,0.16,0.0,32.61
1043,584,4.86,25.61,8.56,29.5,78.8
3262,192,0.9,9.5,2.06,18.2,51.52
1646,396,3.73,17.92,4.99,25.2,65.05
3054,140,0.76,6.56,2.47,18.4,46.08
1443,467,3.38,16.52,6.1,26.7,69.57
1664,458,3.92,16.08,5.27,23.4,58.91
3027,200,1.23,8.66,1.22,20.4,50.6
712,0,0.41,1.68,0.0,2.5,27.7
2944,147,0.25,9.95,1.17,18.2,47.35
2876,279,0.34,8.94,2.19,17.7,46.47
3014,182,0.69,8.64,2.11,15.6,49.78
1624,395,3.86,20.8,5.92,26.7,61.18
1171,381,3.32,19.99,6.1,25.4,63.03
1220,609,6.17,26.02,9.49,24.6,76.85
2839,196,0.58,8.48,1.02,15.5,53.63
1277,642,6.38,27.25,8.97,32.1,89.01
586,49,0.29,0.67,0.55,0.0,32.91
737,20,0.39,0.35,0.37,0.0,28.61
1075,594,5.98,23.18,8.29,29.4,68.74
3174,157,0.6,8.48,2.21,17.4,47.6
2852,174,0.5,8.87,1.49,16.8,51.96
2874,164,0.82,7.35,2.01,21.6,43.67
2982,248,1.12,8.02,2.7,15.6,45.38
2974,229,0.78,10.29,3.03,22.3,51.22
743,44,0.0,3.36,0.5,0.0,30.87
1249,484,2.91,17.41,4.8,21.2,64.09
829,0,0.0,0.0,0.36,0.0,32.79
1321,360,3.7,18.55,5.81,29.3,62.78
1515,459,3.36,16.3,5.39,25.5,68.06
2907,150,0.29,12.55,2.87,22.8,48.33
1491,433,4.5,19.88,6.18,27.8,66.57
1057,643,6.29,25.36,9.42,30.3,75.7
524,0,0.09,2.25,0.0,5.7,28.03
1560,401,3.34,18.32,6.02,28.2,60.21
3105,104,0.68,9.76,1.98,17.7,48.07
2747,206,0.72,13.29,2.45,19.4,41.07
1518,361,2.82,15.02,4.37,16.9,63.59
1475,303,2.65,18.61,4.89,26.1,61.67
1486,383,3.22,20.09,5.81,23.8,55.79
1531,436,4.25,19.46,5.68,20.8,62.87
1087,624,6.08,27.57,10.19,31.0,76.9
649,0,0.37,3.79,0.48,0.6,27.09
1629,450,3.53,15.22,6.71,25.7,63.45
1107,662,5.98,28.92,6.6,28.7,78.23
1660,473,3.22,19.81,4.79,24.0,67.78
766,44,0.0,0.0,0.38,3.2,21.51
745,54,0.0,0.0,1.18,5.2,27.35
2855,97,0.0,8.54,2.22,16.4,44.85
2935,174,1.46,8.41,1.45,20.2,59.38
736,0,0.58,1.25,0.97,0.0,25.07
1161,636,5.24,24.13,9.12,30.1,77.86
2856,181,0.85,10.51,1.96,13.0,48.58
1312,533,5.9,24.87,8.17,33.0,77.78
1503,326,3.14,16.13,6.2,23.6,56.92
985,588,5.71,24.54,8.86,34.7,76.13
3239,149,1.51,8.12,3.18,19.7,44.99
1169,496,6.59,26.0,8.07,25.1,73.37
1666,473,3.58,17.55,6.11,20.1,63.9
1035,602,5.57,25.46,8.38,27.8,72.41
3194,218,1.34,10.03,2.13,15.6,54.15
1422,364,3.52,20.68,5.72,25.5,56.6
1206,623,5.86,24.02,7.74,32.6,73.08
1021,554,6.08,23.46,8.8,30.7,77.25
1409,354,3.53,17.05,4.45,27.2,52.17
653,0,0.0,2.0,0.0,5.1,30.75
999,662,5.4,25.76,8.1,35.8,78.83
1196,620,5.98,25.32,7.78,31.8,90.61
2889,65,1.09,5.88,1.25,22.6,44.59
974,603,6.38,25.99,8.48,33.4,82.49
1462,403,3.38,17.86,5.0,24.3,57.69
1330,367,3.38,20.88,5.4,27.8,64.12
1144,587,5.33,25.29,8.81,29.5,73.99
1467,403,3.36,18.33,5.21,26.4,69.7
1099,559,5.76,27.9,10.12,35.0,79.83
3151,224,0.32,8.12,2.02,11.1,52.87
3109,234,0.26,8.05,1.26,18.9,47.32
1463,419,3.75,16.61,5.19,22.9,59.87
1631,428,3.43,15.3,4.38,20.6,66.47
2863,125,0.3,5.27,1.19,16.4,44.11
2906,93,0.44,8.3,2.69,20.2,46.52
1507,417,3.46,18.06,5.46,25.8,70.44
1172,515,6.16,26.84,8.74,30.0,78.58
2977,216,0.04,9.46,2.58,15.0,46.62
793,0,0.38,3.69,0.58,2.9,25.37
826,1,0.0,0.0,1.08,0.0,26.44
674,54,0.27,4.06,1.23,0.2,26.58
1319,664,6.13,25.99,8.82,31.3,73.7
1468,349,4.06,16.98,6.29,24.4,56.43
1233,573,5.87,28.57,9.02,30.6,73.52
852,0,0.0,1.05,0.78,2.0,23.26
834,0,0.27,0.24,0.0,3.2,25.41
667,20,0.18,1.52,0.78,6.0,30.1
1421,486,4.29,19.37,5.31,27.8,59.37
3133,119,0.88,4.43,1.46,20.8,43.88
2997,109,0.09,10.37,1.66,15.3,58.44
1099,666,5.51,29.0,8.26,25.7,74.76
2858,248,0.12,10.27,2.86,14.4,45.96
2863,241,1.48,5.12,2.38,18.7,43.04
1120,614,5.34,29.07,8.37,33.1,73.14
3093,123,0.5,6.57,1.42,20.6,47.45
2892,162,1.01,14.33,1.2,18.4,53.48
1572,410,3.89,18.83,5.11,22.3,60.15
2710,139,0.24,10.0,2.86,18.7,49.06
1133,633,5.83,28.33,7.62,31.4,70.22
3137,115,0.55,10.27,0.68,22.3,48.97
704,0,0.53,0.0,0.57,4.6,24.5
752,0,0.0,3.25,0.11,0.6,30.38
1127,566,6.69,25.11,8.56,33.4,77.56
862,0,0.27,5.44,0.49,5.4,33.72
2891,89,0.0,9.53,1.39,17.5,46.27
715,30,0.18,0.0,0.35,2.1,33.67
2976,157,0.95,9.48,2.73,12.6,36.37
556,0,0.22,0.0,0.0,4.9,23.85
2981,123,0.83,8.1,3.31,14.1,49.49
2899,99,0.6,8.39,2.66,20.3,42.73
3090,190,1.15,10.68,1.56,14.8,49.44
1559,375,3.35,17.93,4.16,22.5,61.5
1405,393,3.37,19.25,5.21,28.2,66.67
2887,130,0.53,10.54,1.47,17.5,47.37
880,502,5.93,24.61,8.89,31.6,76.12
671,0,0.0,4.0,0.0,0.1,15.79
744,0,0.0,1.11,0.19,0.9,26.14
2999,257,0.68,10.67,2.41,22.2,52.85
1003,537,6.08,24.75,9.63,30.8,78.31
1265,627,6.19,23.88,7.69,35.5,66.08
3094,262,0.43,8.82,2.81,23.1,56.19
1123,538,5.83,25.91,8.43,27.4,86.37
1102,621,6.38,25.19,8.48,31.1,75.24
2891,204,0.21,5.96,2.81,18.1,50.21
1533,410,4.08,19.02,5.19,23.9,67.96
1450,404,3.82,20.34,4.94,20.1,56.87
1131,478,6.49,24.85,8.94,28.7,82.05
3052,179,0.75,7.22,2.53,20.6,45.14
1345,468,3.73,20.48,5.2,29.9,60.69
1622,348,3.4,16.34,5.98,26.0,61.66
1391,451,3.8,17.89,4.88,22.4,58.31
1508,412,3.7,22.05,5.26,24.7,61.51
3084,131,0.68,12.46,0.89,21.6,54.89
506,15,0.0,2.59,0.72,0.4,24.26
1466,402,3.27,17.88,4.8,23.9,57.51
1432,345,3.48,14.71,5.11,24.3,54.37
1523,414,3.75,17.72,2.92,24.2,56.51
959,537,6.52,26.02,9.2,25.9,82.71
1648,381,3.31,16.6,6.04,26.9,51.92
1299,352,3.21,19.42,5.35,28.2,66.66
916,23,0.07,1.11,0.05,1.5,21.48
3054,155,0.19,9.45,1.94,21.3,50.73
2984,126,0.83,13.0,2.21,17.2,45.14
1614,346,3.56,14.83,6.48,27.1,51.95
2974,229,0.25,10.63,1.6,18.3,52.15
992,541,6.48,25.22,8.46,30.8,74.97
700,26,0.0,2.25,1.57,1.5,24.15
1409,421,3.61,19.23,5.6,27.8,64.9
707,0,0.18,1.86,1.23,0.0,28.39
1333,471,3.6,17.14,5.82,26.3,60.28
1474,406,3.36,17.27,6.14,25.4,64.77
1409,395,3.46,18.63,7.41,26.1,63.46
2947,238,0.04,8.51,1.79,19.0,50.41
1026,550,5.87,25.0,8.06,29.9,84.74
2895,135,0.61,6.44,2.49,20.3,47.35
3176,204,0.39,8.7,2.64,25.2,43.96
1017,19,0.1,0.0,1.02,0.6,24.28
1481,336,2.56,18.11,5.91,26.0,54.13
1444,425,3.54,18.54,5.92,27.8,66.9
3079,160,0.42,9.04,2.32,18.9,42.0
560,0,0.74,0.0,0.24,1.4,34.91
3017,141,0.39,11.52,2.08,15.0,49.07
1543,338,3.28,18.17,4.4,26.3,54.8
1217,632,6.54,24.75,8.39,31.2,73.23
1602,319,3.85,15.37,5.75,30.0,63.01
972,609,5.81,26.57,9.39,32.2,76.4
713,10,0.0,2.89,0.0,0.0,31.03
2815,174,1.12,8.25,3.47,13.5,43.81
855,51,0.54,0.27,0.84,0.0,33.22
3026,161,1.19,7.27,1.05,21.2,43.35
919,558,6.45,24.76,7.44,32.3,64.25
868,69,0.24,1.85,1.27,0.7,27.08
3175,146,0.39,9.87,2.49,22.5,46.08
1338,604,6.55,28.79,7.71,28.1,71.99
1381,374,4.02,18.75,5.62,26.8,59.53
2828,132,1.28,8.35,2.65,18.8,45.82
3159,203,1.42,7.81,2.07,15.5,51.42
1730,464,3.04,19.08,5.12,22.9,63.22
1247,581,5.63,20.77,9.44,30.1,69.71
1127,639,5.56,24.59,8.76,25.7,76.21
1453,327,3.38,18.73,5.7,24.5,54.98
575,113,0.0,0.66,1.48,3.5,27.18
2999,250,0.95,13.99,2.0,18.3,46.86
2845,172,0.74,9.18,3.43,17.8,44.91
827,0,0.0,0.0,2.46,0.1,24.98
636,3,0.5,2.87,0.97,7.3,24.36
3075,177,1.38,9.64,2.74,21.1,46.94
3122,150,0.34,13.57,1.59,18.2,54.48
1685,408,4.0,17.89,6.23,24.7,65.68
899,0,0.47,1.48,0.54,4.0,25.52
1455,340,3.42,18.74,5.89,26.2,58.44
2997,201,0.18,8.42,1.87,18.9,43.98
3022,165,0.75,10.99,1.62,16.2,54.02
678,0,0.02,0.28,0.7,0.0,16.38
1354,598,5.43,24.73,7.94,27.6,68.23
3194,84,0.58,7.05,2.91,17.9,45.08
1132,651,5.93,28.81,7.98,26.6,88.1
1501,387,3.59,16.93,4.62,20.0,62.03
428,39,0.33,0.78,0.65,0.0,22.14
2952,129,0.04,12.92,1.48,18.9,53.86
1792,419,3.64,15.05,4.93,20.9,63.14
766,0,0.0,0.0,1.8,3.0,30.3
847,60,0.0,2.24,1.39,0.8,28.88
2880,203,0.52,9.61,2.37,14.0,53.21
3028,200,1.15,9.58,2.79,16.4,56.63
1540,320,3.99,17.75,5.92,28.7,64.95
1357,407,4.2,23.32,5.39,30.4,59.43
3260,79,1.05,12.17,1.88,25.6,57.16
2905,113,0.23,8.76,2.3,12.3,46.18
972,612,5.39,24.85,9.29,28.0,68.6
874,14,0.04,3.79,1.06,0.0,24.23
3015,195,0.75,7.03,2.12,19.3,57.15
2686,192,0.95,9.22,3.11,18.1,44.36
1121,636,5.88,27.06,7.9,32.9,73.03
1022,607,6.37,22.64,8.36,28.9,74.17
1568,349,3.66,18.23,5.34,24.2,63.03
3129,120,0.77,8.44,2.68,21.9,46.07
3038,146,0.51,8.0,2.56,14.9,50.87
1255,413,3.46,17.96,6.25,23.5,59.99
2962,197,0.75,10.58,2.34,18.7,43.41
1246,590,6.18,27.65,7.39,28.5,79.36
996,595,5.56,27.68,8.97,30.5,87.27
3099,157,1.05,10.01,1.94,16.3,58.55
1181,710,6.08,21.59,9.7,32.4,83.77
1697,324,3.72,19.11,5.63,24.8,51.82
1559,349,3.95,18.04,6.44,28.0,56.23
2828,154,1.01,5.34,1.86,18.7,50.36
1495,417,3.39,18.61,5.63,28.3,59.07
1440,474,4.22,18.1,5.92,26.0,58.94
1412,389,2.64,14.3,6.71,26.9,58.21
409,0,0.0,0.0,0.0,0.0,21.88
2623,102,0.62,6.81,0.64,18.2,48.5
2836,175,0.0,13.22,2.56,21.4,49.12
1535,349,3.7,19.65,4.96,27.9,61.32
1593,333,3.56,19.4,5.28,18.6,61.59
3050,207,0.38,3.67,2.24,20.3,49.73
3168,228,1.04,7.76,2.6,16.9,43.34
858,0,0.14,0.0,0.64,7.7,29.68
3026,275,1.2,10.65,1.69,17.1,46.59
1035,568,5.14,26.75,7.54,26.5,88.01
1755,400,3.56,18.69,5.78,24.9,58.8
876,0,0.5,0.0,1.13,3.6,25.42
1126,587,5.67,23.87,9.44,27.6,71.86
1408,479,3.65,16.4,4.64,27.5,64.14
1067,617,5.69,28.57,7.86,33.4,82.53
3027,189,0.64,11.7,1.41,15.3,56.36
2758,197,0.68,10.64,1.74,20.0,46.5
1058,549,5.8,28.23,8.86,27.5,86.3
1076,680,5.98,26.47,9.55,31.4,78.55
1766,371,3.33,19.58,5.54,24.1,61.2
2782,199,0.85,5.5,1.19,16.3,47.97
1537,404,2.96,20.93,6.65,23.0,64.19
1300,481,4.12,19.23,6.33,23.4,59.23
1565,446,4.75,18.92,5.78,25.7,61.66
1024,634,6.03,27.11,7.93,24.8,75.38
1025,617,5.91,22.27,7.66,32.3,71.1
1492,445,3.0,20.53,5.04,22.9,64.07
1646,375,4.47,16.38,7.14,23.2,66.01
860,0,0.0,0.4,2.35,3.9,31.72
2911,150,0.1,4.92,2.05,20.6,54.36
1074,615,5.74,27.63,8.96,27.2,78.78
1065,681,5.85,25.83,7.02,33.5,84.96
2966,180,0.35,8.07,2.68,14.8,40.77
1675,444,3.41,14.45,4.32,27.2,62.09
1416,377,2.78,16.27,7.2,24.2,55.54
2827,134,1.24,7.22,0.94,19.4,40.74
1239,536,6.17,24.49,7.97,30.3,85.2
1470,357,3.21,19.01,6.65,22.9,69.18
1334,383,3.11,19.96,6.01,23.3,71.21
2773,100,0.76,10.04,1.71,19.0,45.92
3014,289,0.42,7.62,2.22,20.1,57.4
1655,398,4.73,18.54,5.03,21.3,60.9
1614,533,3.2,17.2,4.24,25.2,60.09
3029,189,0.2,8.53,1.98,15.5,42.98
3065,112,1.03,9.23,2.56,14.8,48.48
1340,408,2.92,21.03,5.14,33.7,60.77
3012,154,0.64,8.65,2.26,18.7,52.44
1394,412,4.21,16.83,5.75,23.6,70.63
548,9,0.07,2.88,1.15,1.6,21.79
1487,370,2.92,20.54,4.84,31.5,61.66
1454,429,4.02,21.7,5.55,23.3,55.39
2895,239,0.0,5.38,1.45,16.5,47.35
2842,163,0.8,6.54,2.88,21.4,48.99
1615,375,3.47,17.07,4.22,20.3,70.15
1462,325,3.33,20.65,7.07,26.9,61.92
2794,166,0.34,7.93,1.47,18.9,44.05
1683,381,3.13,17.8,6.58,24.4,57.07
690,0,0.63,3.39,0.13,5.4,31.24
2952,184,0.62,4.06,2.82,15.4,58.16
3111,123,0.74,6.5,2.55,20.3,52.51
1247,522,5.82,24.56,8.95,28.9,78.3
1398,413,3.11,18.18,5.94,30.7,60.47
910,0,0.0,0.0,1.02,0.0,27.65
1551,330,3.09,17.77,5.22,25.7,59.47
1385,414,3.72,18.35,5.64,22.9,63.88
2891,128,0.59,12.74,1.46,16.9,49.31
2959,166,0.68,10.87,1.68,17.2,40.28
1460,442,3.42,20.17,6.07,24.7,60.78
770,0,0.82,0.2,0.91,3.3,28.66
1315,495,3.69,19.2,4.76,22.4,58.7
3104,143,0.04,11.57,1.89,18.5,51.18
1539,326,2.69,13.71,5.1,23.8,63.16
1269,463,3.15,15.88,5.51,22.2,65.25
2829,228,0.83,7.11,2.48,18.5,47.7
684,0,0.25,3.09,0.67,1.7,21.09
3053,122,0.57,8.42,1.45,20.9,49.49
1403,369,3.63,15.3,5.41,19.1,66.58
1586,387,3.52,23.27,5.04,25.1,61.16
1495,421,3.25,20.64,6.01,28.6,53.07
1647,379,3.29,16.68,4.91,26.3,61.54
1051,673,5.63,30.23,9.38,33.2,79.71
1450,392,2.97,20.27,6.54,28.2,59.52
3185,267,0.53,10.39,2.41,18.5,54.92
699,61,0.0,0.04,0.56,0.0,29.47
1372,406,3.06,21.05,6.02,25.8,66.63
1072,584,6.19,27.8,7.71,25.8,81.4
1534,453,3.7,18.89,5.46,20.3,65.26
3136,252,0.7,9.33,2.19,16.8,39.09
1208,401,3.71,17.92,5.61,21.8,59.54
1093,636,5.61,22.13,8.79,33.1,81.54
544,0,0.07,3.37,1.1,2.3,27.62
2965,160,0.47,3.34,1.81,17.5,49.01
715,0,0.44,4.04,0.28,0.0,26.71
1303,426,4.17,17.54,5.77,22.7,63.0
1407,401,4.09,17.15,5.76,28.9,53.84
675,0,0.47,0.0,1.16,4.5,26.31
1717,470,2.59,17.44,5.81,23.8,63.72
1412,541,3.41,19.65,5.02,25.9,65.24
1152,616,5.63,26.26,8.73,32.1,78.21
1401,265,2.62,13.33,4.86,23.9,59.92
1047,534,5.92,24.53,8.28,28.1,78.24
3077,143,0.89,12.86,3.38,13.9,44.23
1511,476,3.36,18.74,5.65,25.3,65.47
2925,133,0.74,6.38,1.65,16.9,51.94
1055,589,5.87,25.75,8.2,27.4,78.01
1330,384,3.59,18.45,4.59,24.2,57.09
2950,91,0.62,7.98,1.5,15.9,50.79
3016,172,0.59,8.74,1.47,14.5,46.1
2706,162,0.8,5.98,2.19,15.7,41.25
1742,361,2.77,19.09,5.22,24.2,58.52
3082,251,0.36,10.18,2.33,12.7,36.7
474,6,0.59,2.43,2.45,0.9,30.05
1769,445,3.51,17.75,6.53,24.0,58.32
693,146,0.17,0.0,0.0,2.7,34.21
3230,140,0.81,10.4,2.93,16.7,49.51
1181,496,6.13,25.89,8.39,33.4,75.4
1237,505,6.42,22.92,8.63,35.2,78.84
1328,347,3.29,20.01,5.82,24.3,70.82
1126,655,5.79,23.22,9.89,25.6,72.02
1118,680,6.03,26.18,8.52,31.2,81.65
756,9,0.0,2.3,0.62,0.0,32.34
3134,159,0.28,8.91,2.12,18.2,48.5
603,0,0.31,2.01,0.63,0.0,24.69
2902,230,0.0,9.0,1.8,16.7,46.01
2977,148,0.08,9.68,2.11,15.4,54.44
1530,380,3.58,15.15,5.7,24.4,65.05
647,63,0.5,3.03,0.64,5.8,22.52
1159,714,6.12,28.81,8.42,27.3,74.84
1061,566,6.2,28.83,8.37,31.8,83.17
1512,368,3.81,16.22,5.25,29.7,58.08
1137,706,6.19,25.12,8.66,32.8,70.71
796,81,0.26,0.61,0.0,0.0,23.42
3081,162,0.99,7.31,2.8,23.3,49.6
1498,476,3.03,16.4,5.42,24.7,59.85
2976,140,1.13,12.23,3.28,19.7,40.77
1807,352,3.74,17.88,6.07,25.4,62.77
1465,396,2.93,17.08,4.55,24.4,51.41
2892,235,0.36,4.84,3.36,16.2,42.89
1297,333,3.6,14.5,4.54,24.5,68.84
2869,177,1.08,9.82,2.5,17.7,55.66
1253,591,6.03,29.16,8.15,28.5,76.58
3043,254,0.52,11.29,2.23,18.3,46.54
1513,432,3.89,18.74,5.81,24.9,68.12
1594,322,2.84,20.03,5.63,25.6,66.13
1480,384,3.79,19.1,5.19,19.4,59.83
1401,369,2.96,17.52,4.86,28.2,60.58
2828,236,0.74,5.68,2.26,20.0,50.26
2967,167,0.75,11.49,3.11,17.3,49.02
728,0,0.3,0.0,1.27,1.9,34.1
1584,356,3.34,14.71,5.42,25.0,53.23
3141,210,0.25,7.67,2.5,20.2,47.48
1392,412,3.18,16.8,5.73,25.2,67.45
1113,558,5.55,23.66,7.95,27.1,76.26
2942,151,0.37,6.05,2.53,14.0,39.71
400,46,0.0,2.46,0.24,2.9,32.8
1003,528,6.33,28.57,8.14,33.9,84.61
1280,433,3.78,18.52,6.05,25.7,67.75
2770,175,0.61,9.8,2.38,14.1,54.25
3005,262,0.75,12.96,2.83,19.1,50.96
864,0,0.0,0.93,0.7,9.6,35.04
1211,545,5.63,24.53,7.58,30.0,78.32
1584,440,3.56,17.62,5.7,27.8,61.76
1293,559,5.29,22.45,9.0,28.0,75.89
2974,262,0.0,9.74,3.38,18.4,41.63
812,0,0.06,0.11,0.75,1.0,24.71
3137,216,1.24,8.59,2.87,9.5,43.43
1345,356,2.76,16.19,5.15,19.7,62.17
1105,630,6.79,25.56,8.65,34.4,75.99
1589,434,3.99,18.4,5.42,27.1,66.0
2955,159,0.0,7.44,1.23,22.0,53.91
1475,408,3.44,17.49,6.25,21.1,65.98
1664,405,3.09,16.78,6.23,31.3,57.4
859,1,0.44,0.86,0.73,0.0,37.43
1483,417,4.5,17.98,6.06,30.3,63.4
980,581,6.1,26.38,8.41,34.9,77.53
872,543,6.49,23.44,8.34,34.5,79.13
