machine_id,temp_bearing,temp_motor,temp_gearbox,oil_temp,temp_ambient,vibration_x,vibration_y,vibration_z,acoustic_db,rpm,spindle_speed,feed_rate,torque,power_kw,current_a,current_b,current_c,load_pct,pressure_in,pressure_out,coolant_flow,oil_level,voltage,humidity,condition
MX0048,50.91,55.77,50.8,49.27,28.23,1.5,0.94,1.11,68.9,1569.56,5238.45,223.61,110.81,76.35,19.26,18.94,17.33,56.83,78.1,62.08,26.27,80.03,414.51,45.23,Warning
MX0049,68.65,71.88,63.42,59.18,27.16,2.96,2.85,2.34,82.41,2256.67,7659.78,267.12,136.35,87.78,24.68,24.85,23.56,76.55,89.43,59.3,30.61,76.74,414.97,44.95,Warning
MX0050,64.74,67.32,61.17,53.58,30.09,2.32,2.09,2.01,74.21,1569.09,4792.11,242.93,107.89,60.86,18.4,16.25,19.31,56.63,80.67,58.51,25.24,70.62,414.62,44.83,Normal
MX0051,65.91,73.49,60.97,59.13,28.53,2.63,2.23,1.98,81.12,2170.31,8232.2,299.64,130.09,101.05,28.85,25.38,26.84,80.93,88.47,65.8,31.81,87.04,414.81,44.78,Warning
MX0052,69.43,72.32,63.8,62.79,27.59,2.86,2.75,2.3,82.64,2220.92,7275.9,297.77,163.92,92.56,25.07,25.08,28.24,79.2,88.96,72.42,33.96,72.18,415.04,45.22,Failure
MX0053,64.06,67.72,59.51,56.14,30.08,2.36,2.01,1.47,76.93,2091.4,7000.53,277.5,129.67,80.2,22.54,25.0,22.92,75.4,76.61,61.16,28.94,85.23,415.01,45.01,Normal
MX0054,48.82,53.23,47.06,47.96,27.71,1.34,1.23,1.27,72.41,1603.03,5449.11,249.89,115.38,66.91,20.43,17.93,19.23,60.84,73.17,45.3,26.02,81.31,415.34,45.28,Normal
MX0055,72.87,75.24,65.45,58.96,30.92,3.3,3.11,2.55,84.65,2206.73,8000.37,317.66,160.83,94.06,25.69,27.18,27.52,89.72,90.26,67.49,32.28,81.19,414.97,44.81,Failure
MX0056,59.04,59.18,56.1,54.22,27.37,2.14,1.69,1.72,78.87,1470.53,4614.35,230.85,88.86,58.71,15.62,16.38,16.77,47.16,70.87,49.93,24.43,79.66,414.69,44.63,Normal
MX0057,69.03,73.1,67.11,62.72,26.63,2.7,2.74,2.29,83.58,2163.43,7069.08,276.1,136.68,89.83,23.74,25.23,26.66,71.03,91.66,64.64,36.49,79.52,414.61,44.97,Warning
MX0058,65.28,71.78,60.23,55.2,28.45,2.46,2.24,2.29,80.78,2066.38,7062.45,278.97,125.15,76.6,26.46,25.23,24.75,71.96,81.08,60.46,30.9,85.23,414.82,45.05,Normal
MX0059,60.41,61.81,51.01,51.02,25.35,1.59,0.89,1.12,72.56,1276.21,3768.11,136.24,76.06,37.85,15.46,15.04,13.97,33.98,70.39,50.4,21.66,85.32,415.45,45.1,Normal
MX0060,66.83,74.97,59.61,58.63,29.27,2.68,2.54,1.96,77.36,1848.37,6355.91,282.83,142.23,88.56,26.11,24.81,22.84,68.44,80.46,60.55,28.82,82.42,415.12,45.25,Normal
MX0061,68.15,70.09,61.95,56.48,28.88,2.08,2.05,1.85,76.46,1870.78,5963.08,220.44,117.85,72.74,22.15,20.37,23.7,58.39,75.35,63.96,28.14,82.57,415.74,45.14,Normal
MX0062,68.91,69.95,63.47,58.22,25.04,2.33,2.16,1.83,80.99,2357.57,7736.34,295.94,159.0,81.55,24.68,27.07,26.56,76.92,78.81,61.34,30.11,75.21,415.16,45.21,Warning
MX0063,66.64,70.32,63.23,58.03,28.51,1.72,1.65,1.57,70.09,1581.51,5274.33,230.84,106.96,62.95,18.7,17.39,20.17,50.75,77.69,57.13,26.81,85.9,415.19,45.07,Normal
MX0064,65.79,69.8,60.77,54.07,26.77,1.33,1.76,1.08,76.84,1657.01,5354.29,243.46,120.29,67.18,21.8,21.33,20.13,58.59,75.51,53.82,30.25,87.11,414.92,45.32,Normal
MX0065,68.79,70.56,65.82,55.16,25.46,1.97,1.9,1.65,77.21,1845.5,6519.23,256.63,134.19,78.88,24.36,24.29,23.73,74.76,83.05,58.97,31.0,81.75,415.53,44.74,Warning
MX0066,58.58,57.15,51.39,53.37,25.95,1.93,1.72,1.63,72.17,1597.13,4731.38,206.69,85.4,53.09,16.87,17.42,17.0,42.99,70.1,51.0,26.23,76.08,414.63,45.13,Normal
MX0067,83.34,85.42,80.31,68.08,27.56,4.3,3.66,3.48,90.49,2299.5,8377.89,351.63,156.42,102.43,30.77,28.87,32.82,83.02,99.24,74.04,37.4,73.59,414.93,45.14,Failure
MX0068,54.66,57.78,49.9,50.96,27.38,1.21,0.64,0.73,71.31,1380.1,4921.52,207.1,107.72,62.24,17.16,15.28,17.27,54.01,66.65,57.32,19.72,84.24,414.77,45.02,Normal
MX0069,67.69,78.32,66.37,58.98,27.41,2.42,2.17,1.67,82.73,2106.71,7133.0,273.09,119.06,94.87,26.28,27.94,25.71,71.3,84.4,64.54,30.16,84.35,415.17,45.04,Normal
MX0070,64.54,72.75,61.55,59.14,29.51,2.38,2.04,1.9,81.68,1866.31,4939.78,214.99,110.91,74.94,21.83,22.41,20.75,55.72,72.2,60.19,29.95,81.95,415.34,44.84,Normal
MX0071,71.92,76.29,71.75,62.61,30.71,3.53,3.4,2.51,85.0,2392.03,8198.68,364.35,154.54,90.07,29.69,27.5,30.23,85.05,98.45,69.03,32.04,78.2,415.17,45.24,Failure
MX0072,64.41,72.0,64.39,55.22,28.55,2.62,2.56,1.85,78.86,2066.34,7465.78,320.84,142.85,94.69,24.58,24.56,25.21,64.54,90.8,58.9,30.15,87.39,415.27,44.74,Warning
MX0073,63.14,66.4,60.99,55.62,27.15,1.42,1.32,0.87,73.62,1570.57,5160.66,229.87,89.96,66.48,18.6,20.6,20.55,56.4,69.7,54.26,24.95,88.25,415.13,45.22,Normal
MX0074,72.93,81.98,75.18,63.72,28.23,3.93,3.2,2.85,89.03,2365.37,7774.27,310.56,159.6,95.98,26.6,26.28,28.06,85.02,87.63,67.0,33.13,80.67,414.84,45.05,Warning
MX0075,69.59,83.12,63.83,59.93,28.73,2.46,2.17,1.77,80.47,2143.24,7956.0,295.69,143.8,99.95,25.16,30.75,26.51,86.25,86.71,72.15,38.47,84.73,415.34,45.16,Warning
MX0076,70.24,80.81,69.14,66.8,27.47,3.24,3.28,2.43,81.7,2503.27,9160.13,359.86,165.07,110.67,30.9,32.58,30.83,99.44,94.67,70.91,35.68,87.92,414.87,45.38,Failure
MX0077,58.69,61.89,57.26,56.77,26.94,0.88,0.76,0.65,72.86,1129.27,2999.51,142.23,81.82,40.57,12.61,14.34,13.3,34.29,59.28,45.15,22.99,72.15,414.82,45.07,Normal
MX0078,66.9,70.78,68.69,58.68,30.06,2.7,2.23,2.08,82.36,2190.6,8231.89,341.05,142.37,92.0,26.85,28.26,27.08,84.76,80.43,59.47,30.14,80.69,415.44,44.98,Warning
MX0079,62.79,66.55,59.31,54.71,26.6,2.58,2.3,1.69,75.87,1806.77,6639.08,234.95,131.6,87.34,23.08,23.62,19.81,76.47,76.49,59.06,30.33,81.14,414.85,44.46,Normal
MX0080,70.49,71.3,64.66,60.4,29.45,2.11,1.73,1.99,78.04,1771.14,5683.0,241.55,117.51,81.93,23.99,22.78,23.4,64.04,82.1,65.97,27.37,77.27,414.87,45.05,Warning
MX0081,62.47,62.32,61.04,52.73,27.43,1.35,1.33,1.03,73.33,1255.04,4265.98,159.36,89.75,45.29,16.39,19.13,16.25,45.75,67.99,50.87,27.39,80.78,415.41,45.07,Normal
MX0082,70.11,74.26,62.4,60.35,26.64,3.15,3.0,2.33,78.97,2180.17,8419.53,335.51,158.36,91.63,27.01,25.95,26.9,89.76,90.39,69.52,32.87,75.64,414.94,44.92,Warning
MX0083,54.38,52.63,53.41,50.89,26.79,1.95,1.91,1.54,80.38,1493.31,4389.35,177.35,87.52,53.72,13.25,17.83,12.48,46.8,62.81,45.89,23.37,85.84,415.49,44.94,Normal
MX0084,67.38,76.41,62.56,60.58,29.07,2.67,2.47,2.07,83.58,2093.78,7056.29,242.71,135.18,89.28,22.54,26.97,22.15,75.52,81.92,65.46,30.77,78.86,415.46,44.27,Normal
MX0085,59.63,63.64,56.14,51.75,27.41,2.3,2.33,1.66,81.63,2115.2,6488.62,293.48,147.12,91.21,24.12,26.21,26.31,73.62,84.49,58.79,31.98,79.85,414.95,45.16,Normal
MX0086,58.24,64.57,56.88,53.63,27.45,0.34,0.36,0.54,69.34,981.26,3182.71,164.25,68.58,45.39,13.95,12.95,11.24,35.9,62.28,44.24,23.45,84.28,414.71,45.5,Normal
MX0087,71.07,76.7,67.77,66.18,28.08,2.07,2.26,1.92,77.43,1639.58,5889.62,258.93,124.6,71.41,23.04,22.72,20.84,60.33,77.72,59.32,33.87,73.2,414.75,44.93,Warning
MX0088,57.82,60.0,55.68,48.59,25.85,1.54,1.26,1.1,75.57,1202.54,3970.31,169.88,100.33,47.26,9.67,15.87,15.43,47.01,69.83,47.85,23.93,77.24,415.3,45.12,Normal
MX0089,67.95,71.46,64.56,59.55,28.24,2.14,1.83,1.78,74.42,1717.09,5861.12,254.19,123.14,76.68,24.41,22.52,22.74,66.19,80.41,64.61,29.1,72.09,414.96,45.35,Warning
MX0090,73.81,83.54,68.97,62.97,30.36,2.98,2.48,1.89,84.39,2419.54,7898.36,329.4,135.88,104.51,30.68,28.27,28.17,84.64,97.28,72.1,40.12,80.87,414.73,45.11,Warning
MX0091,75.44,78.88,72.81,66.67,30.02,3.61,3.37,2.86,87.88,2633.57,10003.49,373.27,173.75,122.26,34.01,33.58,34.51,100.62,92.39,78.21,32.87,79.75,414.88,45.05,Failure
MX0092,53.46,56.51,50.9,46.79,29.17,1.45,0.73,0.75,71.86,1173.51,3028.44,119.8,73.25,38.75,14.22,13.29,9.22,35.61,68.25,48.87,28.59,83.95,414.9,44.98,Normal
MX0093,50.24,53.23,48.26,46.38,27.59,1.43,1.13,1.14,68.12,1303.96,5049.48,196.14,97.39,53.09,17.14,16.5,14.04,50.13,67.75,47.36,22.27,81.2,415.0,44.88,Normal
MX0094,61.93,66.36,62.5,56.38,24.74,2.31,2.22,1.77,80.58,2046.93,6453.74,306.47,128.65,78.0,25.04,23.0,24.06,70.11,80.15,67.28,25.0,79.0,415.21,45.13,Warning
MX0095,72.92,82.22,68.45,62.9,29.49,3.06,2.9,2.1,85.34,2354.86,8753.52,324.7,149.29,116.9,29.57,28.51,31.71,91.39,91.56,79.65,36.64,84.07,414.95,44.79,Failure
MX0096,70.52,71.37,63.35,59.74,26.59,2.41,2.56,2.4,79.12,2029.99,6937.28,272.0,127.3,84.79,26.05,24.2,27.45,78.86,84.24,67.19,32.44,79.12,414.2,44.83,Normal
MX0097,53.26,54.08,48.86,45.92,26.63,2.05,1.54,1.39,73.8,1636.2,4372.65,192.22,96.21,51.83,16.74,14.53,19.32,52.92,72.72,57.98,23.59,83.41,414.33,45.01,Normal
MX0098,75.05,78.25,65.7,61.09,27.53,2.75,1.87,2.08,76.4,1876.77,6999.12,269.81,130.68,79.31,25.17,25.93,25.84,69.99,87.55,66.96,29.18,76.38,414.98,44.83,Failure
MX0099,66.2,70.4,66.37,56.79,28.4,1.91,1.48,1.67,75.17,1826.2,5858.57,239.01,129.59,78.49,20.05,20.73,21.35,62.19,86.41,63.6,29.83,79.99,415.19,44.97,Normal
MX0100,60.98,67.93,58.54,57.67,27.54,1.95,1.62,1.71,74.52,1886.84,5481.12,233.24,106.49,70.49,20.29,20.23,18.54,60.44,73.64,54.2,26.53,83.79,414.86,45.21,Normal
MX0101,59.04,62.33,52.29,53.87,26.94,1.11,0.47,0.95,69.27,1354.56,4405.59,156.08,96.13,49.01,15.94,16.16,13.74,48.06,70.46,47.14,24.27,85.67,415.27,45.22,Normal
MX0102,65.75,70.26,59.22,55.95,27.96,2.3,1.92,1.74,77.05,1843.85,6677.98,256.94,125.5,73.41,25.01,21.41,23.06,59.83,80.5,62.76,29.89,79.46,414.97,44.82,Warning
MX0103,77.69,84.29,71.51,65.79,26.95,2.51,2.43,2.07,83.12,1971.39,6565.36,313.5,132.27,94.14,24.16,25.23,28.46,73.02,96.87,61.31,37.19,79.56,414.82,45.07,Failure
MX0104,60.83,64.19,58.35,51.16,26.32,1.74,1.14,1.46,76.44,1606.51,5225.42,239.81,101.59,63.74,17.78,20.53,22.37,61.1,75.32,49.75,28.6,80.55,414.66,44.75,Normal
MX0105,66.27,67.13,60.85,54.36,28.45,2.1,2.01,1.86,77.18,1723.6,6227.63,238.35,120.73,72.16,20.33,22.28,21.23,63.93,70.55,62.61,28.82,78.97,414.57,44.75,Normal
MX0106,71.79,73.09,61.93,58.89,30.42,2.37,1.75,1.74,74.69,1415.06,4811.24,173.82,94.17,58.92,17.29,17.43,18.94,48.94,72.47,55.93,26.71,74.9,414.92,44.93,Normal
MX0107,68.65,70.31,62.09,59.89,27.83,2.11,1.39,1.92,77.81,1734.6,4809.85,214.06,100.76,68.46,20.67,21.76,22.14,62.13,76.58,56.42,27.62,87.01,414.96,45.23,Normal
MX0108,73.24,74.38,68.68,61.84,29.41,2.78,2.88,2.29,86.4,2360.0,6802.92,326.04,153.89,110.63,27.42,29.89,25.63,82.82,91.84,73.31,37.48,74.61,415.06,45.02,Failure
MX0109,66.14,73.99,63.18,56.58,28.61,1.57,1.26,1.1,73.12,1410.9,5899.35,190.26,93.77,72.31,19.83,20.79,21.69,58.92,78.32,58.98,29.2,88.31,415.57,45.03,Normal
MX0110,64.91,65.39,63.29,56.41,29.48,1.95,1.63,1.53,76.31,1455.04,4661.51,189.26,85.55,55.94,16.64,14.52,15.46,46.81,75.5,54.42,26.69,78.22,415.24,44.56,Normal
MX0111,65.06,69.43,64.96,58.87,26.21,3.08,2.97,2.46,81.22,2325.36,8051.01,309.47,143.38,98.53,28.41,28.39,26.48,86.26,91.35,68.12,28.22,73.16,415.06,44.82,Warning
MX0112,68.43,73.71,64.29,62.29,29.28,1.65,1.37,1.36,77.83,1732.7,6487.18,248.69,116.65,82.47,25.6,25.1,23.13,70.86,81.22,58.2,33.15,85.67,414.71,45.02,Normal
MX0113,70.18,72.78,62.88,60.41,29.3,2.4,2.53,2.12,83.23,2469.87,8185.02,373.48,162.48,105.63,32.46,30.95,32.75,88.13,98.54,70.79,35.13,79.11,415.21,45.17,Failure
MX0114,71.55,82.8,66.01,60.89,26.88,2.45,2.75,2.06,78.72,2026.1,6771.27,264.61,130.5,83.92,25.14,24.11,26.02,71.76,80.66,64.06,29.68,74.6,414.81,45.06,Normal
MX0115,58.48,57.9,55.35,53.58,27.28,1.42,1.56,1.3,73.04,1481.4,3970.35,190.29,91.23,50.27,19.48,20.43,18.5,56.82,76.0,53.65,26.26,82.5,415.28,44.91,Normal
MX0116,47.29,52.48,44.98,45.4,25.54,0.84,0.72,0.88,67.14,1162.85,2687.13,128.92,70.94,36.38,12.28,11.4,12.15,32.49,55.29,46.12,22.82,77.95,415.17,45.14,Normal
MX0117,76.9,81.53,72.63,65.2,28.38,2.57,2.8,2.21,82.73,2236.7,8249.98,325.82,156.61,109.82,30.01,29.68,27.66,78.07,89.79,74.61,35.22,79.07,414.95,44.9,Warning
MX0118,82.51,87.79,76.2,72.02,29.35,4.32,4.16,3.61,91.96,2991.64,10590.95,388.72,199.26,127.68,36.49,36.12,37.32,110.9,104.37,79.08,41.86,81.58,415.29,45.26,Failure
MX0119,63.57,62.34,58.62,56.54,27.28,1.72,1.6,1.4,76.46,1326.94,4542.14,204.43,98.6,53.67,17.94,17.17,16.35,52.81,68.16,48.29,27.13,79.54,414.82,44.92,Normal
MX0120,69.06,73.92,66.81,58.51,27.06,2.39,2.21,2.22,81.0,1596.98,6439.24,265.42,115.06,78.75,24.92,22.04,22.32,56.48,86.64,65.97,32.59,72.02,415.18,44.97,Failure
MX0121,72.41,74.45,65.0,65.1,28.29,2.81,2.5,1.92,81.52,1985.08,7021.97,287.74,152.79,89.27,25.58,24.42,24.72,70.11,80.74,63.5,29.83,70.71,414.57,45.02,Warning
MX0122,63.92,66.14,61.36,61.67,26.68,1.85,1.3,1.77,76.18,1529.94,4703.87,196.56,89.22,52.4,20.75,16.62,16.85,54.82,75.09,50.28,27.03,73.7,415.1,44.94,Normal
MX0123,69.44,71.28,65.89,55.68,26.91,2.77,2.85,2.58,81.49,1842.37,6359.86,227.23,126.12,76.78,22.66,19.98,23.95,66.65,84.9,57.32,29.43,75.21,414.42,45.2,Failure
MX0124,62.99,65.88,53.7,55.83,27.21,1.69,1.35,1.53,73.49,1672.12,5088.92,208.04,99.96,62.19,17.9,19.71,18.53,54.07,87.72,57.46,29.59,78.08,415.33,45.05,Normal
MX0125,68.71,65.41,59.95,58.51,28.28,2.2,2.14,1.92,77.39,1834.19,5682.32,254.66,120.86,73.85,20.56,26.11,23.85,68.26,74.81,66.4,29.7,77.23,415.32,45.19,Normal
MX0126,76.82,76.82,67.2,64.22,27.19,3.08,3.09,2.53,84.69,2178.12,8041.3,316.41,146.39,107.09,26.06,26.27,28.95,75.36,89.99,68.48,32.65,79.97,415.02,45.2,Failure
MX0127,64.74,70.66,61.57,53.88,26.55,1.28,1.41,1.44,74.13,1856.55,5549.17,277.75,112.51,75.98,20.83,20.71,20.77,65.16,78.55,61.77,27.18,83.37,414.48,45.35,Warning
MX0128,77.24,77.63,66.08,66.18,26.92,2.37,2.07,1.99,76.5,2090.03,6799.06,295.81,139.05,94.65,28.89,28.35,24.39,78.31,80.95,71.27,36.23,78.52,414.7,44.96,Failure
