current_amp,voltage_v,travel_speed_mmps,wire_feed_mmps,heat_input_kjmm,gas_flow_lpm,joint_gap_mm,plate_thickness_mm,material,defect
191.9,23.07,5.84,5.51,0.758,19.7,1.16,16.0,Stainless,0
191.0,23.73,11.81,6.1,0.384,15.5,0.45,3.0,Aluminum,1
207.9,26.16,10.27,6.51,0.53,15.0,0.04,3.0,Stainless,0
219.3,26.05,9.64,5.93,0.592,14.1,0.49,3.0,Carbon,0
145.7,21.82,5.9,4.56,0.538,13.7,0.49,5.0,Stainless,0
167.9,22.48,3.0,5.35,1.258,18.2,0.73,3.0,Carbon,0
239.9,26.26,8.11,6.91,0.776,18.7,1.86,3.0,Stainless,1
175.0,22.38,6.4,5.95,0.612,16.6,1.14,5.0,Stainless,0
154.1,24.87,10.57,5.23,0.363,14.6,0.18,3.0,Stainless,0
280.2,24.66,11.14,8.74,0.621,18.2,0.36,16.0,Carbon,0
149.4,20.68,5.6,4.61,0.552,18.4,0.21,3.0,Carbon,0
179.6,24.08,4.95,5.49,0.873,19.7,0.36,12.0,Aluminum,0
229.2,26.24,8.09,6.98,0.744,18.5,0.34,5.0,Carbon,0
168.1,23.13,5.95,5.47,0.654,15.1,0.79,3.0,Carbon,0
229.1,26.2,5.05,6.57,1.187,18.4,0.47,3.0,Carbon,0
174.2,22.39,7.79,4.59,0.501,18.0,1.21,16.0,Aluminum,0
190.2,25.33,7.03,5.86,0.685,15.6,0.5,10.0,Aluminum,0
269.7,27.43,6.32,8.74,1.17,12.4,0.45,10.0,Carbon,0
186.3,22.0,13.56,5.78,0.302,17.8,0.78,12.0,Carbon,0
171.9,22.42,12.83,6.84,0.3,15.5,0.31,16.0,Stainless,0
135.0,20.39,8.04,4.09,0.342,8.2,0.17,6.0,Carbon,1
168.1,25.9,6.21,4.98,0.702,15.5,0.88,3.0,Carbon,1
209.9,24.92,8.53,6.68,0.613,11.6,1.14,10.0,Stainless,1
215.8,23.56,7.21,4.73,0.705,13.2,0.26,3.0,Stainless,0
176.5,22.21,4.38,4.73,0.896,10.8,0.74,3.0,Carbon,0
242.2,26.33,6.78,6.56,0.941,16.3,0.14,10.0,Stainless,0
151.7,22.35,4.69,4.04,0.722,20.4,0.95,8.0,Carbon,0
232.0,24.54,4.96,7.34,1.149,13.9,1.11,6.0,Carbon,0
197.6,23.87,10.4,5.55,0.454,14.3,1.23,3.0,Aluminum,0
172.1,22.36,9.89,6.62,0.389,16.2,1.2,5.0,Aluminum,0
169.4,22.13,6.36,4.09,0.589,15.4,0.29,8.0,Stainless,0
209.4,23.11,9.16,6.93,0.528,19.9,0.06,5.0,Stainless,0
158.0,23.99,3.4,3.7,1.116,15.2,0.26,12.0,Aluminum,0
175.0,24.05,6.02,5.69,0.7,18.4,1.21,12.0,Stainless,0
186.6,24.71,6.32,5.71,0.729,18.9,0.22,16.0,Carbon,0
154.1,23.3,9.33,4.96,0.385,11.6,0.06,8.0,Carbon,1
183.6,20.13,7.47,4.88,0.495,16.9,0.17,3.0,Carbon,0
227.5,26.05,7.49,7.15,0.791,24.7,0.62,12.0,Aluminum,0
215.7,24.73,6.17,6.77,0.865,18.3,0.22,10.0,Carbon,0
240.8,27.29,8.25,7.62,0.796,18.6,1.25,5.0,Carbon,0
167.2,23.35,13.79,4.5,0.283,13.9,0.56,10.0,Carbon,1
220.6,25.41,8.82,6.34,0.636,16.8,0.61,16.0,Carbon,1
149.9,24.12,8.43,3.67,0.429,21.1,0.92,5.0,Carbon,0
135.0,23.42,6.2,4.05,0.51,23.0,1.09,5.0,Carbon,1
212.1,24.4,5.51,5.8,0.939,14.4,0.42,8.0,Carbon,0
124.3,21.76,4.6,2.68,0.588,11.9,0.8,16.0,Carbon,0
135.0,22.37,13.35,5.35,0.226,16.7,0.55,10.0,Carbon,1
164.1,23.39,9.78,3.37,0.392,18.1,0.73,16.0,Carbon,1
217.9,24.42,7.64,6.26,0.697,19.4,1.17,6.0,Aluminum,0
220.7,23.64,8.81,6.55,0.592,18.5,1.3,5.0,Stainless,1
173.1,23.11,7.97,4.96,0.502,18.3,1.33,3.0,Stainless,0
127.0,22.01,8.42,3.49,0.332,15.3,0.52,8.0,Stainless,1
180.9,25.67,6.13,5.29,0.757,16.8,0.72,8.0,Aluminum,1
201.7,21.15,7.11,5.59,0.599,18.7,0.39,8.0,Stainless,0
183.0,22.17,11.74,4.61,0.346,15.7,0.27,3.0,Carbon,0
176.8,21.43,5.61,5.61,0.676,13.2,0.29,16.0,Stainless,0
186.5,23.66,7.04,6.23,0.627,10.5,0.22,3.0,Carbon,0
188.9,23.36,13.03,5.9,0.339,17.9,0.37,12.0,Carbon,0
150.2,23.45,5.23,5.31,0.673,12.7,1.22,6.0,Stainless,0
164.2,23.59,12.53,5.29,0.309,17.3,1.13,10.0,Carbon,0
181.0,23.82,8.95,4.81,0.482,15.8,0.6,10.0,Stainless,1
174.0,26.79,10.02,6.16,0.465,15.2,0.36,6.0,Carbon,0
188.3,24.06,8.85,4.17,0.512,20.4,0.93,6.0,Carbon,0
175.9,24.45,7.73,6.91,0.557,19.1,0.38,10.0,Carbon,0
111.7,19.68,7.13,2.73,0.308,14.1,0.68,8.0,Carbon,1
157.5,22.82,5.88,4.53,0.611,14.7,0.17,6.0,Stainless,1
163.6,21.46,5.71,5.45,0.615,15.8,0.61,5.0,Carbon,0
192.6,20.32,5.76,5.99,0.679,18.0,0.43,5.0,Carbon,0
176.8,21.57,13.39,4.66,0.285,17.6,1.36,8.0,Stainless,1
232.4,24.01,5.66,6.28,0.985,19.3,0.35,12.0,Carbon,0
216.8,24.59,7.77,5.99,0.686,18.8,0.28,5.0,Stainless,1
182.4,22.92,6.95,4.38,0.601,15.6,1.49,8.0,Carbon,1
168.6,22.6,8.77,5.5,0.435,14.6,0.26,5.0,Carbon,0
209.5,25.21,5.01,6.06,1.055,16.2,1.02,8.0,Carbon,0
174.4,23.22,6.84,4.4,0.592,15.7,1.29,8.0,Stainless,0
132.5,21.13,3.33,3.58,0.842,9.4,1.61,5.0,Carbon,1
147.9,21.32,10.05,3.88,0.314,9.2,0.25,3.0,Stainless,0
193.0,23.17,5.09,5.76,0.878,17.9,1.1,8.0,Stainless,0
173.5,22.75,7.21,3.96,0.547,13.2,0.59,16.0,Carbon,0
206.1,23.54,7.89,6.09,0.615,12.8,2.43,6.0,Carbon,1
201.3,22.85,12.62,6.96,0.365,14.6,1.04,10.0,Aluminum,1
174.8,23.41,7.08,5.19,0.578,16.5,0.54,12.0,Stainless,0
185.6,23.36,11.33,4.76,0.383,18.7,0.49,16.0,Aluminum,1
181.7,24.36,10.75,5.38,0.412,19.1,0.21,3.0,Aluminum,1
152.4,21.48,12.26,5.14,0.267,17.1,0.14,5.0,Stainless,0
185.2,23.69,10.29,5.38,0.426,19.9,0.6,5.0,Aluminum,1
140.9,21.35,4.26,3.48,0.706,14.2,1.15,6.0,Carbon,0
144.3,22.55,5.44,3.27,0.599,10.5,2.23,5.0,Carbon,1
190.2,24.72,4.98,5.41,0.943,19.1,0.29,16.0,Stainless,1
191.0,23.14,9.5,5.8,0.465,14.1,0.67,3.0,Stainless,0
229.1,25.77,8.24,6.08,0.716,14.5,0.55,5.0,Carbon,0
144.6,22.53,7.62,3.94,0.428,19.7,0.69,12.0,Carbon,1
170.1,23.73,8.96,5.59,0.45,16.9,1.31,10.0,Carbon,0
152.7,25.09,7.47,4.37,0.513,14.3,1.1,8.0,Stainless,1
169.4,23.01,7.36,4.68,0.529,14.7,0.17,5.0,Carbon,0
171.4,22.41,11.63,5.16,0.33,18.2,0.68,3.0,Carbon,1
177.9,23.31,7.79,5.99,0.532,21.1,0.39,3.0,Carbon,0
201.8,21.96,8.83,5.66,0.502,16.3,1.17,8.0,Carbon,1
177.9,24.68,8.26,5.45,0.531,19.6,0.56,8.0,Stainless,0
211.0,24.22,9.25,6.61,0.552,16.6,0.27,6.0,Carbon,1
199.3,24.1,12.44,7.08,0.386,16.3,0.09,10.0,Carbon,0
194.9,22.51,6.08,4.89,0.722,24.3,0.34,3.0,Carbon,0
222.6,25.22,7.95,7.09,0.706,21.5,0.59,6.0,Carbon,0
179.1,23.59,5.78,4.98,0.73,16.4,0.24,12.0,Stainless,0
195.5,22.66,7.32,5.22,0.605,11.9,0.43,16.0,Carbon,0
184.4,23.78,6.36,4.77,0.689,14.0,0.25,12.0,Stainless,1
145.6,23.35,6.71,4.19,0.507,17.0,0.39,12.0,Aluminum,1
155.8,24.24,10.62,4.83,0.356,17.5,0.31,10.0,Stainless,0
155.8,23.23,9.98,5.39,0.363,17.3,0.88,10.0,Stainless,1
171.4,22.34,9.17,5.2,0.418,20.2,0.17,16.0,Stainless,0
144.1,22.51,6.54,4.49,0.496,15.9,0.72,16.0,Carbon,0
143.9,21.08,7.81,3.1,0.389,19.6,0.44,5.0,Carbon,0
200.7,23.18,7.35,6.09,0.633,17.5,0.5,10.0,Stainless,1
104.9,21.35,7.98,2.11,0.281,9.7,0.24,16.0,Carbon,1
210.3,24.21,6.74,6.02,0.755,12.9,0.76,8.0,Carbon,1
189.1,23.3,6.65,5.65,0.663,15.3,0.21,3.0,Stainless,0
207.9,27.38,10.25,6.58,0.555,17.3,0.69,10.0,Aluminum,1
228.1,24.42,5.89,6.19,0.945,15.8,0.75,5.0,Stainless,0
128.1,21.39,10.33,4.37,0.265,16.6,0.33,10.0,Carbon,0
201.5,25.04,9.68,6.05,0.521,16.9,0.05,16.0,Carbon,0
206.8,23.98,5.25,6.8,0.944,12.5,0.3,3.0,Carbon,0
225.0,24.55,6.81,8.08,0.811,15.5,0.18,10.0,Stainless,0
205.3,24.46,11.49,6.52,0.437,17.2,0.31,8.0,Carbon,0
194.2,23.13,5.52,5.76,0.813,19.0,0.44,3.0,Stainless,0
197.8,23.3,8.34,7.11,0.553,19.3,0.82,10.0,Stainless,1
179.4,20.27,6.84,5.22,0.531,16.5,0.73,3.0,Stainless,0
164.7,23.99,9.56,5.46,0.413,20.4,0.85,3.0,Carbon,0
178.8,23.56,6.63,4.05,0.635,15.9,1.41,16.0,Carbon,0
215.9,25.04,8.14,7.22,0.664,16.2,1.14,8.0,Carbon,0
140.2,23.32,9.44,4.54,0.346,17.9,0.36,3.0,Carbon,0
173.5,23.54,6.56,4.77,0.623,24.9,0.83,3.0,Carbon,1
184.3,24.78,6.77,4.97,0.675,12.0,1.24,8.0,Carbon,0
175.1,25.42,10.21,5.62,0.436,19.3,0.44,6.0,Aluminum,0
172.8,23.35,8.24,6.75,0.49,14.1,0.58,5.0,Stainless,0
132.2,20.96,8.4,6.08,0.33,14.4,0.56,10.0,Carbon,0
171.1,22.31,12.17,4.49,0.314,19.5,0.25,8.0,Stainless,0
180.9,23.64,9.41,5.23,0.455,12.2,0.65,10.0,Carbon,1
145.4,23.3,5.26,4.39,0.644,16.1,0.57,12.0,Stainless,1
213.0,25.7,8.69,6.13,0.63,21.8,0.11,8.0,Carbon,0
176.5,24.52,11.03,4.27,0.392,17.1,0.61,8.0,Aluminum,0
177.8,21.51,7.62,4.51,0.502,13.5,0.53,12.0,Carbon,1
219.3,25.71,12.08,6.86,0.467,19.3,0.94,5.0,Aluminum,0
179.8,23.2,7.63,4.48,0.547,19.8,0.64,10.0,Stainless,1
173.6,21.41,7.73,5.95,0.481,15.6,0.54,5.0,Stainless,0
245.1,28.18,7.13,7.82,0.968,14.1,0.9,6.0,Stainless,1
164.2,22.47,6.26,5.61,0.589,11.3,0.96,10.0,Stainless,0
210.1,25.18,9.34,7.26,0.567,12.7,0.19,8.0,Carbon,0
204.3,24.49,9.4,6.18,0.532,16.1,0.11,10.0,Carbon,0
166.8,22.28,9.25,6.32,0.402,17.7,0.15,10.0,Carbon,0
160.7,21.81,6.32,3.99,0.554,11.1,0.82,10.0,Stainless,0
184.2,25.4,11.13,6.97,0.42,13.2,0.8,6.0,Carbon,1
190.2,23.12,11.33,5.41,0.388,16.7,0.25,6.0,Carbon,0
178.0,22.52,6.99,4.48,0.573,18.3,0.98,10.0,Carbon,0
223.3,25.25,8.09,7.02,0.697,20.0,0.49,6.0,Carbon,0
188.2,21.19,7.08,5.81,0.563,12.9,0.36,5.0,Carbon,0
199.6,23.15,10.31,6.28,0.448,13.8,0.3,6.0,Carbon,0
149.9,20.88,9.12,5.1,0.343,13.8,0.63,5.0,Carbon,1
196.6,25.16,3.89,6.49,1.271,14.1,0.52,16.0,Carbon,0
168.8,24.23,10.32,5.92,0.396,13.3,0.59,12.0,Carbon,0
216.8,24.6,8.52,7.57,0.626,11.8,0.76,8.0,Carbon,0
162.1,21.76,13.38,4.44,0.264,11.2,0.47,8.0,Carbon,0
169.9,22.22,6.67,5.49,0.566,16.6,0.58,8.0,Aluminum,0
204.0,22.3,10.3,6.84,0.442,19.2,0.81,12.0,Carbon,0
167.6,23.64,10.35,5.21,0.383,13.6,0.3,16.0,Carbon,1
209.9,25.8,12.0,6.68,0.451,17.0,0.84,5.0,Carbon,0
219.3,23.28,3.7,5.26,1.38,19.0,0.33,8.0,Carbon,0
165.3,21.99,6.31,5.67,0.576,17.4,0.52,10.0,Carbon,0
195.0,24.21,6.58,5.97,0.718,13.0,0.38,16.0,Carbon,0
199.9,25.02,7.9,6.9,0.633,12.3,1.12,16.0,Carbon,1
193.2,22.67,8.2,5.93,0.534,16.9,0.5,10.0,Carbon,0
257.0,25.39,6.15,7.26,1.061,17.4,1.05,5.0,Carbon,0
164.1,24.32,7.8,5.29,0.512,17.9,0.08,10.0,Stainless,1
208.2,22.87,4.64,6.93,1.026,16.3,0.78,6.0,Aluminum,0
180.0,22.43,6.77,4.94,0.596,17.2,0.86,5.0,Carbon,0
206.3,22.62,9.06,6.25,0.515,17.2,0.87,3.0,Carbon,0
213.2,25.83,6.42,6.3,0.858,20.1,0.17,3.0,Carbon,0
214.7,24.16,6.02,5.96,0.861,13.6,1.04,3.0,Aluminum,0
175.9,25.55,4.13,5.21,1.087,14.5,1.01,6.0,Carbon,0
164.3,22.43,14.18,5.5,0.26,10.3,1.01,10.0,Stainless,1
167.9,24.56,7.4,4.85,0.557,17.4,0.27,6.0,Aluminum,1
227.7,24.97,7.67,7.38,0.741,17.2,0.51,3.0,Carbon,0
115.4,20.52,9.81,3.17,0.241,17.4,0.77,3.0,Carbon,0
176.1,23.97,9.28,5.29,0.455,20.9,0.1,5.0,Stainless,0
165.9,24.65,9.21,5.24,0.444,18.8,0.69,12.0,Carbon,0
202.0,24.23,4.73,6.68,1.035,17.1,0.05,12.0,Stainless,0
209.5,25.33,9.55,5.98,0.555,16.9,0.53,10.0,Carbon,0
214.5,22.65,3.0,7.18,1.619,21.0,0.25,16.0,Stainless,0
230.8,23.16,9.66,6.38,0.553,20.5,1.05,16.0,Stainless,0
163.6,21.2,7.11,5.58,0.487,17.2,0.8,5.0,Carbon,1
176.8,21.62,10.58,4.94,0.361,14.8,0.24,16.0,Carbon,0
171.7,25.3,8.37,4.45,0.519,15.9,0.42,16.0,Carbon,1
179.7,21.16,8.83,4.95,0.431,15.7,1.15,6.0,Stainless,0
185.9,23.4,9.8,5.57,0.444,19.6,0.4,3.0,Carbon,0
210.4,26.7,7.04,6.73,0.798,12.0,0.28,8.0,Carbon,0
252.4,26.61,7.05,7.15,0.953,18.4,0.35,5.0,Carbon,0
272.8,25.77,9.53,7.95,0.738,19.5,1.28,8.0,Carbon,1
173.5,25.2,3.0,4.34,1.458,14.2,1.93,10.0,Carbon,1
172.7,25.35,9.54,4.59,0.459,17.5,0.7,10.0,Carbon,0
149.3,22.68,7.44,4.53,0.455,16.0,0.79,5.0,Stainless,1
204.4,23.96,9.15,6.1,0.535,17.0,0.64,12.0,Carbon,0
252.6,26.71,5.16,7.02,1.308,14.5,0.9,16.0,Carbon,1
133.8,21.6,7.57,3.35,0.382,15.0,0.64,12.0,Carbon,0
126.7,22.94,6.84,3.18,0.425,16.2,0.36,16.0,Stainless,1
209.5,24.42,4.24,5.97,1.206,20.4,0.27,12.0,Carbon,0
190.7,22.53,6.63,4.95,0.648,14.4,1.12,3.0,Carbon,0
212.5,26.01,7.21,6.09,0.766,11.4,1.31,3.0,Carbon,0
153.5,23.42,9.97,3.92,0.361,16.3,1.65,12.0,Carbon,1
168.7,22.54,8.61,4.82,0.442,12.2,1.27,10.0,Stainless,0
196.3,24.82,6.11,7.09,0.798,15.6,0.39,3.0,Aluminum,0
211.1,25.49,6.52,7.22,0.826,15.5,1.19,6.0,Carbon,0
180.2,24.48,9.31,5.89,0.474,12.9,0.82,10.0,Carbon,0
184.6,25.06,12.42,5.22,0.372,17.4,0.2,8.0,Carbon,0
167.7,25.29,7.46,3.62,0.568,16.0,0.29,6.0,Aluminum,1
207.4,22.32,5.05,7.12,0.917,19.4,1.68,5.0,Aluminum,0
212.0,24.25,7.17,6.23,0.717,13.5,0.64,12.0,Carbon,0
191.6,20.81,9.62,6.65,0.414,8.0,0.41,16.0,Aluminum,1
177.6,23.51,9.25,5.29,0.451,17.9,0.4,3.0,Aluminum,0
197.7,22.13,9.96,5.65,0.439,15.5,0.34,8.0,Aluminum,0
191.3,25.94,9.9,6.3,0.501,13.7,0.26,6.0,Carbon,0
161.5,24.95,10.52,4.76,0.383,14.8,1.39,10.0,Stainless,0
193.2,22.89,5.59,7.0,0.792,14.4,1.09,12.0,Carbon,1
177.5,21.32,10.85,6.45,0.349,15.4,0.63,10.0,Carbon,1
160.6,22.54,8.39,4.98,0.431,14.4,0.28,12.0,Carbon,0
177.2,23.39,10.46,5.04,0.396,12.9,0.75,5.0,Carbon,0
197.0,23.17,10.3,6.99,0.443,12.4,0.28,16.0,Carbon,1
168.4,22.71,10.39,4.39,0.368,11.6,1.57,8.0,Stainless,0
138.7,22.9,8.25,4.02,0.385,14.1,0.29,16.0,Stainless,0
162.6,24.11,7.03,3.82,0.558,16.9,1.33,12.0,Stainless,0
245.1,25.7,7.97,7.18,0.79,14.4,0.74,6.0,Carbon,0
197.4,23.63,10.51,6.1,0.444,15.7,0.1,12.0,Stainless,0
202.6,24.22,3.68,5.65,1.334,17.3,0.45,6.0,Carbon,0
208.7,23.9,9.3,6.8,0.536,14.2,0.83,6.0,Carbon,0
261.5,26.66,10.47,7.12,0.666,19.5,0.23,5.0,Carbon,0
182.5,23.16,7.74,5.0,0.546,16.1,0.6,10.0,Carbon,0
183.5,24.21,6.79,5.95,0.654,12.1,0.37,5.0,Stainless,1
190.1,23.62,4.82,4.7,0.931,17.0,0.41,3.0,Carbon,0
181.3,24.32,8.04,6.26,0.549,10.4,0.33,6.0,Stainless,1
204.3,23.14,5.64,5.91,0.838,13.1,0.94,10.0,Carbon,1
156.5,21.9,7.21,3.66,0.475,15.7,0.99,8.0,Aluminum,0
167.2,23.29,7.2,5.66,0.541,13.5,0.39,5.0,Stainless,0
172.4,23.12,5.3,5.54,0.752,14.2,0.29,6.0,Aluminum,0
237.1,24.3,5.25,8.05,1.098,12.4,1.28,12.0,Carbon,0
227.9,25.47,9.16,5.95,0.634,16.5,0.51,16.0,Carbon,0
147.1,23.27,4.94,3.68,0.692,12.1,1.09,12.0,Stainless,0
139.4,21.32,5.47,4.47,0.544,14.6,3.11,10.0,Aluminum,1
193.3,22.35,5.48,5.4,0.788,15.9,0.42,5.0,Aluminum,0
212.1,23.85,6.03,6.62,0.839,18.8,0.11,10.0,Carbon,0
191.3,24.35,10.1,6.0,0.461,14.8,0.59,12.0,Carbon,0
137.3,23.85,6.6,4.71,0.496,17.1,1.84,16.0,Carbon,1
185.0,24.13,4.51,6.47,0.99,13.7,0.4,6.0,Carbon,0
217.1,24.25,7.95,6.74,0.662,15.0,1.09,10.0,Carbon,0
200.8,23.28,6.86,5.55,0.682,18.9,1.09,12.0,Aluminum,1
221.1,24.13,8.94,6.3,0.596,16.0,0.35,16.0,Aluminum,1
127.5,20.91,5.02,4.13,0.531,14.8,0.84,10.0,Carbon,0
207.9,23.8,12.16,4.9,0.407,18.1,0.1,8.0,Stainless,0
217.3,25.2,7.39,7.01,0.742,14.9,0.81,10.0,Stainless,0
161.1,21.31,10.96,5.18,0.313,18.3,1.2,12.0,Aluminum,1
214.7,24.17,11.37,6.47,0.456,17.2,1.54,6.0,Carbon,1
151.5,23.07,6.4,4.62,0.546,16.5,1.58,3.0,Stainless,0
141.1,22.74,7.9,4.02,0.406,10.3,1.05,12.0,Carbon,1
