machine_id,air_temp_k,process_temp_k,rotational_speed_rpm,torque_nm,tool_wear_min,vibration_mm_s,unplanned_downtime_min,failure_mode,failure
M025,297.1,306.76,1570,51.35,137.0,4.13,0.0,None,0
M012,300.4,311.67,1364,51.31,161.2,3.53,0.0,None,0
M028,301.02,309.21,1529,42.59,13.6,3.79,0.0,None,0
M024,298.3,308.0,1633,40.0,207.6,3.82,0.0,None,0
M028,301.8,311.85,1467,35.69,148.6,3.24,0.0,None,0
M032,301.98,312.31,1330,41.07,176.7,3.39,0.0,None,0
M011,300.27,309.26,1674,31.11,72.4,3.65,0.0,None,0
M033,298.17,309.24,1518,23.15,54.3,4.17,0.0,None,0
M023,299.75,308.48,1565,24.16,4.4,3.38,0.0,None,0
M029,301.88,312.52,1231,41.55,147.3,3.88,0.0,None,0
M035,301.83,314.0,1259,38.45,226.0,3.68,0.0,None,0
M008,299.81,307.57,1651,38.42,182.1,3.79,0.0,None,0
M015,299.55,310.01,1525,31.22,34.5,3.83,187.0,ToolWear,1
M020,301.52,312.61,1694,39.63,247.8,3.45,170.0,Overstrain,1
M007,301.36,309.75,1663,52.55,,4.04,0.0,None,0
M023,302.09,312.41,1465,31.68,234.3,4.15,0.0,None,0
M001,297.79,307.68,1744,17.86,218.4,3.28,0.0,None,0
M018,299.78,309.33,1465,44.81,166.1,3.69,0.0,None,0
M004,301.83,310.48,1298,27.71,226.7,2.9,0.0,None,0
M017,298.55,307.97,1596,33.5,57.3,3.38,0.0,None,0
M018,300.28,309.95,1636,49.1,69.5,3.94,0.0,None,0
M026,298.55,306.8,1271,42.3,242.4,3.3,97.0,HeatDissipation,1
M001,302.0,309.93,1505,46.32,105.2,3.97,0.0,None,0
M011,302.73,311.55,1848,43.28,44.2,3.71,0.0,None,0
M028,299.0,307.95,1751,29.68,170.7,3.75,0.0,None,0
M039,304.86,314.0,1519,12.67,65.3,2.84,0.0,None,0
M029,301.77,311.75,1427,47.5,54.0,3.82,0.0,None,0
M021,299.46,309.82,1785,36.54,192.6,3.91,0.0,None,0
M038,301.15,310.6,1705,36.43,165.5,3.7,0.0,None,0
M037,299.17,309.89,1951,28.09,80.1,4.17,163.0,ToolWear,1
M030,302.2,312.53,1198,49.26,78.1,4.36,0.0,None,0
M025,299.8,309.35,1523,59.26,208.4,3.68,183.0,Overstrain,1
M018,298.35,309.05,1686,44.0,234.2,3.54,0.0,None,0
M035,299.59,309.66,1553,31.08,7.1,3.19,0.0,None,0
M032,297.54,307.81,1538,53.12,164.0,3.95,0.0,None,0
M023,295.45,307.16,1394,25.33,222.3,3.92,0.0,None,0
M031,297.18,305.8,1578,36.35,177.7,3.46,0.0,None,0
M037,301.14,310.6,1560,39.11,189.6,4.03,309.0,ToolWear,1
M003,298.88,308.53,1648,33.59,257.4,3.49,0.0,None,0
M015,300.78,311.35,1415,14.66,189.0,3.12,0.0,None,0
M002,299.05,307.72,1871,50.66,63.6,4.34,0.0,None,0
M031,299.88,308.86,1733,33.99,184.7,3.94,0.0,None,0
M008,300.6,308.92,2092,29.39,14.5,3.9,0.0,None,0
M026,301.72,309.3,1565,45.45,35.0,3.61,0.0,None,0
M038,298.02,306.92,1617,35.66,190.3,3.85,0.0,None,0
M017,298.28,306.73,1659,41.89,47.2,3.5,0.0,None,0
M016,300.11,309.9,1608,42.91,21.5,3.92,0.0,None,0
M018,303.2,314.0,1566,37.28,157.7,3.7,0.0,None,0
M033,300.56,310.7,1497,36.19,88.9,4.06,0.0,None,0
M008,299.63,308.3,1338,43.36,89.3,3.46,0.0,None,0
M015,299.68,310.72,1631,26.6,185.2,3.3,0.0,None,0
M020,299.51,310.92,1354,24.74,190.7,3.05,76.0,PowerFailure,1
M026,298.76,309.11,1369,25.47,176.5,3.38,0.0,None,0
M029,301.79,312.1,1308,35.49,234.2,3.81,0.0,None,0
M015,303.8,313.24,1519,38.54,90.0,3.53,0.0,None,0
M021,300.58,311.51,1561,45.28,172.5,,0.0,None,0
M033,297.11,308.49,1386,41.75,210.4,3.56,0.0,None,0
M027,296.36,305.52,1708,41.79,140.4,4.65,0.0,None,0
M021,303.95,314.0,1160,42.22,123.8,3.12,0.0,None,0
M009,296.52,305.82,1698,28.73,39.0,3.26,0.0,None,0
M038,304.79,314.0,1441,38.95,93.8,3.23,0.0,None,0
M015,300.99,313.64,1562,31.26,111.8,3.6,0.0,None,0
M033,299.76,310.68,1719,44.38,35.9,3.79,0.0,None,0
M011,301.75,313.56,1793,50.8,211.7,4.12,309.0,Overstrain,1
M040,300.1,308.63,1743,48.63,159.2,3.82,330.0,PowerFailure,1
M024,303.41,314.0,1724,44.5,201.3,3.71,0.0,None,0
M014,299.06,311.4,1369,42.0,156.0,3.44,0.0,None,0
M021,300.68,310.31,1494,44.32,119.0,3.58,0.0,None,0
M012,298.96,309.7,1862,46.9,227.7,5.0,0.0,None,0
M038,301.1,310.79,1401,55.78,228.2,3.48,0.0,None,0
M026,301.69,311.75,1481,37.8,90.5,4.14,0.0,None,0
M022,297.4,306.44,1881,38.43,219.5,3.65,301.0,Overstrain,1
M029,296.74,307.79,1791,34.89,38.0,3.77,0.0,None,0
M034,302.06,312.08,1582,25.72,213.4,3.81,0.0,None,0
M018,301.62,310.64,1576,28.32,160.3,3.25,0.0,None,0
M029,300.99,310.89,1689,24.75,204.0,4.41,0.0,None,0
M007,298.6,307.44,1747,58.55,218.3,3.93,291.0,Overstrain,1
M026,297.69,307.57,1622,30.9,66.7,3.73,0.0,None,0
M010,297.98,307.79,1469,39.59,175.7,3.61,0.0,None,0
M027,300.07,308.99,1321,34.38,165.5,3.67,0.0,None,0
M040,298.05,307.32,1591,24.08,181.8,3.33,0.0,None,0
M007,298.03,310.84,1772,49.86,4.3,4.59,340.0,PowerFailure,1
M013,300.78,311.76,1209,33.08,223.5,3.0,110.0,ToolWear,1
M002,303.43,313.37,1354,38.58,75.6,3.39,0.0,None,0
M014,303.96,311.9,1741,37.73,154.8,3.95,0.0,None,0
M022,300.56,310.39,1372,44.02,7.4,3.81,0.0,None,0
M021,302.39,310.25,1594,35.3,154.9,3.25,70.0,ToolWear,1
M033,301.06,312.4,1640,46.19,100.9,3.58,301.0,ToolWear,1
M005,300.83,310.98,1599,32.71,168.5,3.67,0.0,None,0
M028,299.91,311.94,1605,46.84,185.5,3.69,0.0,None,0
M007,298.83,309.56,1546,37.26,165.1,3.34,0.0,None,0
M036,299.01,309.29,1499,19.08,193.2,3.51,164.0,PowerFailure,1
M032,300.57,310.65,1414,28.97,44.6,3.26,0.0,None,0
M016,303.02,312.09,1459,41.73,139.0,3.26,0.0,None,0
M020,297.36,307.52,1349,23.99,64.0,3.29,0.0,None,0
M012,298.95,306.83,1533,19.8,157.4,3.84,0.0,None,0
M009,297.73,307.36,1431,24.9,,,0.0,None,0
M034,301.44,313.8,1519,29.93,256.2,3.1,0.0,None,0
M037,305.0,314.0,1719,64.86,245.8,4.45,171.0,Overstrain,1
M008,301.06,311.64,1544,48.23,57.7,3.75,0.0,None,0
M011,297.43,308.38,1626,58.2,117.4,4.95,0.0,None,0
M012,301.04,309.78,1363,47.99,42.7,3.43,58.0,HeatDissipation,1
M028,304.1,314.0,1481,39.63,196.5,3.43,0.0,None,0
M002,298.46,307.79,1543,35.05,23.1,3.63,0.0,None,0
M028,295.42,305.37,1645,41.56,143.1,3.5,0.0,None,0
M007,295.97,305.0,1817,46.25,,3.73,0.0,None,0
M004,300.96,309.41,1783,40.12,199.5,4.3,0.0,None,0
M007,296.14,305.83,1319,33.65,146.8,3.36,0.0,None,0
M004,303.15,312.52,1413,62.19,234.0,3.61,280.0,Overstrain,1
M003,295.12,305.0,1233,39.54,15.4,3.79,0.0,None,0
M031,299.66,310.86,1531,40.21,237.7,3.89,0.0,None,0
M037,297.34,307.21,1207,57.58,97.0,3.38,0.0,None,0
M006,301.74,310.39,1618,48.09,39.8,4.43,0.0,None,0
M033,300.73,309.48,1542,24.84,9.8,3.08,0.0,None,0
M008,301.27,310.15,1612,27.15,81.1,4.0,0.0,None,0
M033,301.48,312.32,1510,39.67,143.2,3.35,0.0,None,0
M035,298.34,308.31,1444,44.42,90.2,3.49,0.0,None,0
M029,300.19,310.57,1326,36.6,80.1,,0.0,None,0
M023,298.11,307.61,1353,51.18,257.9,3.51,277.0,Overstrain,1
M036,299.23,309.07,1580,39.92,153.3,3.58,0.0,None,0
M036,300.35,310.28,1560,47.16,6.7,3.7,0.0,None,0
M007,299.14,309.94,1321,32.37,39.2,3.06,0.0,None,0
M036,297.11,307.22,1491,32.81,208.9,3.13,0.0,None,0
M007,297.26,307.31,1381,51.1,129.8,3.74,0.0,None,0
M030,297.57,308.59,1517,53.29,67.9,3.58,0.0,None,0
M035,297.71,307.55,1638,45.95,244.6,3.58,0.0,None,0
M004,297.59,308.48,1604,34.35,186.5,,0.0,None,0
M021,302.75,312.59,1466,43.26,39.3,4.0,0.0,None,0
M021,301.65,312.28,1614,54.61,204.0,4.21,0.0,None,0
M037,300.58,309.72,1473,54.5,45.1,5.18,0.0,None,0
M011,302.8,312.99,1386,26.47,254.2,3.27,0.0,None,0
M020,301.03,311.58,1639,27.98,174.3,4.31,0.0,None,0
M007,298.98,308.32,1400,40.14,256.5,3.34,331.0,Overstrain,1
M032,302.32,312.41,1323,40.55,94.3,3.76,0.0,None,0
M018,301.01,311.2,1424,48.78,194.1,4.36,0.0,None,0
M036,295.69,305.0,1642,49.6,115.3,3.87,0.0,None,0
M033,304.58,313.96,1599,41.32,114.9,3.83,0.0,None,0
M034,299.71,308.76,1792,42.8,230.0,3.63,0.0,None,0
M038,296.41,307.46,1488,47.49,44.8,3.59,0.0,None,0
M001,302.67,312.83,1629,41.87,31.1,3.44,0.0,None,0
M021,300.23,310.89,1696,27.58,173.2,3.64,0.0,None,0
M011,300.29,309.55,1689,27.08,218.0,4.31,0.0,None,0
M021,302.9,312.48,1244,42.17,217.7,3.28,0.0,None,0
M001,301.76,311.68,1826,60.2,243.0,3.96,56.0,Overstrain,1
M036,300.66,311.4,1331,47.94,59.0,3.63,0.0,None,0
M029,300.45,309.3,1377,50.89,28.4,4.62,219.0,HeatDissipation,1
M024,300.2,309.21,1715,37.01,253.5,3.79,0.0,None,0
M039,299.63,310.59,1504,16.91,74.7,3.24,0.0,None,0
M034,297.18,306.34,1657,39.64,179.0,3.68,0.0,None,0
M020,302.19,312.14,1588,38.17,163.3,3.8,0.0,None,0
M020,300.0,309.61,1844,40.03,99.2,4.12,0.0,None,0
M002,299.77,311.16,1428,27.8,221.3,3.3,0.0,None,0
M039,301.53,311.52,1405,38.06,162.5,3.92,0.0,None,0
M007,298.59,307.66,1471,48.23,183.5,4.42,151.0,Overstrain,1
M029,299.15,310.31,1650,56.35,222.7,4.06,110.0,Overstrain,1
M020,301.38,310.96,1604,44.04,40.6,3.7,0.0,None,0
M019,299.53,309.74,1621,43.95,18.0,3.97,260.0,ToolWear,1
M008,297.74,306.94,1227,41.77,206.6,3.71,0.0,None,0
M007,297.83,306.5,1374,30.9,222.9,3.46,199.0,HeatDissipation,1
M040,305.0,314.0,1281,36.4,234.2,3.34,79.0,Overstrain,1
M037,298.85,308.66,1788,37.35,73.0,4.06,0.0,None,0
M017,304.51,314.0,1697,55.76,191.2,5.2,0.0,None,0
M003,298.48,308.29,1539,3.0,,2.8,0.0,None,0
M027,300.72,309.95,1614,33.87,90.7,3.68,0.0,None,0
M003,299.03,310.41,1690,31.96,93.5,3.47,0.0,None,0
M032,297.56,307.84,1557,29.39,135.0,3.18,0.0,None,0
M001,299.29,308.73,1191,45.52,26.7,3.5,0.0,None,0
M029,304.23,314.0,1341,47.83,157.4,3.6,0.0,None,0
M034,298.37,308.02,1201,54.09,205.6,3.87,0.0,None,0
M039,297.86,309.33,1610,40.02,72.6,3.68,0.0,None,0
M029,300.76,311.83,1316,23.12,12.6,3.03,0.0,None,0
M022,297.86,307.87,1160,31.49,213.7,3.02,203.0,ToolWear,1
M003,298.26,308.22,1589,41.84,247.4,3.41,0.0,None,0
M016,296.96,306.64,1909,48.39,220.6,4.2,0.0,None,0
M003,301.91,311.72,1597,42.82,161.5,4.45,0.0,None,0
M025,301.32,310.54,1433,34.6,58.7,3.33,0.0,None,0
M007,295.02,305.44,1771,41.81,87.5,5.44,0.0,None,0
M021,301.31,309.16,1260,35.01,196.8,3.46,0.0,None,0
M028,299.41,310.27,1635,37.75,1.0,4.01,0.0,None,0
M003,299.73,309.17,1838,51.4,25.1,3.84,0.0,None,0
M015,298.37,308.63,1569,17.3,58.2,3.51,0.0,None,0
M032,300.35,310.49,1423,33.97,221.4,3.48,0.0,None,0
M033,301.19,311.41,1809,32.33,86.9,3.57,0.0,None,0
M010,298.23,311.15,1382,45.06,111.4,4.18,0.0,None,0
M039,299.86,307.9,1627,61.11,159.4,4.48,160.0,Overstrain,1
M039,299.79,308.63,1576,16.46,70.6,3.44,0.0,None,0
M027,298.23,308.07,1568,29.87,36.1,3.46,0.0,None,0
M019,298.77,309.45,1533,41.63,66.3,4.05,163.0,ToolWear,1
M019,299.66,308.36,1433,30.4,226.7,3.23,0.0,None,0
M022,301.59,313.15,1597,43.06,57.1,3.78,0.0,None,0
M035,298.52,307.05,1207,47.95,124.3,3.31,0.0,None,0
M016,299.91,309.54,1786,24.03,127.7,3.47,0.0,None,0
M011,301.95,311.86,1434,47.17,227.8,4.06,289.0,Overstrain,1
M025,302.72,312.38,1295,37.74,231.8,3.07,0.0,None,0
M029,296.94,307.24,1537,39.78,171.8,3.32,0.0,None,0
M030,300.34,311.38,1583,37.07,88.4,3.82,0.0,None,0
M002,299.42,309.22,1483,37.6,215.9,3.48,0.0,None,0
M009,298.79,309.49,1704,67.51,5.1,4.08,0.0,None,0
M011,298.44,309.54,1548,43.83,196.1,4.23,0.0,None,0
M001,303.35,312.87,1888,50.67,5.2,4.12,0.0,None,0
M026,301.96,312.09,1579,42.9,45.0,3.57,0.0,None,0
M032,299.38,307.62,1410,45.18,,3.51,0.0,None,0
M030,300.13,309.73,1584,52.72,111.5,3.97,0.0,None,0
M017,299.76,309.98,1545,33.37,140.6,3.44,0.0,None,0
M018,299.52,311.06,1559,27.02,66.2,3.29,0.0,None,0
M037,301.59,309.33,1647,47.58,242.5,3.97,177.0,Overstrain,1
M019,298.98,309.15,1258,46.66,232.0,3.54,0.0,None,0
M029,301.41,310.95,1766,23.68,152.3,3.49,0.0,None,0
M030,297.04,305.76,1334,31.36,68.2,3.66,0.0,None,0
M025,300.47,309.51,1567,41.82,208.0,3.42,0.0,None,0
M030,299.72,309.69,1457,44.67,213.1,3.38,0.0,None,0
M037,298.8,309.71,1501,44.06,171.5,4.32,0.0,None,0
M030,300.82,310.33,1409,24.57,4.3,,0.0,None,0
M025,300.24,311.11,1613,38.12,16.4,3.71,0.0,None,0
M037,299.32,308.39,1584,27.82,197.1,3.09,0.0,None,0
M010,302.68,312.04,1231,43.77,257.6,3.81,217.0,Overstrain,1
M004,299.73,309.89,1659,62.42,202.5,3.91,244.0,Overstrain,1
M034,299.61,310.11,1477,40.39,103.6,3.56,0.0,None,0
M012,298.9,309.54,1654,36.93,54.0,4.22,0.0,None,0
M033,302.22,311.27,1497,37.61,186.6,3.39,0.0,None,0
M030,301.92,312.35,1785,31.85,197.9,3.57,0.0,None,0
M024,295.24,305.14,1411,40.11,98.3,3.46,0.0,None,0
M036,298.15,309.25,1598,53.55,203.0,4.36,154.0,Overstrain,1
M012,300.72,310.47,1346,31.59,106.5,3.31,0.0,None,0
M034,301.93,312.61,1682,63.32,255.7,4.56,322.0,Overstrain,1
M011,301.04,311.77,1512,37.22,252.6,3.32,240.0,Overstrain,1
M018,299.82,309.95,1496,52.04,61.2,3.55,0.0,None,0
M035,302.98,311.29,1278,28.41,17.5,3.73,0.0,None,0
M032,298.99,307.08,1610,20.76,89.8,3.56,0.0,None,0
M029,300.25,309.65,1626,40.66,144.0,3.83,0.0,None,0
M024,300.06,309.93,1587,39.69,87.6,3.42,96.0,ToolWear,1
M023,300.31,310.35,1743,29.62,209.9,3.85,0.0,None,0
M005,298.18,307.53,1451,33.48,118.7,3.72,0.0,None,0
M009,299.52,307.99,1160,45.08,203.5,3.28,0.0,None,0
M034,301.48,311.8,1422,55.52,117.0,3.57,286.0,ToolWear,1
M012,302.11,310.67,1618,34.46,81.9,3.47,0.0,None,0
M017,301.73,311.93,1427,30.1,182.5,3.17,0.0,None,0
M040,301.04,312.83,1470,27.51,203.8,3.45,0.0,None,0
M001,299.54,309.5,1497,37.72,251.0,3.84,149.0,Overstrain,1
M009,301.39,312.92,1293,46.49,51.7,3.31,0.0,None,0
M009,300.02,309.59,1664,34.68,110.9,3.78,0.0,None,0
M023,300.37,310.13,1467,35.13,190.0,3.55,0.0,None,0
M009,300.99,311.96,1227,48.16,116.1,4.03,0.0,None,0
M002,298.44,308.49,1708,41.0,220.9,3.52,0.0,None,0
M003,301.23,311.88,1784,43.5,3.1,3.73,0.0,None,0
M036,302.34,311.29,1539,48.65,232.6,3.61,232.0,Overstrain,1
M039,296.85,306.39,1588,47.54,133.3,3.99,0.0,None,0
M011,299.45,309.65,1370,42.39,225.9,3.3,0.0,None,0
M018,299.34,308.7,1457,33.45,68.0,3.06,0.0,None,0
M005,303.27,313.81,1592,43.31,127.1,3.84,0.0,None,0
M023,300.29,312.31,1379,34.57,226.0,3.55,0.0,None,0
M012,301.29,310.96,1902,37.47,222.5,3.69,0.0,None,0
M024,301.55,311.39,1489,35.72,250.4,3.47,0.0,None,0
M024,298.5,309.37,1387,38.52,74.7,3.97,0.0,None,0
M038,297.41,306.63,1321,56.37,33.7,4.18,0.0,None,0
M002,302.31,312.79,1763,38.01,60.7,3.57,0.0,None,0
M022,302.63,312.49,1322,42.33,58.1,3.74,0.0,None,0
M036,301.81,312.1,1318,46.74,83.4,3.56,34.0,ToolWear,1
M014,301.7,313.12,1424,32.69,79.8,3.62,0.0,None,0
M009,298.62,307.32,1635,49.72,49.6,3.78,0.0,None,0
M018,298.6,309.05,1826,25.35,9.5,3.69,0.0,None,0
M031,300.06,310.36,1554,33.41,122.4,3.44,0.0,None,0
M013,301.37,311.53,1869,41.42,167.4,4.31,0.0,None,0
M025,299.38,309.56,1876,59.1,173.1,4.06,100.0,Overstrain,1
M031,299.43,311.13,1799,24.5,22.7,3.54,0.0,None,0
M025,301.02,312.76,1473,35.92,103.6,3.19,0.0,None,0
M035,303.24,313.93,1618,56.0,161.7,3.74,204.0,PowerFailure,1
M028,296.88,307.0,1630,50.54,33.7,4.32,0.0,None,0
M008,299.58,308.89,1543,57.86,22.1,4.04,106.0,PowerFailure,1
M027,297.04,306.89,1419,28.69,253.9,3.94,0.0,None,0
M002,296.4,305.95,1670,64.09,,4.75,290.0,Overstrain,1
M035,302.28,313.01,1442,17.83,67.4,4.28,0.0,None,0
M035,297.98,307.32,1572,39.32,139.0,4.35,0.0,None,0
M012,300.76,311.5,1426,29.76,112.1,3.05,0.0,None,0
M026,302.27,312.23,1666,45.93,164.7,4.11,0.0,None,0
M015,301.42,310.0,1662,48.24,85.9,3.94,0.0,None,0
M038,298.04,308.64,1654,35.93,8.7,3.91,0.0,None,0
M023,300.78,311.16,1485,50.41,236.8,4.3,254.0,Overstrain,1
M014,299.87,310.67,1545,37.87,165.5,3.71,328.0,ToolWear,1
M007,298.6,307.74,1677,49.09,93.6,4.54,0.0,None,0
M008,299.37,310.13,1937,45.96,111.8,3.95,132.0,PowerFailure,1
M003,298.95,308.81,1690,31.76,226.9,3.8,24.0,ToolWear,1
M036,302.05,311.02,1633,44.78,33.9,3.62,0.0,None,0
M032,299.98,311.07,1311,46.69,226.8,3.34,0.0,None,0
M003,299.19,309.7,1459,36.39,231.2,3.75,0.0,None,0
M020,300.82,309.42,1784,39.62,101.6,3.57,0.0,None,0
M032,300.82,313.2,1772,35.95,,3.39,0.0,None,0
M033,301.22,312.3,1160,45.96,148.4,5.0,0.0,None,0
M032,302.01,311.78,1317,53.92,83.1,5.23,0.0,None,0
M011,298.51,307.63,1716,25.92,34.2,4.01,0.0,None,0
M034,298.92,308.44,1625,42.2,11.9,3.58,0.0,None,0
M029,302.27,312.33,1642,48.4,240.7,3.58,0.0,None,0
M019,298.63,310.45,1340,41.58,172.3,3.63,0.0,None,0
M036,301.43,310.89,1929,25.18,257.4,3.84,203.0,ToolWear,1
M010,295.58,305.0,1439,62.23,234.5,4.84,354.0,Overstrain,1
M021,299.96,309.14,1553,37.94,52.8,3.87,0.0,None,0
M002,298.28,308.21,1668,29.95,231.8,3.47,0.0,None,0
M021,299.58,307.77,1392,35.55,162.3,3.65,0.0,None,0
M019,300.81,310.22,1782,41.17,225.7,3.69,0.0,None,0
M002,296.05,305.64,1483,36.31,140.6,3.77,0.0,None,0
M040,296.93,307.41,1521,57.85,15.3,4.85,317.0,PowerFailure,1
M038,299.92,309.2,1479,40.78,28.9,3.58,0.0,None,0
M014,297.62,306.42,1224,33.14,183.4,3.09,0.0,None,0
M034,300.44,310.29,1658,30.82,162.3,3.31,30.0,ToolWear,1
M022,300.12,310.06,1425,44.84,67.4,3.42,0.0,None,0
M030,297.88,308.68,1546,33.67,67.3,4.24,0.0,None,0
M006,301.83,312.72,1484,41.33,193.8,3.42,102.0,Overstrain,1
M004,301.41,311.59,1472,31.76,241.5,3.69,0.0,None,0
M028,300.85,310.84,1650,42.93,39.7,4.39,90.0,ToolWear,1
M007,298.83,308.03,1578,47.75,159.2,3.69,27.0,Overstrain,1
M034,298.88,310.57,1642,34.21,109.5,4.23,0.0,None,0
M037,297.14,307.96,1662,44.88,173.4,3.52,0.0,None,0
M013,295.83,305.05,1242,47.5,134.0,3.62,0.0,None,0
M001,299.22,310.5,1604,47.33,166.4,4.0,0.0,None,0
M022,301.41,311.51,1452,47.71,186.4,4.18,105.0,Overstrain,1
M011,299.46,308.71,1581,23.58,83.3,4.77,0.0,None,0
M011,301.13,310.33,1596,22.43,75.0,3.21,0.0,None,0
M011,298.84,308.65,1267,37.66,216.8,3.81,0.0,None,0
M012,299.05,310.29,1541,34.56,90.9,4.05,0.0,None,0
M011,299.1,309.38,1488,39.19,40.7,3.38,0.0,None,0
M003,302.4,312.03,1305,55.21,129.0,4.23,0.0,None,0
M002,297.67,307.1,1210,34.8,44.1,4.04,0.0,None,0
M017,298.59,307.15,1455,48.14,51.1,3.75,0.0,None,0
M020,301.5,311.37,1816,24.36,81.6,4.18,0.0,None,0
M034,301.94,312.39,1414,39.75,210.5,3.66,0.0,None,0
M027,301.21,311.31,1601,31.84,52.0,3.97,0.0,None,0
M031,305.0,314.0,1620,22.29,206.6,3.23,0.0,None,0
